# Histoire — Troisième — une question par ligne.
#
# niveau | énoncé ? | bonne réponse | leurre | leurre | leurre
# F facile · M moyen · D difficile
#
# Les propositions sont mêlées au tirage : l'ordre n'a aucune importance.
# Un leurre doit être faux mais crédible — un leurre absurde ne fait pas
# une question, il fait une question à trois propositions.
#
# Le programme d'histoire de troisième : les guerres totales, le monde depuis
# 1945, et la République française repensée.
#
# Aucun énoncé ne double « histoire.txt » ni « histoire-4e.txt ».

! id      | histoire-3e
! nom     | Histoire — 3e
! de      | d'Histoire — 3e
! detail  | Le programme de troisième : guerres totales, monde depuis 1945.
! icone   | book.closed
! teinte  | 0.70 0.35 0.30
! rang    | 8
! produit | com.oulhen.riskelo.pack.histoire3e


# --- L'Europe, un théâtre majeur des guerres totales ---

F | En quelle année la Première Guerre mondiale a-t-elle commencé ? | 1914 | 1918 | 1912 | 1916
M | Quelle loi de 1975 dépénalise l'interruption volontaire de grossesse ? | La loi Veil | La loi Neuwirth | La loi Roudy | La loi Badinter
D | Quelle loi de 1967 autorise la contraception en France ? | La loi Neuwirth | La loi Veil | La loi Naquet | La loi Roudy
F | Quelle peine est abolie en France en 1981 ? | La peine de mort | Les travaux forcés | Le bagne | La relégation
D | Quel garde des Sceaux a porté cette abolition ? | Robert Badinter | Simone Veil | Gaston Defferre | Pierre Mauroy
M | À quel âge la majorité est-elle abaissée en 1974 ? | Dix-huit ans | Vingt-et-un ans | Seize ans | Vingt ans
D | En quelle année le quinquennat remplace-t-il le septennat ? | 2000 | 1995 | 1988 | 2007


# --- Compléments : la Première Guerre mondiale ---

F | Combien d'années la Première Guerre mondiale a-t-elle duré ? | Quatre | Deux | Six | Huit
M | Comment appelle-t-on la guerre de positions dans les tranchées ? | La guerre de position | La guerre de mouvement | La guerre éclair | La guerre d'usure navale
M | Quelle arme chimique est employée pour la première fois en 1915 ? | Les gaz de combat | La bombe atomique | Le napalm | Le lance-flammes
M | Quelle bataille de septembre 1914 arrête l'avancée allemande vers Paris ? | La Marne | Verdun | La Somme | Ypres
D | Quel général français commande à Verdun en 1916 ? | Pétain | Joffre | Foch | Nivelle
D | Quel général allié coordonne les armées en 1918 ? | Foch | Pétain | Haig | Pershing
M | Quel pays entre en guerre aux côtés des Alliés en 1917 ? | Les États-Unis | L'Espagne | La Suède | La Suisse
M | Comment appelle-t-on une guerre qui mobilise toute la société ? | Une guerre totale | Une guerre civile | Une guerre de siège | Une guerre limitée
D | Comment appelle-t-on la propagande qui embellissait la guerre ? | Le bourrage de crâne | La censure | La réquisition | L'union sacrée
M | Comment appelait-on l'union des partis français pendant la guerre ? | L'union sacrée | Le Front populaire | Le Bloc national | La Chambre bleue
M | Quel travail les femmes assurent-elles dans les usines d'armement ? | Celui des munitionnettes | Celui des infirmières seules | Aucun | Celui des officiers
D | Combien de soldats français sont morts pendant la Grande Guerre ? | Environ un million quatre cent mille | Environ cent mille | Environ cinq millions | Environ trois cent mille
M | Quel monument honore dans chaque commune française les morts de 1914-1918 ? | Le monument aux morts | L'arc de triomphe | Le cénotaphe | La colonne
D | Quelle épidémie tue des millions de personnes à la fin de la guerre ? | La grippe espagnole | Le choléra | La peste | La typhoïde
M | Quel empire disparaît en 1918 après avoir déclenché la guerre ? | L'empire austro-hongrois | L'empire britannique | L'empire japonais | L'empire chinois


# --- Compléments : l'entre-deux-guerres ---

M | Quelle crise financière éclate à New York en octobre 1929 ? | Le krach de Wall Street | La crise de Suez | La banqueroute de Law | Le krach de 1873
M | Comment appelle-t-on la crise économique mondiale des années 1930 ? | La Grande Dépression | Les Trente Glorieuses | La Belle Époque | Le grand bond
D | Quel président américain lance le New Deal ? | Franklin Roosevelt | Herbert Hoover | Harry Truman | Woodrow Wilson
M | Quelle coalition de gauche gagne les élections françaises de 1936 ? | Le Front populaire | Le Bloc national | Le Cartel des gauches | Le Rassemblement
D | Qui dirige le gouvernement du Front populaire ? | Léon Blum | Édouard Daladier | Paul Reynaud | Édouard Herriot
M | Quelle grande nouveauté sociale de 1936 donne deux semaines aux salariés ? | Les congés payés | La retraite | La sécurité sociale | Le salaire minimum
D | Combien d'heures la semaine de travail passe-t-elle en 1936 ? | Quarante heures | Trente-cinq heures | Quarante-huit heures | Cinquante heures
M | Quel régime Mussolini installe-t-il en Italie à partir de 1922 ? | Le fascisme | Le communisme | La monarchie absolue | La démocratie chrétienne
D | Comment appelait-on les milices fascistes italiennes ? | Les chemises noires | Les chemises brunes | Les gardes rouges | Les faisceaux verts
M | Quel parti dirige Hitler en Allemagne ? | Le parti nazi | Le parti communiste | Le parti social-démocrate | Le parti du centre
D | Quelle république allemande s'effondre en 1933 ? | La république de Weimar | La république de Bonn | La république de Berlin | La république rhénane
M | Quelle police politique fait régner la terreur dans l'Allemagne nazie ? | La Gestapo | La Wehrmacht | La Kriegsmarine | L'Abwehr
D | Quelle nuit de novembre 1938 voit le saccage des biens juifs en Allemagne ? | La Nuit de Cristal | La Nuit des longs couteaux | La Nuit de Walpurgis | La Nuit rouge
M | Quels accords de 1938 livrent une partie de la Tchécoslovaquie à Hitler ? | Les accords de Munich | Les accords de Locarno | Le pacte de Varsovie | Les accords d'Évian
D | Quel pacte germano-soviétique est signé en août 1939 ? | Le pacte Molotov-Ribbentrop | Le pacte d'Acier | Le pacte anti-Komintern | Le pacte de Kellogg
M | Quelle guerre civile déchire l'Espagne de 1936 à 1939 ? | La guerre d'Espagne | La guerre du Rif | La guerre des Carlistes | La guerre de Cuba
D | Quel tableau de Picasso dénonce le bombardement d'une ville basque ? | Guernica | Les Ménines | La Danse | Le Cri


# --- Compléments : la Seconde Guerre mondiale ---

M | Comment appelle-t-on la guerre éclair menée par l'Allemagne en 1940 ? | La Blitzkrieg | La drôle de guerre | La guerre totale | La guerre de position
D | Comment appelait-on les mois d'attente de l'hiver 1939-1940 ? | La drôle de guerre | La Blitzkrieg | L'union sacrée | Le repli
M | Quelle ligne fortifiée française est contournée par les Allemands en 1940 ? | La ligne Maginot | La ligne Siegfried | La ligne Gustave | La ligne Curzon
D | De quelle plage française les Britanniques rembarquent-ils en juin 1940 ? | Dunkerque | Le Havre | Cherbourg | Saint-Nazaire
M | Quelle opération allemande envahit l'URSS en juin 1941 ? | L'opération Barbarossa | L'opération Overlord | L'opération Torch | L'opération Dynamo
M | Quelle attaque japonaise fait entrer les États-Unis en guerre ? | Pearl Harbor | Midway | Guadalcanal | Iwo Jima
D | En quel mois de 1941 les États-Unis entrent-ils en guerre ? | En décembre | En janvier | En juin | En septembre
M | Quel nom porte le débarquement allié du 6 juin 1944 ? | L'opération Overlord | L'opération Barbarossa | L'opération Anvil | L'opération Husky
D | Quel second débarquement allié a lieu en Provence en août 1944 ? | L'opération Dragoon | L'opération Overlord | L'opération Market Garden | L'opération Torch
M | Quelle ville française est libérée le 25 août 1944 ? | Paris | Lyon | Strasbourg | Bordeaux
D | Quelle bataille des Ardennes marque la dernière offensive allemande ? | La bataille des Ardennes de 1944 | La bataille de Normandie | La bataille de Berlin | La bataille de la Ruhr
M | Quelle ville allemande tombe aux mains des Soviétiques en mai 1945 ? | Berlin | Munich | Hambourg | Cologne
D | Quelle conférence de février 1945 partage l'Europe entre les vainqueurs ? | La conférence de Yalta | La conférence de Munich | La conférence de Téhéran | La conférence de Potsdam
M | Quel procès juge les dirigeants nazis en 1945-1946 ? | Le procès de Nuremberg | Le procès de Tokyo | Le procès de Jérusalem | Le procès de Leipzig
D | Quel crime nouveau est défini par le droit international après 1945 ? | Le crime contre l'humanité | Le crime de guerre | La haute trahison | Le crime d'agression
M | Quel jour de 1945 le Japon capitule-t-il ? | Le 2 septembre | Le 8 mai | Le 6 août | Le 11 novembre
D | Quel dirigeant britannique conduit la guerre contre l'Allemagne ? | Winston Churchill | Neville Chamberlain | Clement Attlee | Anthony Eden
M | Quel dirigeant américain décide l'emploi de la bombe atomique ? | Harry Truman | Franklin Roosevelt | Dwight Eisenhower | Woodrow Wilson


# --- Compléments : la guerre froide et la décolonisation ---

F | Quelles deux puissances s'opposent pendant la guerre froide ? | Les États-Unis et l'URSS | La France et l'Allemagne | La Chine et le Japon | L'Inde et le Pakistan
M | Quelle expression de Churchill désigne la coupure de l'Europe en 1946 ? | Le rideau de fer | Le mur de Berlin | La ligne de démarcation | Le mur de l'Atlantique
M | Quel plan américain aide l'Europe à se relever après 1947 ? | Le plan Marshall | Le plan Monnet | Le plan Schuman | Le plan Dawes
D | Quelle doctrine américaine promet de contenir le communisme ? | La doctrine Truman | La doctrine Monroe | La doctrine Brejnev | La doctrine Nixon
M | En quelle année l'Allemagne est-elle coupée en deux États ? | 1949 | 1945 | 1961 | 1989
D | Comment s'appelait l'Allemagne de l'Est ? | La RDA | La RFA | La Prusse | La Saxe
M | Quelle guerre oppose deux Corées de 1950 à 1953 ? | La guerre de Corée | La guerre du Vietnam | La guerre du Golfe | La guerre d'Indochine
M | Quelle guerre les États-Unis mènent-ils au Vietnam jusqu'en 1975 ? | La guerre du Vietnam | La guerre de Corée | La guerre d'Indochine | La guerre du Cambodge
D | En quelle année la France perd-elle la bataille de Diên Biên Phu ? | 1954 | 1962 | 1945 | 1958
M | Quelle guerre coloniale française s'achève par les accords de Genève en 1954 ? | La guerre d'Indochine | La guerre d'Algérie | La guerre du Rif | La guerre de Suez
D | Comment appelait-on la mobilisation du contingent en Algérie ? | Le rappel des appelés | La levée en masse | La conscription libre | Le service colonial
M | Quel dirigeant chinois proclame la République populaire en 1949 ? | Mao Zedong | Tchang Kaï-chek | Zhou Enlai | Deng Xiaoping
M | Quel dirigeant cubain prend le pouvoir en 1959 ? | Fidel Castro | Che Guevara | Batista | Salvador Allende
D | Quel dirigeant égyptien nationalise le canal de Suez en 1956 ? | Nasser | Sadate | Moubarak | Farouk
M | Quel premier satellite artificiel est lancé par l'URSS en 1957 ? | Spoutnik | Apollo | Vostok | Explorer
M | Quel homme marche sur la Lune en juillet 1969 ? | Neil Armstrong | Youri Gagarine | Buzz Aldrin | John Glenn
D | Quel premier homme est allé dans l'espace en 1961 ? | Youri Gagarine | Neil Armstrong | Alan Shepard | Valentina Terechkova
M | Quel mur tombe dans la nuit du 9 novembre 1989 ? | Le mur de Berlin | Le mur d'Hadrien | Le mur des Lamentations | Le rideau de fer
D | Quel syndicat polonais affaiblit le régime communiste dans les années 1980 ? | Solidarność | Charte 77 | Le Komintern | Le Parti ouvrier
D | Quel dirigeant polonais dirigeait ce syndicat ? | Lech Wałęsa | Jaruzelski | Gomułka | Kwaśniewski
M | Quel pays d'Europe se déchire dans une guerre civile de 1991 à 1999 ? | La Yougoslavie | La Pologne | La Hongrie | L'Autriche
D | Quel massacre de 1995 en Bosnie est reconnu comme un génocide ? | Srebrenica | Sarajevo | Vukovar | Mostar
M | Quels attentats frappent les États-Unis le 11 septembre 2001 ? | Ceux de New York et Washington | Ceux de Boston | Ceux de Chicago | Ceux de Los Angeles


# --- Compléments : la France depuis 1945 ---

M | Quel programme lance la reconstruction économique française après 1945 ? | Le plan Monnet | Le plan Marshall | Le plan Schuman | Le plan Pinay
M | Quelle entreprise d'automobile est nationalisée à la Libération ? | Renault | Peugeot | Citroën | Simca
D | Quelle grande entreprise publique d'électricité naît en 1946 ? | EDF | Total | Alstom | Areva
M | Quel régime politique la France se donne-t-elle en 1946 ? | La Quatrième République | La Cinquième République | L'État français | La Troisième République
D | Quel reproche de Gaulle faisait-il à la Quatrième République ? | L'instabilité des gouvernements | Le manque de colonies | L'excès de pouvoir présidentiel | Le suffrage censitaire
M | Quelle constitution donne au président de forts pouvoirs en 1958 ? | Celle de la Cinquième République | Celle de 1946 | Celle de 1875 | Celle de 1848
D | Quel discours de 1958 de Gaulle prononce-t-il à Alger ? | « Je vous ai compris » | « L'appel du 18 Juin » | « La France a perdu une bataille » | « Vive le Québec libre »
M | Quelle organisation armée s'oppose à l'indépendance algérienne ? | L'OAS | Le FLN | Le MNA | Le GPRA
D | Quel mouvement indépendantiste algérien déclenche la guerre en 1954 ? | Le FLN | L'OAS | Le MNA | L'ALN
M | Comment appelle-t-on les Français d'Algérie rapatriés en 1962 ? | Les pieds-noirs | Les harkis | Les colons libres | Les rapatriés d'Indochine
D | Comment appelle-t-on les Algériens qui servaient dans l'armée française ? | Les harkis | Les pieds-noirs | Les spahis | Les tirailleurs
M | Quel événement de mai 1968 commence dans les universités ? | Le mouvement étudiant | La grève des mineurs | La marche des femmes | La révolte des paysans
D | Quels accords mettent fin aux grèves de mai 1968 ? | Les accords de Grenelle | Les accords de Matignon | Les accords d'Évian | Les accords de Varenne
M | En quelle année de Gaulle quitte-t-il le pouvoir ? | 1969 | 1958 | 1974 | 1981
D | Quel président français est élu en 1974, le plus jeune de la Cinquième ? | Valéry Giscard d'Estaing | Georges Pompidou | François Mitterrand | Jacques Chirac
M | Quel président de gauche est élu pour la première fois en 1981 ? | François Mitterrand | Jacques Chirac | Lionel Jospin | Michel Rocard
D | Quelle réforme de 1982 donne des pouvoirs aux régions ? | Les lois de décentralisation | La loi Ferry | La loi Debré | Les lois Auroux
M | Quelle crise économique frappe la France à partir de 1973 ? | Le choc pétrolier | Le krach de Wall Street | La crise des subprimes | La crise asiatique
D | Comment appelle-t-on la période de croissance de 1945 à 1975 ? | Les Trente Glorieuses | La Belle Époque | Les Années folles | Le baby-boom
M | Comment appelle-t-on la forte natalité française d'après-guerre ? | Le baby-boom | L'exode rural | La transition | Le papy-boom
D | Comment appelait-on la cohabitation d'un président et d'un gouvernement opposés ? | La cohabitation | La coalition | L'alternance | La motion de censure
M | Quelle monnaie remplace le franc français en 2002 ? | L'euro | Le mark | La livre | L'écu


# --- Compléments : société et culture depuis 1945 ---

F | Quel appareil entre dans les foyers français dans les années 1950 ? | La télévision | Le téléphone portable | L'ordinateur | La radio
M | Quel objet devient le symbole du confort moderne des années 1960 ? | Le réfrigérateur | La machine à vapeur | Le poêle à charbon | La lampe à pétrole
D | Comment appelle-t-on la naissance d'une culture propre aux jeunes vers 1960 ? | La culture jeune | La contre-culture ouvrière | Le romantisme | Le naturalisme
M | Quel type de commerce se développe en périphérie dans les années 1960 ? | Les supermarchés | Les marchés couverts | Les épiceries de quartier | Les foires
D | Quelle loi de 1972 pose l'égalité de salaire entre femmes et hommes ? | La loi de 1972 | La loi Veil | La loi Roudy | La loi Neuwirth
M | Quel ministère des Droits de la femme est créé en 1981 ? | Un ministère à part entière | Un secrétariat d'État | Une commission | Un haut conseil
D | Quelle loi de 1983 affirme l'égalité professionnelle ? | La loi Roudy | La loi Veil | La loi Auroux | La loi Naquet
M | Quel âge de la retraite est instauré en France en 1982 ? | Soixante ans | Soixante-cinq ans | Cinquante-cinq ans | Soixante-deux ans
D | Quel revenu minimum est créé en France en 1988 ? | Le RMI | Le SMIC | Le RSA | L'allocation chômage
M | Quel salaire minimum existe en France depuis 1970 ? | Le SMIC | Le RMI | Le RSA | La prime d'activité
D | Quelle loi de 2013 ouvre le mariage à tous les couples ? | La loi de 2013 | La loi Veil | La loi Taubira de 2000 | La loi PACS
M | Quel contrat d'union civile est créé en France en 1999 ? | Le PACS | Le mariage civil | Le concubinage | L'union libre


# --- Compléments : les repères du siècle ---

F | Quel siècle a connu les deux guerres mondiales ? | Le XXe | Le XIXe | Le XVIIIe | Le XXIe
F | Quel pays a envahi la Pologne en septembre 1939 ? | L'Allemagne | L'Italie | L'Espagne | La Turquie
F | Comment appelle-t-on le chef de l'État français installé à Vichy ? | Le maréchal Pétain | Le général de Gaulle | Paul Reynaud | Édouard Daladier
F | Depuis quelle ville de Gaulle appelle-t-il à la résistance en 1940 ? | Londres | Alger | Brazzaville | Genève
F | Quelle arme nouvelle met fin à la guerre du Pacifique en 1945 ? | La bombe atomique | Le char | Le sous-marin | Le radar
F | Combien d'États sont sortis de la Seconde Guerre mondiale comme superpuissances ? | Deux | Trois | Un | Cinq
F | Quel pays a été coupé en deux par un mur pendant la guerre froide ? | L'Allemagne | La France | L'Italie | L'Espagne
F | Dans quelle ville se trouve le siège de l'ONU ? | New York | Genève | Paris | Bruxelles
F | Quelle guerre froide n'a jamais opposé directement les deux superpuissances ? | La guerre froide elle-même | La guerre de Corée | La guerre du Vietnam | La guerre d'Algérie
F | Quel continent s'est presque entièrement décolonisé après 1945 ? | L'Afrique | L'Europe | L'Amérique du Nord | L'Océanie
F | Quel pays a colonisé l'Algérie avant 1962 ? | La France | L'Espagne | L'Italie | Le Royaume-Uni
F | Quel général a fondé la Cinquième République ? | Charles de Gaulle | Philippe Pétain | Maurice Gamelin | Alphonse Juin
F | En quelle année les femmes ont-elles voté pour la première fois en France ? | 1945 | 1936 | 1924 | 1958
F | Quel âge faut-il avoir pour voter en France aujourd'hui ? | Dix-huit ans | Vingt-et-un ans | Seize ans | Vingt ans
F | Combien de temps dure aujourd'hui le mandat du président français ? | Cinq ans | Sept ans | Quatre ans | Six ans
F | Quel organisme protège les Français contre la maladie depuis 1945 ? | La Sécurité sociale | La Croix-Rouge | La mutualité seule | Le Secours populaire
F | Quelle organisation militaire réunit les pays occidentaux depuis 1949 ? | L'OTAN | L'ONU | L'UE | L'OMS
F | Quel pays a lancé le premier satellite dans l'espace ? | L'URSS | Les États-Unis | La France | La Chine
F | Quelle monnaie européenne les Français utilisent-ils depuis 2002 ? | L'euro | Le franc | La livre | Le mark
F | Quel mur est tombé en 1989, symbole de la fin de la guerre froide ? | Le mur de Berlin | La ligne Maginot | Le mur d'Hadrien | Le rideau de fer
F | En quelle année l'URSS a-t-elle cessé d'exister ? | 1991 | 1989 | 1995 | 1985
F | Quel génocide a été commis par les nazis pendant la Seconde Guerre mondiale ? | Celui des Juifs d'Europe | Celui des Arméniens | Celui des Tutsis | Celui des Khmers
F | Quel autre peuple a été persécuté et exterminé par les nazis ? | Les Tsiganes | Les Suédois | Les Portugais | Les Irlandais
F | Comment appelle-t-on ceux qui ont aidé l'occupant allemand en France ? | Les collaborateurs | Les résistants | Les réfractaires | Les maquisards
F | Comment appelait-on les résistants cachés dans les campagnes ? | Les maquisards | Les collaborateurs | Les miliciens | Les requis
F | Quel service obligatoire envoyait des Français travailler en Allemagne ? | Le STO | La conscription | La corvée | Le service civique
F | Quelle ville française a été bombardée puis libérée en août 1944 ? | Paris | Vichy | Bordeaux | Toulouse
F | Combien d'États fondaient la Communauté européenne en 1957 ? | Six | Douze | Neuf | Quinze
F | Quel pays européen a rejoint le Marché commun en 1973 avec l'Irlande ? | Le Royaume-Uni | L'Espagne | La Grèce | Le Portugal
