# Français — Cinquième — une question par ligne.
#
# niveau | énoncé ? | bonne réponse | leurre | leurre | leurre
# F facile · M moyen · D difficile
#
# Les propositions sont mêlées au tirage : l'ordre n'a aucune importance.
# Un leurre doit être faux mais crédible — un leurre absurde ne fait pas
# une question, il fait une question à trois propositions.
#
# Le programme de français de cinquième : les compléments, les propositions,
# les temps du récit, l'accord du participe passé et les figures de style.
#
# L'énoncé ne porte qu'un seul point d'interrogation : on ne cite jamais de
# phrase interrogative en exemple.

! id      | francais-5e
! nom     | Français — 5e
! de      | de Français — 5e
! detail  | Le programme de cinquième : compléments, participe passé, style.
! icone   | text.quote
! teinte  | 0.72 0.52 0.32
! rang   | 12
! produit | com.oulhen.riskelo.pack.francais5e


# --- Les compléments ---

F | Comment appelle-t-on le complément qui répond à « quoi » après le verbe ? | Le complément d'objet direct | Le complément d'objet indirect | Le complément circonstanciel | L'attribut
M | Comment appelle-t-on le complément qui précise un nom ? | Le complément du nom | Le complément d'objet | L'attribut | Le complément circonstanciel
M | Quelle préposition introduit le plus souvent un complément du nom ? | De | Et | Mais | Or
D | Comment appelle-t-on un adjectif séparé du nom par une virgule ? | Une apposition | Une épithète | Un attribut | Un complément


# --- Les propositions ---

F | Comment appelle-t-on une proposition qui peut exister seule ? | Une proposition indépendante | Une subordonnée | Une principale | Une relative
F | Comment appelle-t-on la proposition dont dépend une subordonnée ? | La proposition principale | La proposition indépendante | La proposition relative | La conjonctive
M | Comment appelle-t-on une proposition introduite par un pronom relatif ? | Une proposition subordonnée relative | Une conjonctive | Une indépendante | Une infinitive
M | Comment appelle-t-on une proposition introduite par « que » après un verbe ? | Une subordonnée conjonctive | Une relative | Une indépendante | Une participiale
F | Quel mot introduit une proposition relative qui remplace un sujet ? | Qui | Que | Dont | Où
F | Quel pronom relatif remplace un complément d'objet direct ? | Que | Qui | Dont | Où
M | Quel pronom relatif remplace un complément introduit par « de » ? | Dont | Que | Qui | Où
M | Quel pronom relatif indique le lieu ou le temps ? | Où | Dont | Que | Qui
M | Comment appelle-t-on le nom auquel se rapporte un pronom relatif ? | L'antécédent | Le référent | Le sujet | Le complément
M | Comment appelle-t-on deux propositions reliées par une conjonction de coordination ? | Des propositions coordonnées | Des propositions subordonnées | Des propositions relatives | Des propositions incises
D | Comment appelle-t-on deux propositions séparées par une virgule sans mot de liaison ? | Des propositions juxtaposées | Des propositions coordonnées | Des propositions subordonnées | Des propositions relatives


# --- Les temps du récit ---

F | Quel temps sert à raconter les actions principales d'un récit au passé ? | Le passé simple | L'imparfait | Le présent | Le futur
F | Quel temps sert à décrire le décor d'un récit au passé ? | L'imparfait | Le passé simple | Le futur | Le conditionnel
M | Quel temps exprime une action antérieure à une autre action passée ? | Le plus-que-parfait | Le passé simple | L'imparfait | Le futur antérieur
M | Avec quel auxiliaire forme-t-on le plus-que-parfait ? | L'auxiliaire à l'imparfait | L'auxiliaire au présent | L'auxiliaire au futur | L'auxiliaire au passé simple
M | Comment appelle-t-on le temps composé formé avec l'auxiliaire au passé simple ? | Le passé antérieur | Le plus-que-parfait | Le passé composé | Le futur antérieur
F | Quel est le passé simple de « faire » à la troisième personne du singulier ? | Il fit | Il faisait | Il fera | Il fasse
M | Quel est le passé simple de « voir » à la troisième personne du singulier ? | Il vit | Il voyait | Il verra | Il voie
M | Quel est le passé simple de « pouvoir » à la troisième personne du singulier ? | Il put | Il pouvait | Il pourra | Il puisse
M | Quel est le passé simple de « prendre » à la troisième personne du pluriel ? | Ils prirent | Ils prenaient | Ils prendront | Ils prennent
D | Quel est le passé simple de « écrire » à la troisième personne du singulier ? | Il écrivit | Il écrivait | Il écrira | Il écrive
M | Quelle terminaison prend le passé simple des verbes en « ir » à la troisième personne ? | It | A | Ut | Int
D | Quelle terminaison prend le passé simple à la troisième personne du pluriel des verbes en « er » ? | Èrent | Irent | Urent | Aient
M | Quel temps emploie-t-on pour une action qui se répète dans le passé ? | L'imparfait | Le passé simple | Le passé antérieur | Le futur
D | Comment appelle-t-on l'emploi du présent pour rendre un récit vivant ? | Le présent de narration | Le présent d'énonciation | Le présent de vérité générale | Le présent d'habitude
D | Quel présent emploie-t-on dans les proverbes et les définitions ? | Le présent de vérité générale | Le présent de narration | Le présent d'habitude | Le présent duratif


# --- L'accord du participe passé ---

F | Avec quel auxiliaire le participe passé s'accorde-t-il toujours avec le sujet ? | Être | Avoir | Aller | Faire
M | Le participe passé employé avec « avoir » s'accorde-t-il avec le sujet ? | Non, jamais | Oui, toujours | Seulement au féminin | Seulement au pluriel
D | Avec quoi le participe passé employé avec « avoir » peut-il s'accorder ? | Le complément d'objet direct placé avant | Le sujet | Le complément d'objet indirect | L'adverbe
M | Quel participe complète « les fleurs que j'ai » ? | Cueillies | Cueilli | Cueillis | Cueillie
F | Quel participe complète « elle est » avec le verbe partir ? | Partie | Parti | Partis | Parties
M | Quel participe complète « ils se sont » avec le verbe laver ? | Lavés | Lavé | Lavée | Laver
D | Quel participe complète « elles se sont » avec le verbe parler ? | Parlé | Parlées | Parlés | Parlée
F | Comment s'écrit le participe passé de « ouvrir » ? | Ouvert | Ouvri | Ouvru | Ouvré
M | Comment s'écrit le participe passé de « offrir » ? | Offert | Offri | Offru | Offré
M | Comment s'écrit le participe passé de « craindre » ? | Craint | Craindu | Craignu | Craigné
D | Comment s'écrit le participe passé de « joindre » ? | Joint | Joindu | Joignu | Joigné
D | Comment s'écrit le participe passé de « absoudre » ? | Absous | Absoudu | Absolu | Absouru
M | Comment distingue-t-on le participe passé en « é » de l'infinitif en « er » ? | En remplaçant par « vendre » | En comptant les syllabes | En cherchant le sujet | En changeant de temps
M | Quelle forme met-on après une préposition comme « pour » ? | L'infinitif | Le participe passé | Le participe présent | L'impératif


# --- Les figures de style ---

F | Comment appelle-t-on une image introduite par « comme » ? | Une comparaison | Une métaphore | Une personnification | Une hyperbole
F | Comment appelle-t-on une image sans mot de comparaison ? | Une métaphore | Une comparaison | Une litote | Une ellipse
F | Comment appelle-t-on le fait de prêter des sentiments humains à un objet ? | Une personnification | Une métaphore | Une comparaison | Une antithèse
F | Comment appelle-t-on une exagération volontaire ? | Une hyperbole | Une litote | Une ellipse | Une métonymie
M | Comment appelle-t-on le fait de dire moins pour suggérer plus ? | Une litote | Une hyperbole | Une métaphore | Une périphrase
M | Comment appelle-t-on l'opposition de deux mots de sens contraire ? | Une antithèse | Une comparaison | Une hyperbole | Une allitération
D | Comment appelle-t-on une expression qui remplace un mot par une description ? | Une périphrase | Une métaphore | Une litote | Une ellipse
M | Comment appelle-t-on la répétition d'une même consonne dans un vers ? | Une allitération | Une assonance | Une anaphore | Une rime
D | Comment appelle-t-on la répétition d'une même voyelle dans un vers ? | Une assonance | Une allitération | Une anaphore | Une césure
D | Comment appelle-t-on la répétition d'un mot au début de plusieurs vers ? | Une anaphore | Une allitération | Une assonance | Une épiphore
M | Comment appelle-t-on l'association de deux mots contradictoires ? | Un oxymore | Une antithèse | Une hyperbole | Une litote


# --- Les homophones difficiles ---

M | Comment s'écrit « ce » devant un nom ? | Ce | Se | Ceux | Sœur
M | Devant quel type de mot écrit-on « se » ? | Un verbe pronominal | Un nom | Un adjectif | Un adverbe
M | Comment s'écrit « ces » quand on peut dire « ces choses-là » ? | Ces | Ses | C'est | S'est
M | Comment s'écrit « c'est » quand on peut le remplacer par « cela est » ? | Avec une apostrophe après le c | Avec un s initial | Sans apostrophe | Avec un accent
D | Comment s'écrit « sais » à la première personne du verbe savoir ? | Sais | Ses | Ces | C'est
D | Comment s'écrit « sait » à la troisième personne du verbe savoir ? | Sait | Ses | Ces | S'est
F | Comment s'écrit « mes » qui marque la possession ? | Mes | Mais | Met | M'est
F | Comment s'écrit « mais » qui exprime l'opposition ? | Mais | Mes | Met | M'est
D | Comment s'écrit « met » à la troisième personne du verbe mettre ? | Met | Mes | Mais | M'est
F | Comment s'écrit « près » qui signifie « à côté » ? | Près | Prêt | Pré | Prés
F | Comment s'écrit « prêt » qui signifie « préparé » ? | Prêt | Près | Pré | Prés
M | Comment s'écrit « plus tôt » qui s'oppose à « plus tard » ? | En deux mots | En un mot | Avec un trait d'union | Avec une apostrophe
M | Comment s'écrit « plutôt » qui signifie « de préférence » ? | En un mot | En deux mots | Avec un trait d'union | Avec un accent grave
M | Comment s'écrit « tout » devant un adjectif féminin commençant par une consonne ? | Toute | Tout | Tous | Toutes
D | Comment s'écrit « tout » devant un adjectif féminin commençant par une voyelle ? | Tout | Toute | Tous | Toutes
D | Comment s'écrit « quelque » devant un nombre pour dire « environ » ? | Sans « s » | Avec un « s » | En deux mots | Avec un trait d'union
M | Comment s'écrit « à » qui marque la direction ? | Avec un accent grave | Sans accent | Avec un accent aigu | Avec un circonflexe
D | Comment s'écrit « dû » participe passé du verbe devoir ? | Avec un accent circonflexe | Sans accent | Avec un accent aigu | Avec un tréma
D | Le féminin de « dû » porte-t-il un accent circonflexe ? | Non | Oui | Seulement au pluriel | Seulement au singulier
D | Comment s'écrit « sûr » qui signifie « certain » ? | Avec un accent circonflexe | Sans accent | Avec un accent grave | Avec un tréma


# --- Les mots difficiles ---

M | Combien de « c » compte le mot « accueillir » ? | Deux | Un | Trois | Aucun
M | Dans « accueillir », quelle voyelle suit le « c » ? | Le u | Le e | Le i | Le o
F | Combien de « t » compte le mot « attention » ? | Deux | Un | Trois | Aucun
M | Combien de « s » compte le mot « ressource » ? | Deux | Un | Trois | Aucun
M | Combien de « n » compte le mot « honneur » ? | Deux | Un | Trois | Aucun
M | Combien de « l » compte le mot « intelligent » ? | Deux | Un | Trois | Aucun
M | Combien de « f » compte le mot « souffrir » ? | Deux | Un | Trois | Aucun
D | Combien de « m » compte le mot « sommeil » ? | Deux | Un | Trois | Aucun
M | Comment s'écrit l'adverbe formé sur « évident » ? | Évidemment | Évidement | Évidament | Évidenment
M | Comment s'écrit l'adverbe formé sur « prudent » ? | Prudemment | Prudement | Prudamment | Prudenment
M | Comment s'écrit l'adverbe formé sur « constant » ? | Constamment | Constament | Constemment | Constanment
D | Comment s'écrit l'adverbe formé sur « courant » ? | Couramment | Courament | Couremment | Couranment
D | Quelle terminaison prennent les adverbes formés sur les adjectifs en « ent » ? | Emment | Amment | Ément | Ament
D | Quelle terminaison prennent les adverbes formés sur les adjectifs en « ant » ? | Amment | Emment | Ament | Ément
F | Comment s'écrit l'adverbe formé sur « vrai » ? | Vraiment | Vraiement | Vraimment | Vraîment
D | Comment s'écrit l'adverbe formé sur « gentil » ? | Gentiment | Gentillement | Gentimment | Gentilment
M | Comment s'écrit le nom formé sur le verbe « appeler » ? | Appel | Appelle | Apel | Appell
D | Combien de « l » prend « il appelle » au présent ? | Deux | Un | Trois | Aucun
D | Combien de « l » prend « nous appelons » au présent ? | Un | Deux | Trois | Aucun
D | Combien de « t » prend « il jette » au présent ? | Deux | Un | Trois | Aucun


# --- Compléments : conjugaison et modes ---

F | Comment appelle-t-on le mode du verbe qui exprime un fait certain ? | L'indicatif | Le subjonctif | Le conditionnel | L'impératif
F | Comment appelle-t-on le mode du verbe qui exprime un souhait ou un doute ? | Le subjonctif | L'indicatif | L'impératif | Le participe
F | Comment appelle-t-on le mode du verbe qui exprime une action soumise à condition ? | Le conditionnel | L'indicatif | L'impératif | Le subjonctif
M | Par quel mot le subjonctif présent est-il souvent introduit ? | Que | Si | Donc | Car
M | Quel est le subjonctif présent de « être » à la troisième personne du singulier ? | Qu'il soit | Qu'il est | Qu'il serait | Qu'il fût
M | Quel est le subjonctif présent de « avoir » à la troisième personne du singulier ? | Qu'il ait | Qu'il a | Qu'il aurait | Qu'il eût
D | Quel est le subjonctif présent de « aller » à la troisième personne du singulier ? | Qu'il aille | Qu'il va | Qu'il irait | Qu'il allât
D | Quel est le subjonctif présent de « faire » à la première personne du pluriel ? | Que nous fassions | Que nous faisons | Que nous ferions | Que nous fîmes
M | Quel est le conditionnel présent de « aimer » à la première personne du singulier ? | J'aimerais | J'aimerai | J'aimais | J'aime
D | Quelle terminaison distingue le conditionnel du futur à la première personne ? | Ais au lieu de ai | Ai au lieu de ais | Ait au lieu de ais | Aie au lieu de ai
M | Combien de personnes compte l'impératif présent ? | Trois | Six | Deux | Quatre
D | Le verbe à l'impératif a-t-il un sujet exprimé ? | Non | Oui | Parfois | Toujours
D | Quelle terminaison prennent les verbes du premier groupe à l'impératif singulier ? | E sans s | Es avec s | S seul | Ez
M | Comment appelle-t-on la forme du verbe en « ant » ? | Le participe présent | Le participe passé | L'infinitif | Le gérondif seul
M | Comment appelle-t-on la forme « en marchant » ? | Le gérondif | Le participe présent | L'infinitif | Le subjonctif
D | Le participe présent s'accorde-t-il avec le nom ? | Non, il est invariable | Oui, toujours | Seulement au féminin | Seulement au pluriel
F | Comment appelle-t-on la construction où le sujet subit l'action ? | La voix passive | La voix active | La forme pronominale | La forme impersonnelle
D | Que devient le sujet d'une phrase active quand on la met au passif ? | Il devient complément d'agent | Il disparaît | Il devient attribut | Il reste sujet


# --- Compléments : lire et écrire ---

F | Comment appelle-t-on un long récit en prose qui raconte une histoire ? | Un roman | Un poème | Une pièce de théâtre | Un article
F | Comment appelle-t-on un texte écrit pour être joué sur scène ? | Une pièce de théâtre | Un roman | Une fable | Un conte
F | Comment appelle-t-on ce que dit un personnage au théâtre ? | Une réplique | Une didascalie | Un chapitre | Une strophe
F | Comment appelle-t-on les indications de mise en scène d'une pièce ? | Les didascalies | Les répliques | Les actes | Les scènes
F | Comment appelle-t-on la grande division d'une pièce de théâtre ? | L'acte | La scène | Le chapitre | La strophe
F | Comment appelle-t-on un texte qui raconte la vie de son auteur ? | Une autobiographie | Une biographie | Un roman | Un essai
F | Comment appelle-t-on un texte qui raconte la vie de quelqu'un d'autre ? | Une biographie | Une autobiographie | Un journal | Un mémoire
F | Comment appelle-t-on un texte qui décrit un lieu ou un personnage ? | Une description | Un dialogue | Une narration | Une argumentation
F | Comment appelle-t-on un texte où deux personnages se parlent ? | Un dialogue | Un monologue | Une description | Un récit
F | Comment appelle-t-on la parole d'un personnage seul en scène ? | Un monologue | Un dialogue | Une réplique | Une tirade brève
M | Comment appelle-t-on un roman du Moyen Âge qui conte des exploits de chevaliers ? | Un roman de chevalerie | Un roman policier | Un roman réaliste | Un roman d'anticipation
M | Quel héros de la Table ronde cherche le Graal ? | Perceval | Roland | Renart | Tristan
M | Quel roi légendaire réunit les chevaliers autour d'une table ronde ? | Le roi Arthur | Charlemagne | Clovis | Louis IX
M | Quel récit médiéval met en scène un goupil rusé ? | Le Roman de Renart | La Chanson de Roland | Tristan et Iseut | Le Roman de la Rose
M | Quelle chanson de geste raconte la mort d'un neveu de Charlemagne ? | La Chanson de Roland | Le Roman de Renart | Le Roman de la Rose | Perceval
M | Comment appelle-t-on un long poème qui célèbre des exploits guerriers ? | Une chanson de geste | Une fable | Un sonnet | Une élégie
M | Comment appelle-t-on un poème de quatorze vers ? | Un sonnet | Une ballade | Une ode | Un rondeau
M | Comment appelle-t-on une strophe de quatre vers ? | Un quatrain | Un tercet | Un distique | Un quintil
D | Comment appelle-t-on une strophe de trois vers ? | Un tercet | Un quatrain | Un distique | Un sizain
M | Comment appelle-t-on des rimes disposées en ABAB ? | Des rimes croisées | Des rimes plates | Des rimes embrassées | Des rimes libres
D | Comment appelle-t-on des rimes disposées en AABB ? | Des rimes plates | Des rimes croisées | Des rimes embrassées | Des rimes riches
D | Comment appelle-t-on des rimes disposées en ABBA ? | Des rimes embrassées | Des rimes croisées | Des rimes plates | Des rimes suivies


# --- Compléments : grammaire et vocabulaire ---

F | Comment appelle-t-on le mot qui remplace un nom déjà cité ? | Un pronom | Un déterminant | Un adjectif | Un adverbe
F | Comment appelle-t-on le pronom qui remplace un nom dans « je le vois » ? | Un pronom personnel complément | Un pronom relatif | Un pronom possessif | Un pronom démonstratif
F | Quelle est la fonction du mot « me » dans « il me parle » ? | Complément d'objet indirect | Sujet | Attribut | Complément circonstanciel
M | Comment appelle-t-on le pronom qui marque la possession dans « le mien » ? | Un pronom possessif | Un déterminant possessif | Un pronom démonstratif | Un pronom relatif
M | Comment appelle-t-on le pronom « celui-ci » ? | Un pronom démonstratif | Un pronom possessif | Un pronom relatif | Un pronom indéfini
M | Comment appelle-t-on le pronom « chacun » ? | Un pronom indéfini | Un pronom personnel | Un pronom démonstratif | Un pronom relatif
F | Comment appelle-t-on un verbe qui se conjugue avec « se » ? | Un verbe pronominal | Un verbe transitif | Un verbe intransitif | Un verbe impersonnel
M | Comment appelle-t-on un verbe qui n'admet pas de complément d'objet ? | Un verbe intransitif | Un verbe transitif | Un verbe pronominal | Un verbe attributif
M | Comment appelle-t-on un verbe qui appelle un complément d'objet direct ? | Un verbe transitif direct | Un verbe intransitif | Un verbe d'état | Un verbe impersonnel
M | Comment appelle-t-on les verbes comme « être », « sembler » et « paraître » ? | Des verbes d'état | Des verbes d'action | Des verbes pronominaux | Des verbes impersonnels
D | Comment appelle-t-on un verbe qui ne se conjugue qu'à la troisième personne du singulier ? | Un verbe impersonnel | Un verbe défectif | Un verbe transitif | Un verbe d'état
F | Comment appelle-t-on le niveau de langue employé entre amis ? | Le registre familier | Le registre courant | Le registre soutenu | Le registre technique
M | Comment appelle-t-on le niveau de langue d'un discours officiel ? | Le registre soutenu | Le registre familier | Le registre courant | Le registre populaire
D | À quel registre appartient le mot « bagnole » ? | Au registre familier | Au registre courant | Au registre soutenu | Au registre technique
D | À quel registre appartient le mot « automobile » ? | Au registre courant | Au registre familier | Au registre argotique | Au registre populaire
M | Comment appelle-t-on un mot emprunté à une langue étrangère ? | Un emprunt | Un néologisme | Un archaïsme | Un barbarisme
M | Comment appelle-t-on un mot nouvellement créé ? | Un néologisme | Un archaïsme | Un emprunt | Un pléonasme
M | Comment appelle-t-on un mot qui n'est plus employé aujourd'hui ? | Un archaïsme | Un néologisme | Un anglicisme | Un régionalisme
D | Comment appelle-t-on la répétition inutile d'une même idée ? | Un pléonasme | Un néologisme | Un oxymore | Une litote
M | Comment appelle-t-on l'ensemble des mots d'une langue ? | Le lexique | La grammaire | La syntaxe | La conjugaison
M | Comment appelle-t-on l'étude de l'ordre des mots dans la phrase ? | La syntaxe | Le lexique | La phonétique | L'orthographe
D | Comment appelle-t-on l'étude de la formation des mots ? | La morphologie | La syntaxe | La phonétique | La sémantique
D | Comment appelle-t-on l'étude du sens des mots ? | La sémantique | La syntaxe | La morphologie | La phonétique
M | Comment appelle-t-on le mot qui indique le genre et le nombre du nom ? | Le déterminant | L'adverbe | La préposition | La conjonction
M | Quels sont les deux genres du nom français ? | Le masculin et le féminin | Le masculin et le neutre | Le féminin et le neutre | Les trois genres
M | Quels sont les deux nombres du nom français ? | Le singulier et le pluriel | Le singulier et le duel | Le pluriel et le collectif | Les trois nombres
D | Quel genre porte le mot « pétale » ? | Le masculin | Le féminin | Les deux | Aucun
D | Quel genre porte le mot « oasis » ? | Le féminin | Le masculin | Les deux | Aucun
D | Quel genre porte le mot « après-midi » ? | Les deux sont admis | Le masculin seul | Le féminin seul | Aucun
D | Quel genre porte le mot « autoroute » ? | Le féminin | Le masculin | Les deux | Aucun
D | Quel genre porte le mot « astérisque » ? | Le masculin | Le féminin | Les deux | Aucun
D | Quel genre porte le mot « haltère » ? | Le masculin | Le féminin | Les deux | Aucun


# --- Compléments : les vingt-trois dernières ---

F | Comment appelle-t-on le mot invariable qui modifie un verbe ? | Un adverbe | Un adjectif | Un déterminant | Un pronom
F | Comment appelle-t-on le groupe de mots construit autour d'un nom ? | Un groupe nominal | Un groupe verbal | Une proposition | Une phrase
F | Comment appelle-t-on le groupe de mots construit autour d'un verbe ? | Un groupe verbal | Un groupe nominal | Un complément | Une subordonnée
F | Quelle terminaison prend un verbe dont le sujet est « nous » ? | Ons le plus souvent | Ez | Ent | Es
F | Quelle terminaison prend un verbe dont le sujet est « vous » ? | Ez le plus souvent | Ons | Ent | Es
F | Quelle terminaison prend un verbe dont le sujet est « ils » ? | Ent le plus souvent | Ons | Ez | Es
F | Comment appelle-t-on l'action de mettre un verbe à toutes ses personnes ? | La conjugaison | La déclinaison | L'accord | La dérivation
F | Comment appelle-t-on la partie du verbe qui ne change pas ? | Le radical | La terminaison | Le préfixe | Le suffixe
F | Comment appelle-t-on la partie du verbe qui change selon la personne ? | La terminaison | Le radical | Le préfixe | La racine
F | Quel mot désigne l'auteur d'un texte littéraire ? | L'écrivain | Le lecteur | L'éditeur | Le libraire
F | Comment appelle-t-on le titre placé en tête d'un chapitre ? | L'intertitre | La préface | La table | La couverture
F | Comment appelle-t-on le texte qui présente un livre en début d'ouvrage ? | La préface | La postface | La table | L'index
M | Comment appelle-t-on le résumé au dos d'un livre ? | La quatrième de couverture | La préface | L'index | La table
M | Comment appelle-t-on la liste des chapitres d'un livre ? | La table des matières | L'index | Le glossaire | La préface
M | Comment appelle-t-on le petit lexique qui explique les mots difficiles ? | Le glossaire | L'index | La table | La bibliographie
F | Quel écrivain français du XVIIe siècle a écrit des comédies célèbres ? | Molière | Racine | Corneille | Boileau
M | Quelle pièce de Molière met en scène un bourgeois qui veut être noble ? | Le Bourgeois gentilhomme | L'Avare | Tartuffe | Les Fourberies de Scapin
M | Quelle pièce de Molière met en scène un homme obsédé par son argent ? | L'Avare | Le Misanthrope | Dom Juan | Les Femmes savantes
F | Comment appelle-t-on une pièce de théâtre qui fait rire ? | Une comédie | Une tragédie | Un drame | Une farce seule
F | Comment appelle-t-on une pièce de théâtre qui finit mal ? | Une tragédie | Une comédie | Une farce | Un vaudeville
M | Comment appelle-t-on la peur et la pitié que doit susciter la tragédie ? | La catharsis | La bienséance | La vraisemblance | L'unité
D | Combien d'actes compte une tragédie classique ? | Cinq | Trois | Quatre | Deux
D | Comment appelle-t-on la règle qui impose un seul lieu et un seul jour ? | La règle des trois unités | La règle de bienséance | La règle de vraisemblance | La règle du décorum
