# Géographie — Sixième — une question par ligne.
#
# niveau | énoncé ? | bonne réponse | leurre | leurre | leurre
# F facile · M moyen · D difficile
#
# Les propositions sont mêlées au tirage : l'ordre n'a aucune importance.
# Un leurre doit être faux mais crédible — un leurre absurde ne fait pas
# une question, il fait une question à trois propositions.
#
# Le programme de géographie de sixième : habiter une métropole, un espace de
# faible densité, les littoraux, et le monde habité.
#
# Aucun énoncé ne double aucun autre fichier de questions.

! id      | geographie-6e
! nom     | Géographie — 6e
! de      | de Géographie — 6e
! detail  | Le programme de sixième : habiter le monde, villes et littoraux.
! icone   | globe.asia.australia
! teinte  | 0.35 0.60 0.76
! rang   | 7
! produit | com.oulhen.riskelo.pack.geographie6e


# --- Habiter une métropole ---

F | Comment appelle-t-on une très grande ville qui commande une région ? | Une métropole | Un village | Un hameau | Un bourg
D | Comment appelle-t-on un passage étroit entre deux mers ? | Un détroit | Un golfe | Un cap | Un delta
D | Comment appelle-t-on une avancée de la mer dans les terres ? | Un golfe | Un cap | Un isthme | Un détroit
D | Comment appelle-t-on une bande de terre entre deux mers ? | Un isthme | Un détroit | Un delta | Un fjord
M | Comment appelle-t-on l'endroit où un fleuve se jette dans la mer ? | L'embouchure | La source | Le méandre | L'affluent
M | Comment appelle-t-on le début d'un cours d'eau ? | La source | L'embouchure | Le confluent | Le delta
D | Comment appelle-t-on la rivière qui se jette dans un fleuve ? | Un affluent | Un delta | Un méandre | Un bras mort
D | Comment appelle-t-on l'endroit où deux cours d'eau se rejoignent ? | Le confluent | La source | L'estuaire | La cascade
M | Comment appelle-t-on une grande étendue d'eau douce entourée de terres ? | Un lac | Une mer | Un golfe | Une baie


# --- Compléments : lire une carte ---

F | Que montre un planisphère ? | Le monde entier à plat | Un seul pays | Une ville | Un quartier
F | Comment appelle-t-on la boule qui représente la Terre ? | Un globe | Un planisphère | Un atlas | Une carte
F | Que faut-il regarder pour comprendre les couleurs d'une carte ? | La légende | Le titre seul | L'échelle | La date
F | À quoi sert l'échelle d'une carte ? | À connaître les distances réelles | À connaître les couleurs | À connaître la date | À connaître l'auteur
M | Comment appelle-t-on les quatre directions principales ? | Les points cardinaux | Les méridiens | Les parallèles | Les tropiques
M | Quels sont les quatre points cardinaux ? | Nord, sud, est, ouest | Haut, bas, droite, gauche | Avant, arrière, dessus, dessous | Levant, couchant, midi, minuit
M | Quel instrument indique le nord ? | La boussole | Le baromètre | Le thermomètre | L'anémomètre
D | Comment appelle-t-on les deux nombres qui situent un point sur la Terre ? | La latitude et la longitude | La hauteur et la largeur | Le nord et le sud | Le relief et le climat
D | Depuis quelle ville compte-t-on la longitude zéro ? | Greenwich | Paris | Rome | Le Caire
M | Comment appelle-t-on une image de la Terre prise depuis l'espace ? | Une image satellite | Un croquis | Un plan | Un schéma
M | Comment appelle-t-on un dessin simple qui résume un espace ? | Un croquis | Une photographie | Un tableau | Un graphique
D | Comment appelle-t-on une carte qui montre les montagnes et les plaines ? | Une carte du relief | Une carte politique | Une carte des climats | Une carte routière


# --- Compléments : climats et paysages ---

F | Quel climat fait-il très chaud toute l'année près de l'équateur ? | Le climat équatorial | Le climat polaire | Le climat tempéré | Le climat de montagne
F | Quel climat règne autour des pôles ? | Le climat polaire | Le climat désertique | Le climat tropical | Le climat océanique
M | Quel climat connaît quatre saisons marquées ? | Le climat tempéré | Le climat équatorial | Le climat polaire | Le climat désertique
M | Quel paysage d'herbes hautes et d'arbres épars règne en Afrique tropicale ? | La savane | La taïga | La toundra | Le maquis
M | Quelle végétation basse et épineuse pousse autour de la Méditerranée ? | Le maquis | La savane | La taïga | La mangrove
D | Comment appelle-t-on la forêt qui pousse les pieds dans l'eau salée ? | La mangrove | La taïga | La garrigue | La lande
M | Quelle forêt très dense pousse sous le climat équatorial ? | La forêt dense | La forêt de conifères | La lande | La steppe
D | Comment appelle-t-on la vaste plaine d'herbe d'Asie centrale ? | La steppe | La savane | La toundra | La pampa
D | Comment appelle-t-on la grande plaine d'herbe d'Argentine ? | La pampa | La steppe | La savane | Le llano
M | Quelle saison des pluies arrose l'Asie du Sud chaque été ? | La mousson | L'alizé | Le zonda | Le blizzard
M | Comment appelle-t-on une longue période sans pluie ? | Une sécheresse | Une inondation | Une avalanche | Une marée
D | Quel vent régulier souffle vers l'équateur sous les tropiques ? | L'alizé | Le mistral | La tramontane | Le foehn


# --- Compléments : habiter et se nourrir ---

F | Comment appelle-t-on la culture de la terre pour se nourrir ? | L'agriculture | L'industrie | Le commerce | L'artisanat
F | Comment appelle-t-on l'élevage des animaux de ferme ? | L'élevage | La chasse | La pêche | La cueillette
M | Quelle céréale nourrit le plus d'habitants en Asie ? | Le riz | Le blé | Le maïs | L'orge
M | Quelle céréale est la plus cultivée en Europe ? | Le blé | Le riz | Le manioc | Le sorgho
M | Quelle céréale vient d'Amérique et nourrit aussi les animaux ? | Le maïs | Le riz | Le seigle | L'avoine
D | Comment appelle-t-on une agriculture qui nourrit d'abord la famille ? | Une agriculture vivrière | Une agriculture de rente | Une agriculture intensive | Une agriculture urbaine
D | Comment appelle-t-on la culture du riz en terrasses inondées ? | La riziculture | L'oléiculture | La sylviculture | L'arboriculture
M | Comment appelle-t-on l'eau amenée aux champs par des canaux ? | L'irrigation | Le drainage | L'assèchement | La captation
M | Quelle ressource est indispensable à toute culture ? | L'eau | Le pétrole | Le charbon | Le fer
D | Comment appelle-t-on un champ aménagé en marches sur une pente ? | Une terrasse | Une jachère | Un openfield | Un bocage
M | Comment appelle-t-on un paysage de champs entourés de haies ? | Le bocage | L'openfield | La steppe | La garrigue
D | Comment appelle-t-on un paysage de grands champs sans clôture ? | L'openfield | Le bocage | Le maquis | La lande


# --- Compléments : les repères du monde ---

F | Quel est le plus grand continent ? | L'Asie | L'Afrique | L'Europe | L'Amérique du Sud
F | Quel est le plus petit continent ? | L'Océanie | L'Europe | L'Afrique | L'Antarctique
F | Quel océan faut-il traverser pour aller de Lisbonne à New York ? | L'Atlantique | Le Pacifique | L'océan Indien | L'Arctique
F | Quel océan borde l'Asie à l'est ? | Le Pacifique | L'Atlantique | L'Arctique | L'océan Austral
F | Quel océan baigne les côtes de l'Inde ? | L'océan Indien | L'Atlantique | Le Pacifique | L'Arctique
F | Quel océan entoure le pôle Nord ? | L'océan Arctique | L'océan Austral | Le Pacifique | L'Atlantique
F | Quel sommet culmine à près de 8 850 mètres ? | L'Everest | Le mont Blanc | Le Kilimandjaro | L'Aconcagua
F | Dans quelle chaîne de montagnes se trouve l'Everest ? | L'Himalaya | Les Andes | Les Alpes | Les Rocheuses
F | Quelle chaîne de montagnes longe toute la côte ouest de l'Amérique du Sud ? | Les Andes | L'Himalaya | Les Alpes | L'Oural
F | Quel est le plus long fleuve d'Amérique du Sud ? | L'Amazone | Le Paraná | L'Orénoque | Le Rio Grande
F | Quel est le plus long fleuve d'Asie ? | Le Yangzi Jiang | Le Gange | Le Mékong | L'Indus
F | Quel fleuve traverse l'Allemagne du sud au nord ? | Le Rhin | Le Danube | L'Elbe | L'Oder
F | Quelle mer sépare l'Europe de l'Afrique ? | La Méditerranée | La mer Rouge | La mer Noire | La Baltique
F | Quel canal relie l'Atlantique au Pacifique en Amérique centrale ? | Le canal de Panama | Le canal de Suez | Le canal de Kiel | Le canal de Corinthe
F | Quelle capitale européenne est traversée par le Tibre ? | Rome | Milan | Naples | Turin
F | Quelle capitale se trouve au centre exact de l'Espagne ? | Madrid | Barcelone | Séville | Valence
F | Quelle capitale allemande fut coupée par un mur ? | Berlin | Munich | Hambourg | Francfort
F | Quelle est la capitale du Royaume-Uni ? | Londres | Édimbourg | Manchester | Dublin
F | Quelle capitale asiatique est la plus peuplée du monde ? | Tokyo | Kyoto | Osaka | Nagoya
F | Quelle capitale chinoise abrite la Cité interdite ? | Pékin | Shanghai | Canton | Hong Kong
F | Quelle capitale africaine se trouve près des pyramides de Gizeh ? | Le Caire | Alexandrie | Louxor | Assouan
F | Quelle ville australienne est la capitale, sans être la plus peuplée ? | Canberra | Sydney | Melbourne | Perth
F | Sur quel continent coule l'Amazone ? | L'Amérique du Sud | L'Afrique | L'Asie | L'Océanie
F | Sur quel continent se trouve l'Inde ? | L'Asie | L'Afrique | L'Europe | L'Océanie
F | Sur quel continent se trouve le Maroc ? | L'Afrique | L'Asie | L'Europe | L'Amérique
F | Sur quel continent se trouve le Canada ? | L'Amérique du Nord | L'Amérique du Sud | L'Europe | L'Asie
F | Quel pays est le plus vaste d'Amérique du Sud ? | Le Brésil | L'Argentine | Le Chili | Le Pérou
F | Quel pays occupe presque tout un continent à lui seul ? | L'Australie | Le Brésil | La Russie | Le Canada
F | Comment appelle-t-on le nombre d'habitants d'un pays ? | La population | La densité | La superficie | Le peuplement
F | Comment appelle-t-on la surface d'un pays ? | La superficie | La densité | La population | L'altitude


# --- Compléments : habiter, se déplacer, échanger ---

M | Comment appelle-t-on le déplacement quotidien vers son travail ? | La navette domicile-travail | Le voyage d'affaires | L'exode rural | L'émigration
M | Quel transport relie les continents le plus vite ? | L'avion | Le bateau | Le train | Le camion
M | Quel transport porte l'essentiel des marchandises dans le monde ? | Le bateau | L'avion | Le train | La moto
M | Comment appelle-t-on la grande boîte métallique qui voyage sur les navires ? | Le conteneur | La palette | La soute | La citerne
M | Comment appelle-t-on un lieu où l'on change de moyen de transport ? | Une gare d'échange | Un terminus | Un entrepôt | Un péage
M | Comment appelle-t-on un pays où beaucoup de touristes se rendent ? | Une destination touristique | Un pays de départ | Un pays de transit | Un pays fermé
M | Quel pays d'Europe reçoit le plus de touristes après la France ? | L'Espagne | La Suède | La Pologne | La Grèce
M | Comment appelle-t-on le tourisme pratiqué à la montagne l'hiver ? | Le tourisme de neige | Le tourisme balnéaire | L'écotourisme | Le tourisme urbain
D | Comment appelle-t-on un lieu très visité et protégé par l'UNESCO ? | Un site du patrimoine mondial | Une réserve de chasse | Un parc d'attractions | Une zone franche
M | Quel monument de Paris est le plus visité au monde ? | La tour Eiffel | Le Panthéon | L'Arc de Triomphe | La Sorbonne
M | Comment appelle-t-on l'ensemble des routes, ponts et voies d'un pays ? | Les infrastructures | Les ressources | Les territoires | Les frontières
D | Comment appelle-t-on une région bien reliée au reste du monde ? | Une région connectée | Une région enclavée | Une région isolée | Une région fermée
M | Quel réseau permet d'échanger des informations dans le monde entier ? | Internet | Le télégraphe | La poste | La radio seule
D | Par quoi passe l'essentiel des communications entre continents ? | Des câbles sous-marins | Des satellites seuls | Des antennes radio | Des relais hertziens


# --- Compléments : ressources et environnement ---

F | Quelle ressource est indispensable à la vie ? | L'eau | Le pétrole | Le charbon | L'or
M | Comment appelle-t-on l'eau que l'on peut boire ? | L'eau potable | L'eau salée | L'eau de mer | L'eau usée
M | Quelle part de l'eau de la Terre est de l'eau douce ? | Environ 3 % | Environ 50 % | Environ 30 % | Environ 70 %
M | Comment appelle-t-on une énergie tirée de la nature et inépuisable ? | Une énergie renouvelable | Une énergie fossile | Une énergie nucléaire | Une énergie chimique
M | Quelle énergie vient du vent ? | L'énergie éolienne | L'énergie solaire | La géothermie | L'hydraulique
M | Quelle énergie vient de la chaleur du sol ? | La géothermie | L'énergie éolienne | L'énergie solaire | La biomasse
M | Quelle énergie fossile a fait tourner les premières usines ? | Le charbon | Le pétrole | Le gaz | L'uranium
D | Comment appelle-t-on la disparition des forêts sous la hache ? | La déforestation | L'érosion | La désertification | La jachère
D | Comment appelle-t-on l'avancée du désert sur des terres cultivées ? | La désertification | La déforestation | L'irrigation | Le drainage
M | Comment appelle-t-on le tri et la réutilisation des déchets ? | Le recyclage | L'incinération | L'enfouissement | La décharge
M | Comment appelle-t-on un développement qui préserve l'avenir ? | Le développement durable | La croissance rapide | L'expansion | L'industrialisation
D | Comment appelle-t-on l'ensemble des êtres vivants d'un milieu ? | La biodiversité | La géologie | L'hydrographie | La topographie
M | Quel gaz rejeté par les usines réchauffe l'atmosphère ? | Le dioxyde de carbone | L'oxygène | L'azote | L'hélium
M | Que devient la banquise avec le réchauffement du climat ? | Elle fond | Elle grandit | Elle durcit | Elle ne change pas
D | Comment appelle-t-on un espace naturel protégé par la loi ? | Une réserve naturelle | Une zone industrielle | Une friche | Un lotissement
M | Quel animal des régions polaires est menacé par la fonte des glaces ? | L'ours blanc | Le chameau | Le tigre | Le gorille


# --- Compléments : les grandes villes du monde ---

M | Dans quel pays se trouve la ville de New York ? | Aux États-Unis | Au Canada | Au Mexique | En Australie
M | Dans quel pays se trouve la ville de Bombay ? | En Inde | Au Pakistan | Au Bangladesh | Au Sri Lanka
M | Dans quel pays se trouve la ville du Caire ? | En Égypte | En Libye | Au Soudan | En Tunisie
M | Dans quel pays se trouve la ville de Lagos ? | Au Nigeria | Au Ghana | Au Kenya | En Éthiopie
M | Dans quel pays se trouve la ville de São Paulo ? | Au Brésil | En Argentine | Au Chili | Au Pérou
M | Dans quel pays se trouve la ville de Séoul ? | En Corée du Sud | Au Japon | En Chine | À Taïwan
M | Dans quel pays se trouve la ville d'Istanbul ? | En Turquie | En Grèce | En Bulgarie | En Syrie
D | Quelle ville russe est la plus peuplée ? | Moscou | Saint-Pétersbourg | Novossibirsk | Kazan
D | Quelle ville d'Indonésie compte plus de dix millions d'habitants ? | Jakarta | Bali | Medan | Surabaya
D | Quelle mégapole du Bangladesh est l'une des plus denses du monde ? | Dacca | Chittagong | Khulna | Rajshahi
M | Comment appelle-t-on l'ensemble d'une ville et de ses banlieues ? | L'agglomération | Le canton | Le département | La province
D | Comment appelle-t-on plusieurs villes qui se rejoignent en s'étalant ? | Une conurbation | Une mégapole | Une capitale | Une métropole
M | Quelle ville est le siège de l'ONU ? | New York | Genève | Paris | Vienne
D | Quelle ville suisse abrite de nombreuses organisations internationales ? | Genève | Berne | Zurich | Bâle
M | Comment appelle-t-on la ville où siège le gouvernement d'un pays ? | La capitale | La métropole | Le chef-lieu | Le port principal
D | Quel pays possède deux capitales, l'une politique et l'autre économique ? | L'Afrique du Sud | La France | L'Italie | Le Japon


# --- Compléments : les dix dernières ---

F | Comment appelle-t-on l'endroit où l'on habite ? | Le lieu de vie | La frontière | Le climat | Le relief
F | Comment appelle-t-on un très petit groupe de maisons à la campagne ? | Un hameau | Une métropole | Une agglomération | Un arrondissement
M | Comment appelle-t-on la limite entre deux pays ? | Une frontière | Un littoral | Un méridien | Une côte
M | Comment appelle-t-on un pays entouré de terres, sans accès à la mer ? | Un pays enclavé | Un pays insulaire | Un pays côtier | Un archipel
M | Comment appelle-t-on l'ensemble des habitants d'une même ville ? | La population urbaine | La densité | La superficie | Le peuplement rural
D | Comment appelle-t-on une ville dont les habitants partent travailler ailleurs ? | Une ville-dortoir | Une ville nouvelle | Une capitale | Un port
D | Comment appelle-t-on l'espace autour d'une ville où elle exerce son influence ? | Son aire d'influence | Sa frontière | Son littoral | Son relief
M | Comment appelle-t-on la partie du globe où vivent les hommes ? | L'espace habité | L'atmosphère | La lithosphère | L'hydrosphère
D | Comment appelle-t-on l'aménagement d'un espace par les hommes ? | L'aménagement du territoire | L'érosion | La sédimentation | La cartographie
D | Comment appelle-t-on l'étude des lieux et de la façon dont on les habite ? | La géographie | L'histoire | La sociologie | L'économie
