# Histoire — Cinquième — une question par ligne.
#
# niveau | énoncé ? | bonne réponse | leurre | leurre | leurre
# F facile · M moyen · D difficile
#
# Les propositions sont mêlées au tirage : l'ordre n'a aucune importance.
# Un leurre doit être faux mais crédible — un leurre absurde ne fait pas
# une question, il fait une question à trois propositions.
#
# Le programme d'histoire de cinquième : chrétientés et islam, l'Occident
# féodal, et l'ouverture de l'Europe sur le monde aux XVIe et XVIIe siècles.
#
# Aucun énoncé ne double aucun autre fichier de questions.

! id      | histoire-5e
! nom     | Histoire — 5e
! de      | d'Histoire — 5e
! detail  | Le programme de cinquième : Moyen Âge, islam, Renaissance.
! icone   | crown
! teinte  | 0.56 0.32 0.58
! rang   | 11
! produit | com.oulhen.riskelo.pack.histoire5e


# --- Byzance et l'Europe carolingienne ---

F | Quel empire a survécu à la chute de Rome en Orient ? | L'empire byzantin | L'empire perse | L'empire ottoman | L'empire carolingien
M | En quelle année la première croisade prend-elle Jérusalem ? | 1099 | 1204 | 1187 | 1291
D | Quel sultan ayyoubide a vaincu les croisés à Hattin ? | Saladin | Baybars | Soliman | Mehmed II
M | Comment appelait-on l'association des artisans d'un même métier ? | La corporation | La confrérie | La guilde marchande seule | La commune
M | Comment appelait-on l'habitant libre d'une ville médiévale ? | Le bourgeois | Le vilain | Le serf | Le vassal
D | Comment appelait-on la charte d'affranchissement d'une ville ? | La charte de franchise | Le cens | Le fief | Le censier
F | Quelle épidémie a tué un tiers des Européens au XIVe siècle ? | La peste noire | Le choléra | La variole | Le typhus
M | En quelle année la peste noire atteint-elle l'Europe ? | 1347 | 1453 | 1200 | 1420
F | Quelle guerre a opposé la France et l'Angleterre de 1337 à 1453 ? | La guerre de Cent Ans | La guerre des Deux-Roses | La guerre de Trente Ans | La guerre de Succession
M | Quelle jeune femme a conduit l'armée française à Orléans en 1429 ? | Jeanne d'Arc | Aliénor d'Aquitaine | Blanche de Castille | Anne de Bretagne
D | Dans quelle ville de Normandie Jeanne d'Arc a-t-elle été jugée ? | Rouen | Orléans | Reims | Compiègne


# --- L'affirmation de l'État monarchique ---

M | Quelle dynastie règne sur la France à partir de 987 ? | Les Capétiens | Les Carolingiens | Les Valois | Les Mérovingiens
D | Quel roi a fondé la dynastie capétienne en 987 ? | Hugues Capet | Robert le Pieux | Philippe Auguste | Louis VI
F | Dans quelle ville les rois de France étaient-ils sacrés ? | Reims | Paris | Saint-Denis | Chartres
D | Quel roi de France a agrandi le domaine royal après Bouvines en 1214 ? | Philippe Auguste | Saint Louis | Philippe le Bel | Louis IX
D | Quel roi de France est mort en croisade en 1270 ? | Saint Louis | Philippe Auguste | Charles V | Philippe le Bel
D | Quel roi a réuni les premiers états généraux en 1302 ? | Philippe le Bel | Saint Louis | Charles VII | Louis XI
D | Quel ordre religieux et militaire Philippe le Bel a-t-il détruit ? | Les Templiers | Les Hospitaliers | Les Teutoniques | Les Chartreux
M | Comment appelait-on l'officier du roi qui rendait la justice localement ? | Le bailli | Le vassal | Le comte | Le chevalier
D | Quel roi de France a réorganisé le royaume après la guerre de Cent Ans ? | Charles VII | Louis XI | François Ier | Charles VIII
M | Quel roi anglais a été vaincu à Hastings en 1066 ? | Harold | Guillaume | Richard | Henri
M | Quel duc de Normandie a conquis l'Angleterre en 1066 ? | Guillaume le Conquérant | Rollon | Robert le Magnifique | Richard Cœur de Lion
D | Quelle broderie raconte la conquête de l'Angleterre en 1066 ? | La tapisserie de Bayeux | La tenture de l'Apocalypse | La dame à la licorne | Les Très Riches Heures


# --- Le monde au temps de Charles Quint et Soliman ---

F | Quel navigateur génois a atteint l'Amérique en 1492 ? | Christophe Colomb | Vasco de Gama | Magellan | Amerigo Vespucci
M | Quels souverains ont financé le voyage de Colomb ? | Les rois d'Espagne | Le roi de France | Le roi du Portugal | Le pape
D | Comment s'appelaient les trois navires du premier voyage de Colomb ? | La Santa María, la Pinta, la Niña | La Boudeuse et l'Étoile | La Victoria | La Grande Hermine
F | Quel navigateur portugais a atteint l'Inde par la mer en 1498 ? | Vasco de Gama | Colomb | Cabral | Dias
D | Quel navigateur a doublé le cap de Bonne-Espérance en 1488 ? | Bartolomeu Dias | Vasco de Gama | Colomb | Magellan
M | Quelle expédition a fait le premier tour du monde ? | Celle de Magellan | Celle de Colomb | Celle de Cartier | Celle de Cook
D | Qui a achevé le tour du monde après la mort de Magellan ? | Elcano | Pigafetta | Cabral | Vespucci
M | Quel navigateur français a exploré le Saint-Laurent en 1534 ? | Jacques Cartier | Samuel de Champlain | La Salle | Verrazano
M | Comment appelait-on les conquérants espagnols de l'Amérique ? | Les conquistadors | Les colons | Les corsaires | Les missionnaires
M | Quel conquistador a abattu l'empire aztèque ? | Hernán Cortés | Francisco Pizarro | Diego Velázquez | Balboa
M | Quel conquistador a abattu l'empire inca ? | Francisco Pizarro | Hernán Cortés | Vasco de Balboa | Almagro
M | Quel empire d'Amérique centrale avait pour capitale Tenochtitlán ? | L'empire aztèque | L'empire inca | L'empire maya | L'empire olmèque
M | Quel empire d'Amérique du Sud avait pour capitale Cuzco ? | L'empire inca | L'empire aztèque | L'empire maya | L'empire chimú
M | Quelle cité inca perchée dans les Andes a été retrouvée en 1911 ? | Machu Picchu | Cuzco | Tiahuanaco | Chan Chan
M | Quelle maladie apportée d'Europe a décimé les Amérindiens ? | La variole | La peste noire | Le choléra | La tuberculose
D | Comment appelle-t-on l'échange de plantes et d'animaux entre les continents ? | L'échange colombien | La traite | Le mercantilisme | Le troc atlantique
M | Quelle plante d'Amérique est devenue une base de l'alimentation en Europe ? | La pomme de terre | Le blé | Le riz | L'orge
D | Quel traité de 1494 partage le monde entre l'Espagne et le Portugal ? | Le traité de Tordesillas | Le traité de Saragosse | Le traité de Madrid | Le traité de Lisbonne
M | Quel empereur régnait sur un empire « où le soleil ne se couche jamais » ? | Charles Quint | François Ier | Henri VIII | Philippe II
D | Quel sultan ottoman a régné en même temps que Charles Quint ? | Soliman le Magnifique | Mehmed II | Bayezid II | Selim Ier
M | En quelle année Constantinople est-elle tombée aux mains des Ottomans ? | 1453 | 1492 | 1204 | 1517
D | Quel sultan ottoman a pris Constantinople ? | Mehmed II | Soliman | Osman | Murad II


# --- Humanisme, réformes et conflits religieux ---

F | Comment appelle-t-on le mouvement artistique né en Italie au XVe siècle ? | La Renaissance | Le romantisme | Le baroque | Le classicisme
M | Comment appelle-t-on les savants qui replacent l'homme au centre ? | Les humanistes | Les scolastiques | Les alchimistes | Les cléricaux
D | Quel humaniste néerlandais a écrit « l'Éloge de la folie » ? | Érasme | Thomas More | Rabelais | Montaigne
D | Quel humaniste anglais a imaginé l'île d'Utopie ? | Thomas More | Érasme | Shakespeare | Bacon
M | Quel écrivain français a créé Gargantua et Pantagruel ? | Rabelais | Montaigne | Ronsard | Du Bellay
M | Quel écrivain français a inventé le genre des Essais ? | Montaigne | Rabelais | Ronsard | La Boétie
F | Quelle invention de Gutenberg a diffusé les idées nouvelles ? | L'imprimerie | La boussole | Le télescope | Le papier
D | Vers quelle date Gutenberg met-il au point son procédé ? | Vers 1450 | Vers 1300 | Vers 1550 | Vers 1600
F | Quel artiste italien a peint la Joconde ? | Léonard de Vinci | Michel-Ange | Raphaël | Botticelli
M | Quel artiste a peint le plafond de la chapelle Sixtine ? | Michel-Ange | Léonard de Vinci | Raphaël | Le Titien
F | Quel roi de France a fait venir Léonard de Vinci à Amboise ? | François Ier | Louis XII | Henri II | Charles VIII
D | Quel château de la Loire est célèbre pour son escalier à double révolution ? | Chambord | Chenonceau | Blois | Amboise
F | Quel moine allemand a lancé la Réforme en 1517 ? | Martin Luther | Jean Calvin | Thomas Müntzer | Ulrich Zwingli
D | Combien de thèses Luther aurait-il affichées à Wittenberg ? | Quatre-vingt-quinze | Dix | Cinquante | Cent
M | Quel réformateur français s'est installé à Genève ? | Jean Calvin | Martin Luther | Théodore de Bèze | Guillaume Farel
D | Contre quelle pratique de l'Église Luther s'est-il d'abord élevé ? | La vente des indulgences | Le célibat des prêtres | Le culte des saints | Le latin de la messe
M | Comment appelle-t-on les protestants français du XVIe siècle ? | Les huguenots | Les cathares | Les jansénistes | Les vaudois
D | Quel concile a organisé la réponse catholique à la Réforme ? | Le concile de Trente | Le concile de Nicée | Le concile de Latran | Le concile de Constance
M | Quel massacre de protestants a eu lieu à Paris en août 1572 ? | La Saint-Barthélemy | Les Vêpres siciliennes | La journée des Dupes | Le sac de Rome
D | Quel roi de France a mis fin aux guerres de Religion ? | Henri IV | Charles IX | Henri III | Louis XIII


# --- Du prince de la Renaissance au roi absolu ---

M | Quel roi de France a fait du français la langue officielle en 1539 ? | François Ier | Louis XI | Henri II | Charles IX
D | Quelle ordonnance royale de 1539 chasse le latin des tribunaux ? | Villers-Cotterêts | Blois | Moulins | Amboise
M | Quel cardinal a gouverné la France sous Louis XIII ? | Richelieu | Mazarin | Fleury | Retz
D | Quel cardinal a gouverné pendant l'enfance de Louis XIV ? | Mazarin | Richelieu | Fleury | Dubois
F | Quel roi de France est appelé le Roi-Soleil ? | Louis XIV | Louis XIII | Louis XV | François Ier
F | Quel château Louis XIV a-t-il fait bâtir près de Paris ? | Versailles | Fontainebleau | Chambord | Vincennes
D | Comment appelle-t-on la révolte des nobles contre le pouvoir royal vers 1650 ? | La Fronde | La Jacquerie | La Ligue | La Chouannerie
M | Comment appelle-t-on un régime où le roi détient tous les pouvoirs ? | La monarchie absolue | La république | La monarchie parlementaire | L'oligarchie
D | Quel ministre de Louis XIV a développé le commerce et les manufactures ? | Colbert | Louvois | Vauban | Le Tellier
D | Quel ingénieur de Louis XIV a fortifié les frontières du royaume ? | Vauban | Colbert | Turenne | Condé
M | Quel édit de 1685 supprime la liberté de culte des protestants ? | La révocation de l'édit de Nantes | L'édit de Fontainebleau seul | L'édit de Villers-Cotterêts | L'édit d'Amboise
D | Quelle salle de Versailles est célèbre pour ses dix-sept arcades de miroirs ? | La galerie des Glaces | La chapelle royale | Le salon d'Apollon | L'Orangerie
F | Quel dramaturge a écrit des comédies pour la cour de Louis XIV ? | Molière | Corneille | Racine | La Fontaine
D | Quel jardinier a dessiné les jardins de Versailles ? | Le Nôtre | Le Vau | Mansart | Le Brun


# --- Compléments : repères du Moyen Âge ---

F | Quelle période s'étend de la chute de Rome à la Renaissance ? | Le Moyen Âge | L'Antiquité | Les temps modernes | La préhistoire
F | Combien de siècles dure environ le Moyen Âge ? | Environ dix | Environ trois | Environ vingt | Environ cinq
F | Quelle religion domine l'Europe au Moyen Âge ? | Le christianisme | L'islam | Le bouddhisme | L'hindouisme
F | Comment appelle-t-on le chef de l'Église catholique ? | Le pape | Le calife | L'évêque | Le patriarche
F | Dans quelle ville le pape réside-t-il ? | Rome | Jérusalem | Constantinople | Avignon seulement
F | Comment appelait-on un guerrier à cheval au Moyen Âge ? | Un chevalier | Un archer | Un piquier | Un arbalétrier
F | Quelle arme longue les archers anglais utilisaient-ils ? | L'arc | La lance | L'épée | La masse
F | Comment appelle-t-on la protection de métal du chevalier ? | L'armure | La toge | La cape | Le pourpoint
F | Comment appelle-t-on le combat de chevaliers organisé en spectacle ? | Le tournoi | Le siège | La croisade | La bataille rangée
F | Que cultivait-on surtout dans les campagnes médiévales ? | Des céréales | Du café | Du coton | Du riz
F | Comment appelle-t-on un livre écrit à la main au Moyen Âge ? | Un manuscrit | Un imprimé | Une gazette | Un almanach
F | Quelle langue utilisait l'Église au Moyen Âge en Occident ? | Le latin | Le grec | L'arabe | L'hébreu
F | Comment appelle-t-on les écoles supérieures nées au XIIe siècle ? | Les universités | Les collèges royaux | Les académies | Les lycées
F | Quelle ville de France abrite une célèbre université médiévale ? | Paris | Nice | Brest | Le Havre
F | Comment appelle-t-on la fête religieuse la plus importante des chrétiens ? | Pâques | La Toussaint | L'Ascension | La Chandeleur
F | Comment appelle-t-on le mois de jeûne des musulmans ? | Le ramadan | Le hadj | L'aïd | La zakat
F | Quel jour de la semaine les musulmans se réunissent-ils à la mosquée ? | Le vendredi | Le dimanche | Le samedi | Le lundi
F | Quel jour est le jour de repos des juifs ? | Le samedi | Le vendredi | Le dimanche | Le jeudi
F | Comment appelle-t-on le lieu de culte des juifs ? | La synagogue | La mosquée | L'église | Le temple grec
F | Quel continent les Européens ont-ils atteint en 1492 ? | L'Amérique | L'Australie | L'Antarctique | L'Asie


# --- Compléments : la vie au Moyen Âge et à la Renaissance ---

M | Comment appelle-t-on le marché annuel où venaient les marchands lointains ? | La foire | L'échoppe | Le beffroi | La halle
M | Quelle région de France était célèbre pour ses foires au XIIe siècle ? | La Champagne | La Bretagne | Le Limousin | La Savoie
M | Quelle ville d'Italie était une grande puissance maritime au Moyen Âge ? | Venise | Florence | Milan | Turin
M | Quelle famille de banquiers a régné sur Florence à la Renaissance ? | Les Médicis | Les Borgia | Les Sforza | Les Este
M | Quel marchand vénitien a raconté son voyage en Chine ? | Marco Polo | Christophe Colomb | Ibn Battuta | Vasco de Gama
M | Quel voyageur marocain a parcouru le monde musulman au XIVe siècle ? | Ibn Battuta | Marco Polo | Al-Idrisi | Averroès
M | Quel empire d'Afrique de l'Ouest était célèbre pour son or ? | L'empire du Mali | L'empire du Ghana seul | L'empire songhaï seul | Le royaume du Kongo
M | Quelle ville du Mali était un grand centre de savoir au Moyen Âge ? | Tombouctou | Gao | Djenné | Ségou
M | Quel instrument a permis aux marins de se guider en mer ? | La boussole | Le sextant seul | Le télescope | Le chronomètre
M | Quel navire rapide a servi aux grandes découvertes portugaises ? | La caravelle | La galère | Le drakkar | Le galion seul
M | Quelle science a progressé grâce à Copernic au XVIe siècle ? | L'astronomie | La chimie | La médecine | La géologie
M | Que soutenait Copernic à propos du Soleil ? | Que la Terre tourne autour de lui | Qu'il tourne autour de la Terre | Qu'il est immobile et plat | Qu'il est une étoile morte
M | Quel savant italien a été condamné pour avoir soutenu Copernic ? | Galilée | Léonard de Vinci | Newton | Kepler
M | Quel instrument Galilée a-t-il perfectionné pour observer le ciel ? | La lunette | Le microscope | La boussole | L'astrolabe
M | Comment appelait-on l'atelier d'un artiste de la Renaissance ? | Un atelier de maître | Une corporation | Une échoppe | Un cloître
M | Quel procédé de peinture nouveau se répand à la Renaissance ? | La peinture à l'huile | La fresque | La mosaïque | L'enluminure
M | Quelle technique de dessin donne l'illusion de la profondeur ? | La perspective | La symétrie | Le clair-obscur seul | Le trompe-l'œil seul
M | Comment appelle-t-on celui qui finance un artiste ? | Un mécène | Un marchand | Un notaire | Un clerc


# --- Compléments : les derniers repères ---

M | Quel roi d'Angleterre a rompu avec Rome pour divorcer ? | Henri VIII | Richard III | Édouard VI | Jacques Ier
M | Quelle Église est née de cette rupture avec Rome ? | L'anglicanisme | Le luthéranisme | Le calvinisme | L'orthodoxie
M | Quelle reine d'Angleterre a régné de 1558 à 1603 ? | Élisabeth Ire | Marie Stuart | Anne | Victoria
F | Quel dramaturge anglais a écrit Hamlet ? | Shakespeare | Molière | Marlowe | Ben Jonson
M | Quelle flotte espagnole a échoué contre l'Angleterre en 1588 ? | L'Invincible Armada | La flotte de Lépante | La flotte des Indes | L'escadre de Cadix
M | Quelle bataille navale de 1571 oppose chrétiens et Ottomans ? | Lépante | Actium | Trafalgar | Aboukir
M | Quel royaume africain les Portugais ont-ils atteint au XVe siècle ? | Le royaume du Kongo | L'empire aztèque | L'empire inca | Le royaume de Siam
M | Quelle culture les Européens ont-ils développée aux Antilles ? | La canne à sucre | Le blé | La vigne | Le lin
M | Comment appelait-on les grandes propriétés agricoles des colonies ? | Les plantations | Les seigneuries | Les fermes générales | Les métairies
D | Quel traité de 1648 met fin à la guerre de Trente Ans ? | Les traités de Westphalie | Le traité de Vervins | Le traité des Pyrénées | Le traité d'Utrecht
D | Quelle guerre de religion a ravagé l'Allemagne de 1618 à 1648 ? | La guerre de Trente Ans | La guerre de Cent Ans | La guerre de Succession | La guerre des Paysans
D | Quel philosophe français a écrit « je pense, donc je suis » ? | Descartes | Pascal | Montaigne | Malebranche
D | Quel savant français a inventé une machine à calculer au XVIIe siècle ? | Pascal | Descartes | Fermat | Papin
D | Quel peintre espagnol a peint les Ménines au XVIIe siècle ? | Velázquez | Goya | Le Greco | Murillo
D | Quel peintre hollandais a peint la Ronde de nuit ? | Rembrandt | Vermeer | Van Gogh | Hals
D | Quel port français Colbert a-t-il développé pour le commerce des Antilles ? | Nantes | Brest | Toulon | Calais
D | Quelle compagnie française fut fondée en 1664 pour le commerce d'Asie ? | La Compagnie des Indes orientales | La Compagnie du Sénégal | La Compagnie du Nord | La Compagnie de Chine
D | Quelle colonie française d'Amérique du Nord fut fondée en 1608 ? | Québec | La Nouvelle-Orléans | Montréal | Détroit
D | Quel explorateur a fondé la ville de Québec ? | Samuel de Champlain | Jacques Cartier | La Salle | Cavelier
D | Quel fleuve d'Amérique du Nord La Salle a-t-il descendu jusqu'à la mer ? | Le Mississippi | Le Saint-Laurent | L'Hudson | Le Colorado
