# Français — Sixième — une question par ligne.
#
# niveau | énoncé ? | bonne réponse | leurre | leurre | leurre
# F facile · M moyen · D difficile
#
# Les propositions sont mêlées au tirage : l'ordre n'a aucune importance.
# Un leurre doit être faux mais crédible — un leurre absurde ne fait pas
# une question, il fait une question à trois propositions.
#
# Le programme de français de sixième : la nature des mots, la phrase, les
# temps simples, les accords, les homophones et les premiers textes.
#
# Un piège propre à ce thème : l'énoncé ne porte qu'un seul point
# d'interrogation. On ne cite donc jamais de phrase interrogative en exemple.

! id      | francais-6e
! nom     | Français — 6e
! de      | de Français — 6e
! detail  | Le programme de sixième : nature des mots, temps, accords.
! icone   | character.book.closed
! teinte  | 0.80 0.46 0.46
! rang   | 8
! produit | com.oulhen.riskelo.pack.francais6e


# --- La nature des mots ---

F | Quelle est la nature du mot « rapidement » ? | Un adverbe | Un adjectif | Un nom | Un verbe
M | Quel est le pluriel de « caillou » ? | Cailloux | Caillous | Cailloues | Caillouz
D | Quel est le pluriel de « pou » ? | Poux | Pous | Poues | Pouz
F | Quel est le féminin de « heureux » ? | Heureuse | Heureux | Heureuxe | Heureuze
M | Quel est le féminin de « long » ? | Longue | Longe | Longé | Long
D | Quel est le féminin de « fou » ? | Folle | Foue | Fole | Fouse
D | Quel est le féminin de « frais » ? | Fraîche | Fraise | Fraisse | Fraîce
M | Quel est le féminin de « acteur » ? | Actrice | Acteuse | Acteure | Actresse
D | Quel est le féminin de « ambassadeur » ? | Ambassadrice | Ambassadeure | Ambassadeuse | Ambassadère
M | Comment s'accorde un adjectif qualifiant deux noms masculins ? | Au masculin pluriel | Au singulier | Au féminin pluriel | Il ne s'accorde pas
D | Comment s'accorde un adjectif qualifiant un nom masculin et un nom féminin ? | Au masculin pluriel | Au féminin pluriel | Au singulier | Au neutre


# --- Les temps simples ---

F | À quel temps est le verbe dans « je mange » ? | Au présent | À l'imparfait | Au futur | Au passé simple
F | À quel temps est le verbe dans « je mangerai » ? | Au futur simple | Au présent | À l'imparfait | Au conditionnel
F | À quel temps est le verbe dans « je mangeais » ? | À l'imparfait | Au présent | Au passé simple | Au futur
M | À quel temps est le verbe dans « je mangeai » ? | Au passé simple | À l'imparfait | Au futur | Au présent
M | Quelle terminaison prend un verbe du premier groupe à la première personne du présent ? | E | S | T | Ai
M | Quelle est la terminaison de l'imparfait à la première personne du pluriel ? | Ions | Ons | Ames | Erons
D | Quelle est la terminaison du passé simple des verbes en « er » à la troisième personne ? | A | It | Ut | Int
F | À quel groupe appartient le verbe « chanter » ? | Au premier | Au deuxième | Au troisième | À aucun
F | À quel groupe appartient le verbe « finir » ? | Au deuxième | Au premier | Au troisième | À aucun
M | À quel groupe appartient le verbe « prendre » ? | Au troisième | Au premier | Au deuxième | À aucun
D | Quel est le participe passé de « prendre » ? | Pris | Prit | Prendu | Prené
D | Quel est le participe passé de « faire » ? | Fait | Fais | Faisu | Fé
D | Quel est le participe passé de « pouvoir » ? | Pu | Pus | Peu | Pouvu
D | Quel est le participe passé de « résoudre » ? | Résolu | Résous | Résoudu | Résolvu
M | Quel est le futur du verbe « aller » à la première personne du singulier ? | J'irai | J'irais | Je vais | J'allai
M | Quel est le présent du verbe « être » à la deuxième personne du pluriel ? | Vous êtes | Vous étiez | Vous serez | Vous soyez
M | Quel est le présent du verbe « avoir » à la troisième personne du pluriel ? | Ils ont | Ils sont | Ils avaient | Ils auront
D | Quel est l'imparfait du verbe « voir » à la première personne du pluriel ? | Nous voyions | Nous voyons | Nous vîmes | Nous verrions
D | Comment appelle-t-on le mode du verbe qui donne un ordre ? | L'impératif | L'indicatif | Le subjonctif | Le conditionnel
M | Comment appelle-t-on la forme du verbe qui n'est pas conjuguée ? | L'infinitif | Le participe | L'impératif | Le gérondif


# --- Les homophones ---

F | Quel « a » s'écrit sans accent dans « il a faim » ? | Le verbe avoir | La préposition | L'adverbe | Le pronom
F | Quelle forme s'écrit avec un accent dans « je vais à Paris » ? | La préposition « à » | Le verbe « a » | L'article | Le pronom
F | Quel mot remplace « était » dans « il est parti » ? | Est | Et | Ai | Es
F | Quel petit mot relie deux éléments sans les opposer ? | Et | Est | Ai | Aie
M | Comment distingue-t-on « son » de « sont » ? | « Sont » se remplace par « étaient » | « Son » se remplace par « étaient » | Ils sont identiques | « Son » est un verbe
M | Comment distingue-t-on « on » de « ont » ? | « Ont » se remplace par « avaient » | « On » se remplace par « avaient » | Ils sont identiques | « On » est un verbe
M | Quel mot s'écrit « ces » dans « ces livres-là » ? | Le démonstratif pluriel | Le possessif | Le verbe savoir | Le pronom
M | Quel mot marque la possession dans « ses affaires » ? | Le possessif « ses » | Le démonstratif « ces » | L'élision « c'est » | Le pronom « s'est »
D | Comment s'écrit « c'est » quand on peut dire « cela est » ? | C'est | S'est | Ces | Ses
D | Comment s'écrit « s'est » devant un participe passé pronominal ? | S'est | C'est | Ces | Sait
M | Quel mot s'écrit « ou » sans accent ? | Celui qui exprime un choix | Celui qui indique le lieu | Celui qui indique le temps | Celui qui exprime la cause
M | Quel mot s'écrit « où » avec un accent ? | Celui qui indique le lieu | Celui qui exprime un choix | Le verbe avoir | La conjonction
D | Comment distingue-t-on « la » de « là » ? | « Là » indique le lieu | « La » indique le lieu | Ils sont identiques | « La » est un adverbe
D | Comment s'écrit « leur » devant un verbe ? | Sans « s » | Avec un « s » | Avec un accent | Avec un trait d'union
D | Quand « leur » prend-il un « s » ? | Devant un nom pluriel | Devant un verbe | Jamais | Toujours
M | Quel mot signifie « pareil » et s'écrit « même » ? | L'adjectif | La conjonction | La préposition | Le verbe
D | Comment s'écrit « quand » qui indique le temps ? | Quand | Quant | Qu'en | Camp
D | Comment s'écrit « quant à » qui signifie « pour ce qui est de » ? | Quant | Quand | Qu'en | Camp
M | Comment s'écrit « peu » qui exprime une petite quantité ? | Peu | Peux | Peut | Peus
M | Quelle forme du verbe pouvoir s'écrit « peut » ? | La troisième personne du singulier | La première personne | La deuxième personne | L'infinitif


# --- L'orthographe et les mots ---

F | Combien de « p » compte le mot « appeler » ? | Deux | Un | Trois | Aucun
F | Combien de « l » compte le mot « aller » ? | Deux | Un | Trois | Aucun
M | Combien de « m » compte le mot « immédiat » ? | Deux | Un | Trois | Aucun
M | Combien de « n » compte le mot « ennemi » ? | Deux | Un | Trois | Quatre
M | Combien de « f » compte le mot « affaire » ? | Deux | Un | Trois | Aucun
D | Combien de « r » compte le mot « courir » à l'infinitif ? | Deux au total | Trois | Un | Quatre
D | Combien de « r » compte « nourrir » à l'infinitif ? | Trois au total | Deux | Un | Quatre
M | Comment s'écrit le contraire de « possible » ? | Impossible | Inpossible | Impocible | Inposible
M | Comment s'écrit le contraire de « mobile » ? | Immobile | Inmobile | Imobile | Inmobil
D | Comment s'écrit le contraire de « lisible » ? | Illisible | Inlisible | Ilisible | Imlisible
D | Comment s'écrit le contraire de « responsable » ? | Irresponsable | Inresponsable | Iresponsable | Imresponsable
M | Quel accent porte le « e » de « élève » en première syllabe ? | Un accent aigu | Un accent grave | Un accent circonflexe | Un tréma
M | Quel accent porte le « e » de « mère » ? | Un accent grave | Un accent aigu | Un accent circonflexe | Une cédille
F | Quel signe se place sous le « c » de « français » ? | Une cédille | Un accent | Un tréma | Un trait d'union
D | Devant quelles voyelles le « c » prend-il une cédille ? | A, o et u | E et i | Toutes | Aucune
M | Quelle lettre suit toujours le « q » en français, sauf exception ? | Le u | Le a | Le e | Le i
M | Quelle lettre s'écrit devant « b » et « p » à la place du « n » ? | Le m | Le r | Le l | Le t
D | Quel mot fait exception à la règle du « m » devant « b » et « p » ? | Bonbon | Ambulance | Emporter | Tomber
M | Comment appelle-t-on deux mots qui se prononcent pareil ? | Des homophones | Des synonymes | Des antonymes | Des paronymes
F | Comment appelle-t-on deux mots de sens voisin ? | Des synonymes | Des antonymes | Des homophones | Des homographes
F | Comment appelle-t-on deux mots de sens contraire ? | Des antonymes | Des synonymes | Des homophones | Des paronymes
D | Comment appelle-t-on l'ensemble des mots formés sur une même racine ? | Une famille de mots | Un champ lexical | Un registre | Un paradigme
D | Comment appelle-t-on l'ensemble des mots qui évoquent un même thème ? | Un champ lexical | Une famille de mots | Un registre de langue | Une conjugaison
M | Comment appelle-t-on l'élément placé devant le radical d'un mot ? | Un préfixe | Un suffixe | Une désinence | Une racine
M | Comment appelle-t-on l'élément placé après le radical d'un mot ? | Un suffixe | Un préfixe | Un radical | Un accent


# --- Les textes ---

F | Comment appelle-t-on un court récit qui se termine par une morale ? | Une fable | Un conte | Un roman | Une pièce
F | Quel auteur français est célèbre pour ses fables ? | Jean de La Fontaine | Victor Hugo | Molière | Émile Zola
F | Comment appelle-t-on un récit merveilleux avec des fées et des ogres ? | Un conte | Une fable | Une tragédie | Un poème
M | Quel auteur français a écrit « Le Petit Chaperon rouge » ? | Charles Perrault | Jean de La Fontaine | Alexandre Dumas | Jules Verne
M | Comment appelle-t-on un récit très ancien qui explique le monde ? | Un mythe | Un roman | Un article | Un journal
M | Quel long poème grec raconte le retour d'Ulysse ? | L'Odyssée | L'Iliade | L'Énéide | Les Métamorphoses
D | Quel auteur latin a écrit « Les Métamorphoses » ? | Ovide | Virgile | Homère | Horace
F | Comment appelle-t-on celui qui raconte une histoire ? | Le narrateur | L'auteur | Le personnage | Le lecteur
D | Comment appelle-t-on un récit raconté par un narrateur qui dit « je » ? | Un récit à la première personne | Un récit à la troisième personne | Un récit externe | Un récit omniscient
M | Comment appelle-t-on le personnage principal d'un récit ? | Le héros | Le narrateur | L'auteur | L'antagoniste seul
D | Comment appelle-t-on le début d'un récit qui présente la situation ? | La situation initiale | Le dénouement | Le nœud | L'élément perturbateur
D | Comment appelle-t-on l'événement qui déclenche l'histoire ? | L'élément perturbateur | La situation initiale | Le dénouement | La péripétie
D | Comment appelle-t-on la fin d'un récit qui résout le problème ? | Le dénouement | L'élément perturbateur | La situation initiale | Le nœud
F | Comment appelle-t-on une ligne de poésie ? | Un vers | Une strophe | Une rime | Un pied
M | Comment appelle-t-on un groupe de vers séparé des autres ? | Une strophe | Un vers | Une rime | Un couplet de prose
M | Comment appelle-t-on la répétition d'un son à la fin de deux vers ? | La rime | La strophe | Le rythme | L'assonance
D | Comment appelle-t-on un vers de douze syllabes ? | Un alexandrin | Un décasyllabe | Un octosyllabe | Un hexamètre
D | Comment appelle-t-on un vers de huit syllabes ? | Un octosyllabe | Un alexandrin | Un décasyllabe | Un heptasyllabe
M | Comment appelle-t-on une comparaison sans mot de comparaison ? | Une métaphore | Une comparaison | Une hyperbole | Une litote
F | Quel petit mot introduit une comparaison ? | Comme | Donc | Car | Mais


# --- Compléments : conjuguer sans se tromper ---

F | Quel est le présent du verbe « être » à la première personne du singulier ? | Je suis | Je sois | J'étais | Je serai
F | Quel est le présent du verbe « avoir » à la première personne du singulier ? | J'ai | J'aie | J'avais | J'aurai
F | Quel est le présent du verbe « aller » à la troisième personne du singulier ? | Il va | Il vas | Il allé | Il ira
F | Quel est le présent du verbe « faire » à la deuxième personne du pluriel ? | Vous faites | Vous faisez | Vous faisiez | Vous ferez
F | Quel est le présent du verbe « dire » à la deuxième personne du pluriel ? | Vous dites | Vous disez | Vous disiez | Vous direz
F | Quel est le pluriel de « je vais » à la première personne ? | Nous allons | Nous vas | Nous irons | Nous allions
M | Quel est le présent du verbe « prendre » à la troisième personne du pluriel ? | Ils prennent | Ils prendent | Ils prenent | Ils prendront
M | Quel est le présent du verbe « venir » à la troisième personne du pluriel ? | Ils viennent | Ils venent | Ils viendent | Ils viendront
M | Quel est le présent du verbe « voir » à la troisième personne du pluriel ? | Ils voient | Ils voyent | Ils voyaient | Ils verront
M | Quel est le présent du verbe « vouloir » à la première personne du singulier ? | Je veux | Je veut | Je veule | Je voudrai
M | Quel est le présent du verbe « pouvoir » à la première personne du singulier ? | Je peux | Je peut | Je peus | Je pourrai
D | Quelle terminaison prennent « je veux » et « je peux » ? | Un x | Un s | Un t | Un e
M | Quel est l'imparfait du verbe « être » à la première personne du singulier ? | J'étais | Je suis | Je serai | Je fus
M | Quel est le futur du verbe « être » à la troisième personne du singulier ? | Il sera | Il serait | Il était | Il fut
M | Quel est le futur du verbe « faire » à la première personne du singulier ? | Je ferai | Je ferais | Je faisais | Je fis
D | Comment distingue-t-on « je ferai » de « je ferais » ? | Le premier est au futur | Le second est au futur | Ils sont identiques | Le premier est au passé
D | Quel est le passé simple du verbe « être » à la troisième personne du singulier ? | Il fut | Il était | Il sera | Il soit
D | Quel est le passé simple du verbe « avoir » à la troisième personne du singulier ? | Il eut | Il avait | Il aura | Il ait
D | Quel est le passé simple du verbe « venir » à la troisième personne du singulier ? | Il vint | Il venait | Il viendra | Il vienne
M | Quel auxiliaire s'emploie avec « aller » au passé composé ? | Être | Avoir | Faire | Devoir
M | Quel auxiliaire s'emploie avec « manger » au passé composé ? | Avoir | Être | Aller | Faire
D | Avec quel auxiliaire le participe passé s'accorde-t-il avec le sujet ? | Être | Avoir | Les deux | Aucun
M | Comment appelle-t-on le temps composé formé avec « avoir » ou « être » au présent ? | Le passé composé | L'imparfait | Le passé simple | Le plus-que-parfait


# --- Compléments : l'orthographe des sons ---

F | Quelle lettre s'écrit à la fin de « petit » sans se prononcer ? | Le t | Le d | Le s | Le x
F | Quelle lettre muette termine souvent les mots féminins ? | Le e | Le a | Le i | Le o
M | Comment trouver la lettre muette à la fin d'un mot ? | En cherchant un mot de la même famille | En le prononçant fort | En comptant les syllabes | En cherchant un synonyme
M | Quelle lettre finale entend-on dans « grand » au féminin ? | Le d | Le t | Le s | Le g
M | Comment s'écrit le son « o » à la fin de « bateau » ? | Eau | O | Au | Ot
M | Comment s'écrit le son « in » dans « pain » ? | Ain | In | Ein | Ien
M | Comment s'écrit le son « an » dans « enfant » à la première syllabe ? | En | An | Am | Em
D | Comment s'écrit le son « s » entre deux voyelles ? | Ss | S | C | Sc
D | Comment se prononce un « s » unique entre deux voyelles ? | Comme un z | Comme un s | Comme un ch | Il est muet
M | Quelle lettre se met devant « e » et « i » pour faire le son « gu » ? | Un u après le g | Une cédille | Un h | Un accent
D | Comment s'écrit le son « j » devant « a », « o » et « u » ? | Avec un g suivi de e | Avec un g seul | Avec un c | Avec un q
M | Combien de syllabes compte le mot « ordinateur » ? | Quatre | Trois | Cinq | Deux
M | Combien de syllabes compte le mot « école » ? | Trois | Deux | Quatre | Une
D | Comment appelle-t-on la coupure d'un mot en fin de ligne ? | La césure | L'élision | La liaison | L'apostrophe
M | Comment appelle-t-on la disparition d'une voyelle devant une autre ? | L'élision | La liaison | La césure | L'accent
M | Quel signe marque l'élision dans « l'arbre » ? | L'apostrophe | Le trait d'union | L'accent | La cédille
M | Comment appelle-t-on le petit trait qui unit deux mots ? | Le trait d'union | L'apostrophe | Le tiret long | La barre


# --- Compléments : vocabulaire et sens ---

F | Que signifie le préfixe « re » dans « refaire » ? | La répétition | Le contraire | La négation | La petitesse
F | Que signifie le préfixe « dé » dans « défaire » ? | Le contraire | La répétition | La petitesse | La grandeur
M | Que signifie le préfixe « pré » dans « prévoir » ? | Avant | Après | Contre | Sous
M | Que signifie le préfixe « anti » ? | Contre | Avant | Après | Avec
M | Que signifie le suffixe « able » dans « mangeable » ? | La possibilité | La répétition | Le contraire | La petitesse
D | Que signifie le suffixe « ette » dans « fillette » ? | La petitesse | La grandeur | La répétition | Le contraire
M | Comment appelle-t-on le sens propre d'un mot ? | Son sens premier | Son sens figuré | Son sens caché | Son sens second
M | Comment appelle-t-on l'emploi imagé d'un mot ? | Le sens figuré | Le sens propre | Le sens littéral | Le sens direct
D | Dans quel sens emploie-t-on « dévorer » dans « dévorer un livre » ? | Au sens figuré | Au sens propre | Au sens littéral | Au sens premier
M | Comment appelle-t-on un mot qui a plusieurs sens ? | Un mot polysémique | Un homonyme | Un synonyme | Un antonyme
D | Comment appelle-t-on deux mots qui s'écrivent pareil mais ont des sens différents ? | Des homographes | Des synonymes | Des antonymes | Des paronymes
D | Comment appelle-t-on deux mots qui se ressemblent et qu'on confond ? | Des paronymes | Des homophones | Des synonymes | Des antonymes
F | Où trouve-t-on le sens d'un mot qu'on ne connaît pas ? | Dans un dictionnaire | Dans une grammaire | Dans un atlas | Dans un annuaire
D | Comment appelle-t-on l'origine d'un mot ? | Son étymologie | Sa définition | Sa nature | Sa fonction
M | De quelle langue ancienne vient la plupart des mots français ? | Le latin | Le grec | L'arabe | Le germanique
M | Comment appelle-t-on une expression figée comme « avoir le cafard » ? | Une expression imagée | Une définition | Un proverbe | Une citation
M | Comment appelle-t-on une phrase courte qui donne une leçon de vie ? | Un proverbe | Une définition | Une comparaison | Une métaphore


# --- Compléments : les huit dernières ---

F | Comment appelle-t-on la lettre qui n'est ni une consonne ni un chiffre ? | Une voyelle | Un accent | Une syllabe | Un signe
F | Combien de voyelles compte l'alphabet français ? | Six | Cinq | Sept | Quatre
F | Combien de lettres compte l'alphabet français ? | Vingt-six | Vingt-quatre | Trente | Vingt
F | Par quelle lettre commence un nom propre ? | Une majuscule | Une minuscule | Une voyelle | Une consonne
F | Comment appelle-t-on le nom qui désigne une personne précise ? | Un nom propre | Un nom commun | Un pronom | Un adjectif
F | Quel mot désigne l'ensemble « le petit chat noir » ? | Un groupe nominal | Un verbe | Une phrase | Une proposition
F | Quel mot est le noyau du groupe nominal « le petit chat noir » ? | Chat | Petit | Noir | Le
F | Comment appelle-t-on le fait de mettre un texte au propre sans faute ? | La relecture | La rédaction | La lecture | La dictée
