# Écrans & Musique — une question par ligne.
#
# niveau | énoncé ? | bonne réponse | leurre | leurre | leurre
# F facile · M moyen · D difficile
#
# Les propositions sont mêlées au tirage : l'ordre n'a aucune importance.
# Un leurre doit être faux mais crédible — un leurre absurde ne fait pas
# une question, il fait une question à trois propositions.

F | Quel détective habite au 221B Baker Street ? | Sherlock Holmes | Hercule Poirot | Arsène Lupin | Philip Marlowe
M | Quel groupe suédois a chanté Waterloo ? | ABBA | Roxette | Ace of Base | A-ha
M | Combien de cordes compte une guitare classique ? | Six | Quatre | Sept | Douze
D | Qui a composé l'opéra La Flûte enchantée ? | Mozart | Giuseppe Verdi | Richard Wagner | Gioachino Rossini
D | Quel cinéaste japonais a signé Le Voyage de Chihiro ? | Hayao Miyazaki | Isao Takahata | Akira Kurosawa | Katsuhiro Ōtomo
D | Quelle chanteuse américaine est surnommée la « reine de la soul » ? | Aretha Franklin | Tina Turner | Diana Ross | Whitney Houston
F | De quelle planète vient Superman ? | Krypton | Mars | Vulcain | Tatooine
F | Quel groupe a chanté Bohemian Rhapsody ? | Queen | Led Zeppelin | The Rolling Stones | Deep Purple
F | Comment s'appelle l'ogre vert des studios DreamWorks ? | Shrek | Fiona | Donkey | Gru
M | Qui a réalisé Pulp Fiction ? | Quentin Tarantino | Martin Scorsese | Guy Ritchie | Robert Rodriguez
M | De quel instrument jouait Jimi Hendrix ? | La guitare | La batterie | Le saxophone | Le piano
M | Dans quel film Marlon Brando incarne-t-il Vito Corleone ? | Le Parrain | Sur les quais | Apocalypse Now | Un tramway nommé Désir
M | Quelle chanteuse française a chanté La Vie en rose ? | Édith Piaf | Barbara | Juliette Gréco | Dalida
D | Quel film a remporté onze Oscars en 1998 ? | Titanic | Forrest Gump | Braveheart | Shakespeare in Love
D | Qui a composé la musique du Parrain ? | Nino Rota | Ennio Morricone | Henry Mancini | Bernard Herrmann
D | Quel groupe britannique a publié The Dark Side of the Moon ? | Pink Floyd | Genesis | Yes | King Crimson

# ————— Deuxième fournée —————

F | Quel est le nom du plus célèbre rongeur de Disney ? | Mickey Mouse | Jerry | Speedy Gonzales | Rémy
F | Dans quel film un jeune garçon est-il oublié à Noël par sa famille ? | Maman, j'ai raté l'avion | Le Père Noël est une ordure | Le Grinch | Elf
F | Quel groupe suédois a chanté Dancing Queen ? | ABBA | Roxette | Ace of Base | The Cardigans
F | Quel personnage de bande dessinée boit une potion magique ? | Astérix | Tintin | Lucky Luke | Spirou
F | Quel instrument joue-t-on avec un archet et qui se tient entre les genoux ? | Le violoncelle | Le violon | La contrebasse | L'alto
F | Quelle chanteuse britannique a chanté Rolling in the Deep ? | Adele | Amy Winehouse | Dua Lipa | Florence Welch
F | Quel héros de cinéma porte un chapeau et un fouet ? | Indiana Jones | Zorro | Rambo | James Bond
F | Comment se nomme le père de Simba dans Le Roi Lion ? | Mufasa | Scar | Rafiki | Zazu
F | Quel groupe britannique a chanté Let It Be ? | Les Beatles | Les Rolling Stones | Oasis | Pink Floyd
F | Quel est le prénom du détective belge créé par Agatha Christie ? | Hercule | Jules | Georges | Auguste
F | Quel super-héros porte une armure rouge et or ? | Iron Man | Superman | Batman | Thor
F | Quel dessin animé japonais met en scène un chat-bus ? | Mon voisin Totoro | Pokémon | Naruto | Dragon Ball
F | Quel chanteur français est l'auteur de Ne me quitte pas ? | Jacques Brel | Georges Brassens | Charles Aznavour | Léo Ferré
F | Quel film raconte l'histoire d'un poisson-clown à la recherche de son fils ? | Le Monde de Nemo | Le Monde de Dory | La Petite Sirène | Happy Feet
F | Quel groupe australien a chanté Highway to Hell ? | AC/DC | INXS | Men at Work | Midnight Oil
F | Quel personnage habite dans un ananas au fond de la mer ? | Bob l'éponge | Némo | Ariel | Sébastien
F | Quel acteur incarne Jack Sparrow ? | Johnny Depp | Orlando Bloom | Brad Pitt | Colin Farrell
F | Quel instrument compte des cordes pincées et une caisse en forme de huit ? | La guitare | Le piano | La flûte | La trompette
F | Quel chanteur américain est surnommé le « King » du rock ? | Elvis Presley | Chuck Berry | Little Richard | Buddy Holly
F | Quel film met en scène des dinosaures ramenés à la vie dans un parc ? | Jurassic Park | King Kong | Godzilla | Le Monde perdu
F | De quel cycle de romans la série Game of Thrones est-elle tirée ? | Le Trône de fer | La Roue du temps | L'Assassin royal | Les Rois maudits
F | Quel personnage de Disney perd sa pantoufle de verre ? | Cendrillon | Blanche-Neige | Aurore | Belle
F | Quel chanteur britannique a chanté Imagine ? | John Lennon | Paul McCartney | George Harrison | Ringo Starr
F | Quel film met en scène un extraterrestre au doigt lumineux ? | E.T. | Alien | Rencontres du troisième type | Cocoon
F | Quel groupe irlandais a pour chanteur Bono ? | U2 | The Cranberries | The Corrs | Thin Lizzy
M | Qui a réalisé la trilogie du Seigneur des anneaux ? | Peter Jackson | Steven Spielberg | Ridley Scott | Christopher Nolan
M | Quel réalisateur a signé Inception et Interstellar ? | Christopher Nolan | Denis Villeneuve | Alfonso Cuarón | Darren Aronofsky
M | Quel compositeur italien a écrit les musiques des westerns de Sergio Leone ? | Ennio Morricone | Nino Rota | Riz Ortolani | Piero Piccioni
M | Dans quel film Marilyn Monroe joue-t-elle aux côtés de Tony Curtis ? | Certains l'aiment chaud | Sept ans de réflexion | Niagara | Les Désaxés
M | Quelle chanteuse américaine a chanté Like a Prayer ? | Madonna | Cyndi Lauper | Whitney Houston | Janet Jackson
M | Quel film de Stanley Kubrick met en scène un ordinateur nommé HAL ? | 2001, l'Odyssée de l'espace | Orange mécanique | Shining | Docteur Folamour
M | Quel groupe britannique a enregistré l'album Abbey Road ? | Les Beatles | Les Rolling Stones | The Who | The Kinks
M | Quel acteur français a joué Cyrano de Bergerac en 1990 ? | Gérard Depardieu | Jean Reno | Daniel Auteuil | Michel Serrault
M | Quel film de 1994 suit un homme courant à travers l'histoire américaine ? | Forrest Gump | Rain Man | Philadelphia | Le Cercle des poètes disparus
M | Quel compositeur a écrit la musique du Seigneur des anneaux ? | Howard Shore | Hans Zimmer | John Williams | James Horner
M | Quel chanteur français a écrit La Bohème ? | Charles Aznavour | Yves Montand | Serge Reggiani | Gilbert Bécaud
M | Quelle actrice a joué Marion Crane dans Psychose ? | Janet Leigh | Grace Kelly | Kim Novak | Tippi Hedren
M | Quel groupe de rock a pour chanteur Mick Jagger ? | Les Rolling Stones | Les Who | Led Zeppelin | The Kinks
M | Quel film français a remporté l'Oscar du meilleur film étranger en 1993 ? | Indochine | Cyrano de Bergerac | Le Retour de Martin Guerre | Manon des sources
M | Quel réalisateur espagnol a signé Parle avec elle ? | Pedro Almodóvar | Luis Buñuel | Alejandro Amenábar | Carlos Saura
M | Quelle chanteuse américaine a chanté I Will Always Love You dans Bodyguard ? | Whitney Houston | Mariah Carey | Tina Turner | Diana Ross
M | Quel acteur incarne Vito Corleone jeune dans Le Parrain II ? | Robert De Niro | Al Pacino | Marlon Brando | James Caan
M | Quel film d'animation japonais raconte l'histoire de deux enfants pendant la guerre ? | Le Tombeau des lucioles | Princesse Mononoké | Le Château ambulant | Ponyo
M | Quel groupe américain a enregistré Hotel California ? | The Eagles | Fleetwood Mac | The Doors | Creedence Clearwater Revival
M | Quel réalisateur suédois a signé Le Septième Sceau ? | Ingmar Bergman | Lars von Trier | Roy Andersson | Bo Widerberg
M | Quel acteur a incarné James Bond le premier au cinéma ? | Sean Connery | Roger Moore | George Lazenby | David Niven
M | Quel film de 1972 raconte l'histoire de la famille Corleone ? | Le Parrain | Les Affranchis | Scarface | Il était une fois en Amérique
M | Quelle série américaine met en scène un professeur de chimie devenu trafiquant ? | Breaking Bad | The Wire | Ozark | Narcos
M | Quel compositeur a écrit la musique de la Panthère rose ? | Henry Mancini | Nino Rota | John Barry | Lalo Schifrin
M | Quel film de Spielberg met en scène un requin ? | Les Dents de la mer | Duel | Empire du soleil | Always
D | Quel réalisateur japonais a signé Les Sept Samouraïs ? | Akira Kurosawa | Yasujirō Ozu | Kenji Mizoguchi | Nagisa Ōshima
D | Quel film a remporté la Palme d'or en 2019 ? | Parasite | Titane | Une affaire de famille | Moi, Daniel Blake
D | Quel compositeur a signé la musique de Psychose ? | Bernard Herrmann | Elmer Bernstein | Franz Waxman | Miklós Rózsa
D | Quel groupe britannique a enregistré OK Computer ? | Radiohead | Blur | Oasis | Suede
D | Quel réalisateur italien a signé La Dolce Vita ? | Federico Fellini | Luchino Visconti | Michelangelo Antonioni | Vittorio De Sica
D | Quel acteur a refusé son Oscar pour Le Parrain ? | Marlon Brando | George C. Scott | Paul Newman | Woody Allen
D | Quel film de 1927 est considéré comme le premier film parlant ? | Le Chanteur de jazz | Metropolis | Le Cuirassé Potemkine | L'Aurore
D | Quel réalisateur allemand a signé Metropolis ? | Fritz Lang | F. W. Murnau | Ernst Lubitsch | Robert Wiene
D | Quel groupe américain a enregistré Nevermind ? | Nirvana | Pearl Jam | Soundgarden | Alice in Chains
D | Quelle actrice a remporté le plus d'Oscars de la meilleure actrice ? | Katharine Hepburn | Meryl Streep | Ingrid Bergman | Bette Davis
D | Quel film de Truffaut ouvre la Nouvelle Vague en 1959 ? | Les Quatre Cents Coups | À bout de souffle | Hiroshima mon amour | Le Beau Serge
D | Quel compositeur a écrit la musique de Il était une fois dans l'Ouest ? | Ennio Morricone | Nino Rota | Bruno Nicolai | Riz Ortolani
D | Quel réalisateur a signé Le Cuirassé Potemkine ? | Sergueï Eisenstein | Dziga Vertov | Vsevolod Poudovkine | Alexandre Dovjenko
D | Quel chanteur américain a enregistré l'album Thriller ? | Michael Jackson | Prince | Lionel Richie | Stevie Wonder
D | Quel film de 1941 est souvent cité comme le plus grand de tous les temps ? | Citizen Kane | Autant en emporte le vent | Casablanca | Le Faucon maltais
D | Quel groupe britannique a enregistré The Wall ? | Pink Floyd | Genesis | Yes | King Crimson
D | Quel réalisateur danois a fondé le mouvement Dogme95 ? | Lars von Trier | Thomas Vinterberg | Susanne Bier | Nicolas Winding Refn
D | Quel opéra de Bizet se déroule à Séville ? | Carmen | La Traviata | Le Barbier de Séville | Don Giovanni
D | Quel acteur a joué dans Taxi Driver et Raging Bull ? | Robert De Niro | Al Pacino | Harvey Keitel | Joe Pesci
D | Quel film muet de Chaplin dénonce le travail à la chaîne ? | Les Temps modernes | Le Dictateur | La Ruée vers l'or | Le Kid

# ————— Troisième fournée —————

F | Quel personnage de dessin animé est un lapin qui mange des carottes ? | Bugs Bunny | Roger Rabbit | Panpan | Jeannot Lapin
F | Quel film met en scène un robot laissé seul sur Terre ? | WALL-E | Robots | Big Hero 6 | Astro Boy
F | Quel groupe britannique a chanté Bohemian Rhapsody ? | Queen | Led Zeppelin | The Who | Deep Purple
F | Quel chanteur français a écrit Le Déserteur ? | Boris Vian | Georges Brassens | Léo Ferré | Jacques Brel
F | Quel instrument possède des touches et un soufflet ? | L'accordéon | Le piano | L'orgue | Le clavecin
F | Quel héros de bande dessinée a un chien blanc nommé Milou ? | Tintin | Spirou | Gaston | Boule
F | Quel film d'animation met en scène une princesse des glaces nommée Elsa ? | La Reine des neiges | Raiponce | Vaiana | Rebelle
F | Quel chanteur américain est surnommé le « Boss » ? | Bruce Springsteen | Bob Dylan | Neil Young | Tom Petty
F | Quelle série met en scène six amis new-yorkais et un canapé ? | Friends | Seinfeld | How I Met Your Mother | Cheers
F | Quel personnage de conte perd une chaussure à minuit ? | Cendrillon | Blanche-Neige | La Belle au bois dormant | Peau d'âne
F | Quel groupe britannique a chanté Wonderwall ? | Oasis | Blur | Pulp | The Verve
F | Quel film met en scène un naufragé et un ballon nommé Wilson ? | Seul au monde | Robinson Crusoé | L'Île mystérieuse | Life of Pi
F | Quel instrument est l'emblème de l'Écosse ? | La cornemuse | La harpe | Le violon | La flûte
F | Quel super-héros vit à Gotham ? | Batman | Superman | Spider-Man | Daredevil
F | Quel chanteur français a interprété L'Aigle noir ? | Barbara | Édith Piaf | Juliette Gréco | Dalida
F | Quel dessin animé met en scène une famille jaune de Springfield ? | Les Simpson | South Park | Les Griffin | Futurama
F | Quel film de Disney met en scène un éléphant aux grandes oreilles ? | Dumbo | Bambi | Le Livre de la jungle | Robin des Bois
F | Quel groupe suédois a été formé en 1972 et a gagné l'Eurovision ? | ABBA | A-ha | Roxette | Europe
F | Quelle chanteuse française a chanté Mon amie la rose ? | Françoise Hardy | Sylvie Vartan | France Gall | Sheila
F | Quel film met en scène un jeune sorcier à Poudlard ? | Harry Potter à l'école des sorciers | Le Seigneur des anneaux | Narnia | Percy Jackson
F | Quel instrument de percussion est fait de deux plateaux de métal ? | Les cymbales | Le tambour | Le xylophone | Le triangle
F | Quel personnage de Disney est un cerf orphelin ? | Bambi | Dumbo | Simba | Rox
F | Quel groupe a chanté Smells Like Teen Spirit ? | Nirvana | Pearl Jam | Soundgarden | Green Day
F | Quel film met en scène des jouets qui s'animent ? | Toy Story | Les Indestructibles | Cars | Monstres et Cie
F | Quel chanteur britannique a chanté Space Oddity ? | David Bowie | Elton John | Freddie Mercury | Rod Stewart
F | Quelle série met en scène des médecins dans un hôpital de Seattle ? | Grey's Anatomy | Urgences | Dr House | Chicago Med
F | Quel instrument à cordes se joue posé au sol et pincé ? | La harpe | La guitare | Le luth | La mandoline
F | Quel film met en scène un boxeur de Philadelphie ? | Rocky | Raging Bull | Million Dollar Baby | Creed
F | Qui a chanté Les Champs-Élysées ? | Joe Dassin | Claude François | Michel Sardou | Michel Delpech
F | Quel personnage de fiction pilote le Faucon Millenium ? | Han Solo | Luke Skywalker | Dark Vador | Obi-Wan Kenobi
M | Quel réalisateur français a signé Les Tontons flingueurs ? | Georges Lautner | Jean-Pierre Melville | Claude Sautet | Henri Verneuil
M | Qui a composé la musique de Titanic ? | James Horner | John Williams | Hans Zimmer | Howard Shore
M | Quel personnage Jacques Tati a-t-il incarné dans quatre de ses films ? | Monsieur Hulot | Monsieur Verdoux | Monsieur Klein | Monsieur Bébé
M | Quelle actrice a joué Amélie Poulain ? | Audrey Tautou | Marion Cotillard | Juliette Binoche | Sophie Marceau
M | Quel groupe britannique a enregistré Dark Side of the Moon ? | Pink Floyd | Genesis | Yes | The Moody Blues
M | Quel réalisateur a signé Le Fabuleux Destin d'Amélie Poulain ? | Jean-Pierre Jeunet | Luc Besson | Cédric Klapisch | Michel Gondry
M | Quel chanteur a interprété La Javanaise ? | Serge Gainsbourg | Charles Trenet | Yves Montand | Jean Ferrat
M | Quelle série britannique met en scène un médecin voyageant dans le temps ? | Doctor Who | Sherlock | Black Mirror | Torchwood
M | Quel acteur a joué le rôle-titre dans Forrest Gump ? | Tom Hanks | Kevin Costner | Tom Cruise | Robin Williams
M | Quel compositeur a écrit l'opéra La Traviata ? | Giuseppe Verdi | Giacomo Puccini | Gioachino Rossini | Vincenzo Bellini
M | Quel film de Luc Besson met en scène une tueuse formée par l'État ? | Nikita | Léon | Le Cinquième Élément | Subway
M | Quelle chanteuse américaine a chanté Respect ? | Aretha Franklin | Tina Turner | Etta James | Nina Simone
M | Quel film raconte l'évasion d'Alcatraz avec Clint Eastwood ? | L'Évadé d'Alcatraz | Le Prisonnier d'Alcatraz | Les Évadés | La Grande Évasion
M | Quel réalisateur italien a signé Cinema Paradiso ? | Giuseppe Tornatore | Roberto Benigni | Nanni Moretti | Bernardo Bertolucci
M | Quel groupe américain a chanté Sweet Child O' Mine ? | Guns N' Roses | Bon Jovi | Aerosmith | Van Halen
M | Quel acteur français a joué dans La Grande Vadrouille avec Bourvil ? | Louis de Funès | Jean Gabin | Fernandel | Michel Serrault
M | Quel opéra de Puccini se déroule au Japon ? | Madame Butterfly | Tosca | La Bohème | Turandot
M | Quelle série met en scène une famille mafieuse du New Jersey ? | Les Soprano | Boardwalk Empire | Peaky Blinders | Gomorra
M | Quel film de Spielberg raconte le sauvetage de Juifs par un industriel ? | La Liste de Schindler | Le Pianiste | Munich | Il faut sauver le soldat Ryan
M | Qui a chanté Amsterdam ? | Jacques Brel | Georges Brassens | Léo Ferré | Barbara
M | Qui a composé Le Carnaval des animaux ? | Camille Saint-Saëns | Maurice Ravel | Claude Debussy | Gabriel Fauré
M | Quel réalisateur a signé Pulp Fiction et Kill Bill ? | Quentin Tarantino | Robert Rodriguez | Guy Ritchie | David Fincher
M | Quel film muet met en scène un homme suspendu à une horloge ? | Monte là-dessus | Les Temps modernes | Le Mécano de la General | Le Kid
M | Quelle actrice a joué Holly Golightly dans Diamants sur canapé ? | Audrey Hepburn | Grace Kelly | Elizabeth Taylor | Natalie Wood
M | Quel groupe britannique a chanté Stairway to Heaven ? | Led Zeppelin | Deep Purple | Black Sabbath | Pink Floyd
M | Quel film de Coppola se déroule pendant la guerre du Viêt Nam ? | Apocalypse Now | Voyage au bout de l'enfer | Platoon | Full Metal Jacket
M | Quel chanteur italien a interprété Nel blu dipinto di blu ? | Domenico Modugno | Adriano Celentano | Toto Cutugno | Eros Ramazzotti
M | Quelle série met en scène une prison pour femmes ? | Orange Is the New Black | Prison Break | Oz | Wentworth
M | Quel acteur a joué Neo dans Matrix ? | Keanu Reeves | Laurence Fishburne | Hugo Weaving | Christian Bale
D | Quel réalisateur a signé Les Ailes du désir ? | Wim Wenders | Werner Herzog | Rainer Werner Fassbinder | Volker Schlöndorff
D | Quel compositeur a écrit la musique de Blade Runner ? | Vangelis | Jean-Michel Jarre | Giorgio Moroder | Brian Eno
D | Quel film a remporté la Palme d'or en 1994 ? | Pulp Fiction | La Leçon de piano | Underground | Le Roi Lion
D | Quel réalisateur grec a signé Le Regard d'Ulysse ? | Theo Angelopoulos | Costa-Gavras | Yorgos Lanthimos | Michael Cacoyannis
D | Quel groupe allemand est pionnier de la musique électronique ? | Kraftwerk | Tangerine Dream | Can | Neu!
D | Quel film de Hitchcock se déroule presque entièrement dans une cour d'immeuble ? | Fenêtre sur cour | Vertigo | La Mort aux trousses | Les Oiseaux
D | Quel compositeur a écrit l'opéra Boris Godounov ? | Modeste Moussorgski | Piotr Tchaïkovski | Nikolaï Rimski-Korsakov | Alexandre Borodine
D | Quel réalisateur iranien a signé Une séparation ? | Asghar Farhadi | Abbas Kiarostami | Jafar Panahi | Mohsen Makhmalbaf
D | Quel film de 1959 de Godard a lancé la Nouvelle Vague avec Belmondo ? | À bout de souffle | Le Mépris | Pierrot le fou | Alphaville
D | Quel musicien a fondé le groupe The Velvet Underground ? | Lou Reed | Iggy Pop | David Byrne | Patti Smith
D | Quel réalisateur mexicain a remporté l'Oscar pour La Forme de l'eau ? | Guillermo del Toro | Alejandro González Iñárritu | Alfonso Cuarón | Carlos Reygadas
D | Qui a composé la musique de Chinatown ? | Jerry Goldsmith | Henry Mancini | John Barry | Lalo Schifrin
D | Quel film japonais de 1954 a inventé un monstre marin devenu célèbre ? | Godzilla | Rodan | Mothra | King Kong
D | Quelle chanteuse portugaise est la voix du fado ? | Amália Rodrigues | Mariza | Dulce Pontes | Cesária Évora
D | Quel réalisateur russe a signé Stalker ? | Andreï Tarkovski | Sergueï Eisenstein | Nikita Mikhalkov | Alexandre Sokourov
D | Quel groupe britannique a enregistré Sgt. Pepper's Lonely Hearts Club Band ? | Les Beatles | Les Rolling Stones | The Kinks | The Beach Boys
D | Quel film de 1976 met en scène un chauffeur de taxi new-yorkais ? | Taxi Driver | Mean Streets | Serpico | Un après-midi de chien
D | Quel compositeur brésilien est associé à la bossa nova ? | Antônio Carlos Jobim | Gilberto Gil | Caetano Veloso | Baden Powell
D | Quel réalisateur a signé 2001, l'Odyssée de l'espace ? | Stanley Kubrick | Ridley Scott | George Lucas | Andrei Tarkovski
D | Quelle actrice a remporté l'Oscar pour La Vie en rose ? | Marion Cotillard | Juliette Binoche | Isabelle Huppert | Sophie Marceau
D | Quel groupe américain a enregistré Pet Sounds ? | The Beach Boys | The Byrds | The Mamas and the Papas | Buffalo Springfield
D | Quel film de 1927 de Fritz Lang met en scène une ville futuriste ? | Metropolis | M le maudit | Les Nibelungen | Docteur Mabuse
D | Quel compositeur a écrit l'opéra Rigoletto ? | Giuseppe Verdi | Giacomo Puccini | Gaetano Donizetti | Vincenzo Bellini
D | Quel réalisateur a signé Le Septième Continent et Amour ? | Michael Haneke | Ulrich Seidl | Christian Petzold | Fatih Akin
D | Quel jazzman a enregistré Kind of Blue ? | Miles Davis | John Coltrane | Charlie Parker | Thelonious Monk
D | Quel film d'animation japonais a remporté l'Oscar en 2003 ? | Le Voyage de Chihiro | Princesse Mononoké | Akira | Le Château dans le ciel
D | Quel réalisateur suédois a signé Fanny et Alexandre ? | Ingmar Bergman | Roy Andersson | Jan Troell | Bo Widerberg
D | Quel groupe irlandais a enregistré The Joshua Tree ? | U2 | The Cranberries | Sinéad O'Connor | The Pogues
D | Quel compositeur a écrit la musique des Parapluies de Cherbourg ? | Michel Legrand | Georges Delerue | Maurice Jarre | Francis Lai
D | Quel film de 1946 de Cocteau adapte un conte de fées ? | La Belle et la Bête | Orphée | Le Sang d'un poète | Les Enfants terribles
D | Quel réalisateur a signé Les Enfants du paradis ? | Marcel Carné | Jean Renoir | Julien Duvivier | René Clair
D | Quel musicien américain a enregistré Purple Rain ? | Prince | Michael Jackson | Stevie Wonder | Marvin Gaye
D | Quel réalisateur a signé La Règle du jeu ? | Jean Renoir | Marcel Carné | Sacha Guitry | Jacques Becker
D | Quelle chanteuse a interprété Non, je ne regrette rien ? | Édith Piaf | Barbara | Juliette Gréco | Damia
D | Quel film de 1985 met en scène une DeLorean voyageant dans le temps ? | Retour vers le futur | Explorers | Flight of the Navigator | Tron
F | Quel personnage de Disney est une petite sirène ? | Ariel | Belle | Jasmine | Pocahontas
F | Quel groupe britannique a chanté I Want to Break Free ? | Queen | The Police | Duran Duran | Depeche Mode
M | Quel acteur a joué Forrest Gump et Philadelphia la même décennie ? | Tom Hanks | Denzel Washington | Robin Williams | Michael Douglas
M | Quel film de 1999 met en scène un homme qui découvre vivre dans une émission ? | The Truman Show | Matrix | Fight Club | eXistenZ
D | Quel compositeur a écrit la musique de Cinema Paradiso ? | Ennio Morricone | Nino Rota | Nicola Piovani | Armando Trovajoli
D | Quel réalisateur britannique a signé Trainspotting ? | Danny Boyle | Ken Loach | Mike Leigh | Guy Ritchie

# — Le cinéma, d'hier et d'ailleurs —

F | Quel festival de cinéma décerne la Palme d'or ? | Cannes | Venise | Berlin | Deauville
F | Quelle récompense couronne chaque année le cinéma français ? | Le César | L'Oscar | Le Molière | La Victoire
F | Quel acteur a incarné Rocky Balboa ? | Sylvester Stallone | Arnold Schwarzenegger | Bruce Willis | Mickey Rourke
F | Quel acteur incarne Indiana Jones ? | Harrison Ford | Tom Selleck | Michael Douglas | Kurt Russell
F | Quel réalisateur a signé Terminator et Avatar ? | James Cameron | Ridley Scott | Steven Spielberg | George Lucas
F | Quel acteur a incarné le gendarme de Saint-Tropez ? | Louis de Funès | Bourvil | Jean Gabin | Fernandel
F | Quel studio a produit Toy Story ? | Pixar | DreamWorks | Ghibli | Blue Sky
F | Quel a été le premier long métrage d'animation des studios Disney ? | Blanche-Neige et les sept nains | Pinocchio | Fantasia | Dumbo
F | Quel studio japonais a produit Princesse Mononoké ? | Le studio Ghibli | Le studio Toei | Le studio Madhouse | Le studio Sunrise
F | Quel réalisateur a signé Le Grand Bleu et Léon ? | Luc Besson | Jean-Jacques Annaud | Claude Berri | Jean-Pierre Jeunet
F | Quelle actrice a joué Ripley dans Alien ? | Sigourney Weaver | Linda Hamilton | Jamie Lee Curtis | Carrie Fisher
F | Quel acteur a joué le magicien Gandalf au cinéma ? | Ian McKellen | Christopher Lee | Michael Gambon | Patrick Stewart
F | Quel réalisateur a signé Les Dents de la mer et Jurassic Park ? | Steven Spielberg | James Cameron | Ridley Scott | Robert Zemeckis
F | Quel film met en scène un ogre vert et un âne bavard ? | Shrek | Madagascar | Kung Fu Panda | Monstres et Cie
F | Quel film de Disney met en scène une jeune fille et une bête ? | La Belle et la Bête | Cendrillon | Raiponce | Mulan
M | Quel réalisateur a signé Jules et Jim ? | François Truffaut | Jean-Luc Godard | Claude Chabrol | Éric Rohmer
M | Quel réalisateur a signé La Grande Illusion ? | Jean Renoir | Marcel Carné | Julien Duvivier | René Clair
M | Quel réalisateur a signé Le Salaire de la peur ? | Henri-Georges Clouzot | Jean Renoir | Jacques Becker | Marcel Carné
M | Quel réalisateur a signé Les Diaboliques ? | Henri-Georges Clouzot | Alfred Hitchcock | Claude Chabrol | Georges Franju
M | Quel réalisateur a signé Hiroshima mon amour ? | Alain Resnais | Alain Robbe-Grillet | Chris Marker | Louis Malle
M | Quel réalisateur a signé Cléo de 5 à 7 ? | Agnès Varda | Jacques Demy | Claire Denis | Marguerite Duras
M | Quel réalisateur a signé Le Mépris ? | Jean-Luc Godard | François Truffaut | Alain Resnais | Roger Vadim
M | Quel réalisateur a signé Un homme et une femme ? | Claude Lelouch | Claude Sautet | Claude Chabrol | Costa-Gavras
M | Quel réalisateur a signé La Haine ? | Mathieu Kassovitz | Jacques Audiard | Cédric Klapisch | Olivier Assayas
M | Quel duo de réalisateurs a signé Intouchables ? | Toledano et Nakache | Klapisch et Salvadori | Les frères Dardenne | Delépine et Kervern
M | Quelle actrice a joué dans Et Dieu créa la femme ? | Brigitte Bardot | Jeanne Moreau | Catherine Deneuve | Anouk Aimée
M | Quel acteur français a incarné Fantômas au cinéma ? | Jean Marais | Louis de Funès | Jean-Paul Belmondo | Alain Delon
M | Quel acteur français a joué dans Les Tontons flingueurs et L'Armée des ombres ? | Lino Ventura | Jean Gabin | Michel Constantin | Bernard Blier
M | Quel prix récompense le meilleur film au festival de Berlin ? | L'Ours d'or | Le Lion d'or | La Palme d'or | Le Léopard d'or
M | Quel prix récompense le meilleur film au festival de Venise ? | Le Lion d'or | L'Ours d'or | La Palme d'or | Le Grand Prix
