# Français — Quatrième — une question par ligne.
#
# niveau | énoncé ? | bonne réponse | leurre | leurre | leurre
# F facile · M moyen · D difficile
#
# Les propositions sont mêlées au tirage : l'ordre n'a aucune importance.
# Un leurre doit être faux mais crédible — un leurre absurde ne fait pas
# une question, il fait une question à trois propositions.
#
# Le programme de français de quatrième : les subordonnées, le discours
# rapporté, les modes, les homophones difficiles et le XIXe siècle.
#
# L'énoncé ne porte qu'un seul point d'interrogation : on ne cite jamais de
# phrase interrogative en exemple.

! id      | francais-4e
! nom     | Français — 4e
! de      | de Français — 4e
! detail  | Le programme de quatrième : subordonnées, modes, difficultés.
! icone   | text.alignleft
! teinte  | 0.50 0.56 0.32
! rang   | 14
! produit | com.oulhen.riskelo.pack.francais4e


# --- Les subordonnées ---

F | Comment appelle-t-on une proposition qui dépend d'une autre ? | Une subordonnée | Une principale | Une indépendante | Une coordonnée
D | Comment s'écrit « aussitôt » au sens de « immédiatement » ? | En un mot | En deux mots | Avec un trait d'union | Avec un accent grave
M | Comment s'écrit « en fait » qui introduit une précision ? | En deux mots | En un mot | Avec un trait d'union | Avec une apostrophe
D | Comment s'écrit « voire » au sens de « et même » ? | Avec un e final | Sans e final | Avec deux r | Avec un accent
M | Comment s'écrit « censé » au sens de « supposé » ? | Avec un c | Avec un s | Avec deux s | Avec un accent grave
M | Comment s'écrit « sensé » au sens de « plein de bon sens » ? | Avec un s | Avec un c | Avec deux c | Avec un accent grave
D | Comment s'écrit « différend » au sens de « désaccord » ? | Avec un d final | Avec un t final | Avec deux n | Sans accent
M | Comment s'écrit « différent » au sens de « qui n'est pas pareil » ? | Avec un t final | Avec un d final | Avec deux f et un d | Sans accent
D | Comment s'écrit « près de » au sens de « sur le point de » ? | Près | Prêt | Pré | Prés
D | Comment s'écrit « prêt à » au sens de « disposé à » ? | Prêt | Près | Pré | Prés


# --- Les modes et les temps ---

F | Combien de modes personnels compte le verbe français ? | Quatre | Trois | Cinq | Six
M | Quels sont les modes personnels du verbe ? | Indicatif, subjonctif, conditionnel, impératif | Infinitif et participe | Gérondif et participe | Actif et passif
M | Quels sont les modes impersonnels du verbe ? | Infinitif, participe, gérondif | Indicatif et subjonctif | Impératif et conditionnel | Actif et passif
M | Combien de temps compte l'indicatif en français ? | Huit | Quatre | Six | Dix
M | Quel temps de l'indicatif exprime une action future achevée ? | Le futur antérieur | Le futur simple | Le passé antérieur | Le plus-que-parfait
F | Quel temps exprime une action passée achevée liée au présent ? | Le passé composé | Le passé simple | L'imparfait | Le plus-que-parfait
M | Quel est le subjonctif présent de « pouvoir » à la troisième personne du singulier ? | Qu'il puisse | Qu'il peut | Qu'il pourrait | Qu'il pût
M | Quel est le subjonctif présent de « savoir » à la troisième personne du singulier ? | Qu'il sache | Qu'il sait | Qu'il saurait | Qu'il sût
D | Quel est le subjonctif présent de « vouloir » à la troisième personne du singulier ? | Qu'il veuille | Qu'il veut | Qu'il voudrait | Qu'il voulût
D | Quel est le subjonctif présent de « valoir » à la troisième personne du singulier ? | Qu'il vaille | Qu'il vaut | Qu'il vaudrait | Qu'il valût
M | Quel est le conditionnel passé de « aimer » à la première personne du singulier ? | J'aurais aimé | J'aurai aimé | J'avais aimé | J'aie aimé
D | Comment appelle-t-on la forme « il aurait plu » quand on rapporte une information non vérifiée ? | Le conditionnel journalistique | Le conditionnel de politesse | Le futur du passé | Le subjonctif
F | Quel mode emploie-t-on pour formuler une demande polie ? | Le conditionnel | L'impératif | Le subjonctif | Le participe
D | Quel temps du subjonctif ne s'emploie plus guère qu'à l'écrit soutenu ? | L'imparfait du subjonctif | Le présent du subjonctif | Le passé du subjonctif | Le futur


# --- L'accord, cas difficiles ---

M | Comment s'accorde « demi » placé devant un nom ? | Il reste invariable | Il s'accorde en genre | Il s'accorde en nombre | Il s'accorde des deux
M | Comment s'accorde « demi » placé après un nom ? | En genre seulement | En nombre seulement | En genre et en nombre | Il reste invariable
M | Comment s'accordent les adjectifs de couleur composés ? | Ils restent invariables | Ils s'accordent en genre | Ils s'accordent en nombre | Ils s'accordent des deux
D | Comment s'accorde un adjectif de couleur qui vient d'un nom, comme « marron » ? | Il reste invariable | Il s'accorde en genre | Il s'accorde en nombre | Il s'accorde des deux
D | Quelle couleur venue d'un nom s'accorde malgré la règle ? | Rose | Marron | Orange | Kaki
M | Comment s'accorde « nu » placé devant le nom, comme dans « nu-pieds » ? | Il reste invariable | Il s'accorde en genre | Il s'accorde en nombre | Il prend un trait d'union seul
D | Comment s'accorde « ci-joint » placé en tête de phrase ? | Il reste invariable | Il s'accorde en genre | Il s'accorde en nombre | Il s'accorde des deux
F | Comment s'accorde le mot « vingt » dans « quatre-vingts » ? | Il prend un s | Il reste invariable | Il prend un x | Il prend un e
D | Comment s'accorde « vingt » dans « quatre-vingt-deux » ? | Il reste invariable | Il prend un s | Il prend un x | Il prend un e
M | Comment s'accorde « cent » dans « deux cents » ? | Il prend un s | Il reste invariable | Il prend un x | Il prend un e
M | Comment s'accorde « mille » dans un nombre ? | Il reste invariable | Il prend un s | Il prend un x | Il prend un e
M | Comment s'accorde le participe passé d'un verbe pronominal réfléchi ? | Avec le sujet | Avec le complément d'objet indirect | Il reste invariable | Avec l'adverbe
D | Comment s'accorde « se sont succédé » au pluriel ? | Il reste invariable | Il prend un s | Il prend un es | Il prend un e
D | Pourquoi « se sont succédé » reste-t-il invariable ? | Le pronom est complément indirect | Le verbe est intransitif | Le sujet est féminin | Le verbe est impersonnel
D | Comment s'accorde le participe passé suivi d'un infinitif comme « fait » ? | Il reste invariable | Il s'accorde en genre | Il s'accorde en nombre | Il s'accorde des deux
D | Comment s'accorde le participe passé après le pronom « en » ? | Il reste invariable | Il s'accorde avec « en » | Il s'accorde avec le sujet | Il prend toujours un s
M | Comment s'accorde un verbe dont le sujet est « la plupart » ? | Au pluriel | Au singulier | Au féminin singulier | Au masculin singulier
M | Comment s'accorde un verbe dont le sujet est « beaucoup de gens » ? | Au pluriel | Au singulier | Au féminin | Au masculin singulier
D | Comment s'accorde un verbe après « c'est » suivi d'un pluriel ? | Les deux accords sont admis | Au singulier seulement | Au pluriel seulement | Au féminin


# --- Le XIXe siècle et les genres ---

F | Quel écrivain français a écrit « Les Misérables » ? | Victor Hugo | Émile Zola | Gustave Flaubert | Honoré de Balzac
F | Quel écrivain a réuni ses romans dans « La Comédie humaine » ? | Honoré de Balzac | Victor Hugo | Émile Zola | Stendhal
F | Quel écrivain a écrit « Madame Bovary » ? | Gustave Flaubert | Émile Zola | Guy de Maupassant | Alphonse Daudet
F | Quel écrivain a écrit la série des « Rougon-Macquart » ? | Émile Zola | Honoré de Balzac | Victor Hugo | Stendhal
M | Quel écrivain est célèbre pour ses nouvelles fantastiques et réalistes ? | Guy de Maupassant | Victor Hugo | Alfred de Musset | Théophile Gautier
M | Quelle nouvelle de Maupassant met en scène une parure empruntée ? | La Parure | Le Horla | Boule de Suif | La Peur
M | Quelle nouvelle de Maupassant raconte la folie d'un homme hanté ? | Le Horla | La Parure | Boule de Suif | Le Papa de Simon
F | Comment appelle-t-on un récit court avec peu de personnages ? | Une nouvelle | Un roman | Une fable | Une épopée
M | Comment appelle-t-on un récit où l'inexplicable fait douter le lecteur ? | Le fantastique | Le merveilleux | Le réalisme | Le naturalisme
D | Quelle différence sépare le fantastique du merveilleux ? | Le doute du lecteur | La longueur du texte | Le nombre de personnages | Le lieu du récit
F | Comment appelle-t-on le mouvement qui peint la société telle qu'elle est ? | Le réalisme | Le romantisme | Le symbolisme | Le classicisme
M | Comment appelle-t-on le mouvement qui applique la science au roman ? | Le naturalisme | Le réalisme | Le romantisme | Le symbolisme
F | Comment appelle-t-on le mouvement qui exalte les sentiments et la nature ? | Le romantisme | Le réalisme | Le classicisme | Le naturalisme
M | Quel poète a écrit « Les Fleurs du mal » ? | Charles Baudelaire | Paul Verlaine | Arthur Rimbaud | Alfred de Vigny
M | Quel jeune poète a écrit « Le Dormeur du val » ? | Arthur Rimbaud | Charles Baudelaire | Paul Verlaine | Stéphane Mallarmé
D | Quel poète a écrit « Chanson d'automne » ? | Paul Verlaine | Arthur Rimbaud | Charles Baudelaire | Victor Hugo
F | Comment appelle-t-on un texte qui cherche à convaincre le lecteur ? | Un texte argumentatif | Un texte narratif | Un texte descriptif | Un texte explicatif
M | Comment appelle-t-on l'idée que l'on défend dans un texte argumentatif ? | La thèse | L'argument | L'exemple | La conclusion
M | Comment appelle-t-on la raison qui appuie une thèse ? | Un argument | Une thèse | Un exemple | Un connecteur
M | Comment appelle-t-on les mots qui articulent un raisonnement ? | Les connecteurs logiques | Les déterminants | Les pronoms | Les adverbes de lieu


# --- Compléments : grammaire fine ---

F | Comment appelle-t-on le mot qui unit deux propositions de même rang ? | Une conjonction de coordination | Une conjonction de subordination | Une préposition | Un adverbe
F | Comment appelle-t-on le mot qui introduit une subordonnée ? | Une conjonction de subordination | Une conjonction de coordination | Une préposition | Un pronom
M | Quelle est la fonction d'une subordonnée complétive après « je sais » ? | Complément d'objet direct | Sujet | Attribut | Complément circonstanciel
D | Une subordonnée peut-elle occuper la fonction de sujet ? | Oui | Non | Seulement au passé | Seulement au pluriel
M | Comment appelle-t-on la mise en relief d'un mot par « c'est » et « que » ? | Une tournure emphatique | Une tournure impersonnelle | Une tournure passive | Une tournure négative
D | Comment appelle-t-on une phrase construite avec « il » qui ne désigne personne ? | Une tournure impersonnelle | Une tournure emphatique | Une tournure passive | Une tournure exclamative
F | Quels deux mots forment la négation complète en français ? | Ne et pas | Ne seul | Pas seul | Non et pas
D | Comment appelle-t-on l'oubli du « ne » à l'oral ? | Un relâchement de l'oral | Une élision | Une liaison | Une apocope
M | Quelle négation exprime « ne jamais » ? | La négation de temps | La négation de lieu | La négation de quantité | La négation de manière
D | Quelle négation exprime « ne personne » ? | La négation portant sur l'être | La négation de temps | La négation de lieu | La négation de quantité
F | Comment appelle-t-on l'ordre habituel des mots dans une phrase française ? | Sujet, verbe, complément | Verbe, sujet, complément | Complément, verbe, sujet | Sujet, complément, verbe
D | Comment appelle-t-on le déplacement d'un mot en tête de phrase pour l'accentuer ? | Une mise en relief | Une inversion simple | Une ellipse | Une apposition
D | Comment appelle-t-on la suppression d'un mot que l'on devine ? | Une ellipse | Une apposition | Une incise | Une anaphore
M | Comment appelle-t-on la reprise d'un mot par un pronom dans un texte ? | Une reprise anaphorique | Une répétition fautive | Une ellipse | Une apposition
D | Comment appelle-t-on la progression d'un texte où chaque phrase reprend la précédente ? | Une progression à thème linéaire | Une progression à thème constant | Une progression éclatée | Une progression circulaire


# --- Compléments : orthographe et vocabulaire ---

F | Combien de « s » faut-il pour faire le son « s » entre deux voyelles ? | Deux | Un | Trois | Aucun
F | Quelle lettre double le verbe « jeter » devant un « e » muet ? | Le t | Le j | Le r | Le e
F | Quelle lettre double le verbe « appeler » devant un « e » muet ? | Le l | Le p | Le r | Le e
F | Comment s'écrit le pluriel des noms terminés par « eau » ? | Avec un x | Avec un s | Sans marque | Avec un z
F | Comment s'écrit le pluriel des noms terminés par « ou » en règle générale ? | Avec un s | Avec un x | Sans marque | Avec un z
F | Comment s'écrit le pluriel des noms terminés par « al » en règle générale ? | En aux | En als | En aus | En alles
F | Comment s'écrit le pluriel des noms déjà terminés par « s » ? | Il ne change pas | Il prend un s de plus | Il prend un x | Il prend un e
F | Quel accent le mot « forêt » porte-t-il sur le « e » ? | Un accent circonflexe | Un accent aigu | Un accent grave | Un tréma
F | Que signale souvent l'accent circonflexe en français ? | La disparition d'un s ancien | Un pluriel | Un féminin | Un emprunt
F | Comment s'écrit le mot qui désigne le contraire de « juste » ? | Injuste | Injust | Injuste avec deux s | Enjuste
M | Comment s'écrit le nom formé sur le verbe « développer » ? | Développement | Dévelopement | Développemant | Dévellopement
F | Combien de « p » compte le mot « développer » ? | Deux | Un | Trois | Aucun
M | Combien de « l » compte le mot « développer » ? | Un | Deux | Trois | Aucun
M | Combien de « r » compte le mot « pourrir » à l'infinitif ? | Trois au total | Deux | Un | Quatre
M | Combien de « c » compte le mot « occasion » ? | Deux | Un | Trois | Aucun
M | Combien de « s » compte le mot « nécessaire » ? | Trois au total | Deux | Un | Quatre
M | Comment s'écrit le mot « professionnel » quant au nombre de « n » ? | Avec deux n | Avec un n | Avec trois n | Sans n
M | Comment s'écrit le mot « traditionnel » quant au nombre de « n » ? | Avec deux n | Avec un n | Avec trois n | Sans n
M | Comment s'écrit le mot « rationnel » quant au nombre de « n » ? | Avec deux n | Avec un n | Avec trois n | Sans n
M | Comment s'écrit le mot « national » quant au nombre de « n » après le « o » ? | Avec un seul n | Avec deux n | Avec trois n | Sans n
M | Comment s'écrit le nom formé sur « connaître » au sens de savoir ? | Connaissance | Conaissance | Connaisance | Conaisance
M | Comment s'écrit l'adjectif formé sur « ennui » ? | Ennuyeux | Ennuieux | Enuyeux | Ennuyeu
M | Comment s'écrit le mot qui désigne la faculté de se souvenir ? | La mémoire | La mémoir | La mémmoire | La méhmoire
M | Comment s'écrit le verbe qui signifie « rendre plus court » ? | Abréger | Abbréger | Abrégger | Abréjer
M | Comment s'écrit le verbe qui signifie « mettre au courant » ? | Avertir | Averttir | Avvertir | Avertire
M | Comment s'écrit le mot qui désigne un travail difficile et long ? | Un labeur | Un labbeur | Un laboeur | Un labeurre
D | Comment s'écrit le mot qui désigne une faute de langue grossière ? | Un barbarisme | Un barbarysme | Un barbarrisme | Un barbaricisme
F | Comment appelle-t-on un mot venu de l'anglais ? | Un anglicisme | Un latinisme | Un hellénisme | Un germanisme
M | Comment appelle-t-on un mot venu du grec ? | Un hellénisme | Un anglicisme | Un latinisme | Un arabisme
M | Que signifie la racine grecque « chrono » ? | Le temps | Le lieu | L'homme | L'écriture
M | Que signifie la racine grecque « geo » ? | La terre | L'eau | Le feu | L'air
M | Que signifie la racine grecque « bio » ? | La vie | La mort | Le corps | L'esprit
D | Que signifie la racine grecque « graphie » ? | L'écriture | La parole | La mesure | L'étude
D | Que signifie la racine grecque « logie » ? | L'étude | L'écriture | La mesure | Le soin
D | Que signifie la racine grecque « mètre » ? | La mesure | L'écriture | L'étude | La vie
D | Que signifie la racine latine « aqua » ? | L'eau | La terre | Le feu | L'air
D | Que signifie la racine latine « manu » ? | La main | Le pied | La tête | Le cœur
M | Que signifie le préfixe « poly » ? | Plusieurs | Un seul | Contre | Avant
M | Que signifie le préfixe « mono » ? | Un seul | Plusieurs | Contre | Après
D | Que signifie le préfixe « hyper » ? | Au-dessus | En dessous | Contre | Avec
D | Que signifie le préfixe « hypo » ? | En dessous | Au-dessus | Contre | Avec


# --- Compléments : les vingt-deux dernières ---

F | Comment appelle-t-on la première personne du pluriel du verbe ? | Nous | Je | Vous | Ils
F | Comment appelle-t-on un texte qui explique un phénomène ? | Un texte explicatif | Un texte narratif | Un texte argumentatif | Un texte poétique
F | Comment appelle-t-on l'ensemble des règles d'écriture d'une langue ? | L'orthographe | La phonétique | La rhétorique | La stylistique
F | Comment appelle-t-on les paroles d'un personnage rapportées mot pour mot ? | Une citation | Un résumé | Un commentaire | Une paraphrase
F | Comment appelle-t-on le fait de redire un texte avec ses propres mots ? | Une reformulation | Une citation | Une définition | Une analyse
F | Comment appelle-t-on la version courte d'un texte long ? | Un résumé | Une citation | Une préface | Une conclusion
M | Comment appelle-t-on un adjectif qui vient d'un participe présent ? | Un adjectif verbal | Un participe passé | Un gérondif | Un attribut
D | Comment distingue-t-on l'adjectif verbal du participe présent ? | L'adjectif s'accorde | Le participe s'accorde | Ils s'accordent tous deux | Aucun ne s'accorde
D | Comment s'écrit l'adjectif verbal formé sur « fatiguer » ? | Fatigant | Fatiguant | Fatigant avec deux t | Fatiquant
D | Comment s'écrit le participe présent du verbe « fatiguer » ? | Fatiguant | Fatigant | Fatiganne | Fatiquant
D | Comment s'écrit l'adjectif verbal formé sur « communiquer » ? | Communicant | Communiquant | Communicquant | Comuniquant
M | Comment appelle-t-on le mot qui remplace toute une proposition ? | Un pronom neutre | Un déterminant | Un adverbe | Une conjonction
M | Quelle est la fonction du groupe « avec joie » dans une phrase ? | Complément circonstanciel de manière | Complément d'objet | Sujet | Attribut
M | Quelle est la fonction du groupe « depuis hier » dans une phrase ? | Complément circonstanciel de temps | Complément d'objet | Attribut | Sujet
F | Quelle est la fonction du mot « médecin » dans « il est médecin » ? | Attribut du sujet | Complément d'objet | Épithète | Apposition
F | Quelle est la fonction du mot « rouge » dans « une porte rouge » ? | Épithète | Attribut | Apposition | Complément
M | Quelle est la fonction du groupe « de mon frère » dans « le livre de mon frère » ? | Complément du nom | Complément d'objet | Attribut | Épithète
M | Comment appelle-t-on l'élément qui indique le nombre dans le groupe nominal ? | Le déterminant | Le nom | L'adjectif | Le verbe
M | Comment appelle-t-on la partie du dictionnaire qui donne la nature d'un mot ? | L'article de dictionnaire | La préface | L'index | Le glossaire
M | Comment appelle-t-on l'ordre des mots dans un dictionnaire ? | L'ordre alphabétique | L'ordre chronologique | L'ordre logique | L'ordre thématique
M | Comment appelle-t-on la forme sous laquelle un verbe figure au dictionnaire ? | L'infinitif | Le participe | L'impératif | Le présent
M | Comment appelle-t-on la forme sous laquelle un nom figure au dictionnaire ? | Le singulier | Le pluriel | Le féminin | Le masculin pluriel


# --- Compléments : les vingt dernières ---

F | Comment appelle-t-on le point placé à la fin d'une phrase déclarative ? | Le point | La virgule | Le point-virgule | Les deux-points
F | Comment appelle-t-on le signe qui marque une pause courte dans la phrase ? | La virgule | Le point | Le tiret | Les guillemets
F | Comment appelle-t-on le signe qui sépare deux propositions liées par le sens ? | Le point-virgule | La virgule | Le point | L'apostrophe
F | Quel signe encadre une remarque ajoutée dans une phrase ? | Les parenthèses | Les guillemets | Les crochets | Les accolades
F | Comment appelle-t-on l'ensemble des signes de ponctuation d'un texte ? | La ponctuation | L'orthographe | La typographie | La calligraphie
F | Comment appelle-t-on le premier mot d'un paragraphe décalé vers la droite ? | Un alinéa | Une marge | Un interligne | Un retrait de fin
F | Comment appelle-t-on la division d'un texte marquée par un retour à la ligne ? | Un paragraphe | Un chapitre | Une strophe | Une phrase
F | Comment appelle-t-on l'ensemble des chapitres d'un roman ? | Le corps du texte | La préface | L'index | La couverture
F | Comment appelle-t-on celui qui lit un livre ? | Le lecteur | L'auteur | L'éditeur | Le narrateur
F | Comment appelle-t-on celui qui publie un livre ? | L'éditeur | L'auteur | Le libraire | L'imprimeur
F | Comment appelle-t-on le verbe qui exprime ce que fait le sujet ? | Un verbe d'action | Un verbe d'état | Un auxiliaire | Un semi-auxiliaire
F | Comment appelle-t-on « être » et « avoir » dans un temps composé ? | Des auxiliaires | Des verbes d'état | Des adverbes | Des participes
M | Comment appelle-t-on le fait qu'un texte soit écrit au présent d'un bout à l'autre ? | Un système du présent | Un système du passé | Une concordance | Une alternance
M | Quel temps accompagne le passé simple dans un récit au passé ? | L'imparfait | Le présent | Le futur | Le conditionnel
M | Quel temps accompagne le présent de narration dans un récit ? | Le passé composé | Le passé simple | L'imparfait du subjonctif | Le futur antérieur
M | Comment appelle-t-on l'ordre dans lequel les événements sont racontés ? | La chronologie du récit | La description | L'argumentation | La ponctuation
M | Comment appelle-t-on un retour en arrière dans un récit ? | Une analepse | Une prolepse | Une ellipse | Une pause
M | Comment appelle-t-on une anticipation sur la suite d'un récit ? | Une prolepse | Une analepse | Une ellipse | Un sommaire
M | Comment appelle-t-on le passage sous silence d'une période dans un récit ? | Une ellipse narrative | Une analepse | Une prolepse | Une digression
M | Comment appelle-t-on le point de vue d'un narrateur qui sait tout ? | Le point de vue omniscient | Le point de vue interne | Le point de vue externe | Le point de vue neutre
