# Français — Troisième — une question par ligne.
#
# niveau | énoncé ? | bonne réponse | leurre | leurre | leurre
# F facile · M moyen · D difficile
#
# Les propositions sont mêlées au tirage : l'ordre n'a aucune importance.
# Un leurre doit être faux mais crédible — un leurre absurde ne fait pas
# une question, il fait une question à trois propositions.
#
# Le programme de français de troisième : la maîtrise de la phrase complexe,
# l'argumentation, les registres, et la littérature du XXe siècle.
#
# L'énoncé ne porte qu'un seul point d'interrogation : on ne cite jamais de
# phrase interrogative en exemple.

! id      | francais-3e
! nom     | Français — 3e
! de      | de Français — 3e
! detail  | Le programme de troisième : phrase complexe, argumenter, écrire.
! icone   | text.justify
! teinte  | 0.46 0.40 0.64
! rang   | 20
! produit | com.oulhen.riskelo.pack.francais3e


# --- La phrase complexe ---

F | Combien de propositions compte une phrase complexe au minimum ? | Deux | Une | Trois | Quatre
F | Quelle écrivaine a écrit « Le Deuxième Sexe » ? | Simone de Beauvoir | Marguerite Duras | Colette | Nathalie Sarraute
M | Quelle écrivaine a écrit « L'Amant » ? | Marguerite Duras | Simone de Beauvoir | Colette | Françoise Sagan
D | Quel écrivain a écrit « Voyage au bout de la nuit » ? | Louis-Ferdinand Céline | Marcel Proust | André Gide | Paul Valéry
M | Quel écrivain a écrit « À la recherche du temps perdu » ? | Marcel Proust | André Gide | Louis Aragon | Paul Claudel
F | Quel poète résistant a écrit « Liberté » pendant la guerre ? | Paul Éluard | Louis Aragon | Robert Desnos | René Char
M | Quel mouvement poétique du XXe siècle explore le rêve et l'inconscient ? | Le surréalisme | Le romantisme | Le naturalisme | Le classicisme
M | Quel poète a dirigé le mouvement surréaliste ? | André Breton | Paul Éluard | Louis Aragon | Guillaume Apollinaire
M | Quel poète a écrit des poèmes en forme de dessin appelés calligrammes ? | Guillaume Apollinaire | Paul Éluard | Arthur Rimbaud | Stéphane Mallarmé
M | Comment appelle-t-on un récit qui témoigne d'une expérience vécue ? | Un témoignage | Une fiction | Un essai | Un conte
M | Quel écrivain italien a témoigné de sa déportation à Auschwitz ? | Primo Levi | Italo Calvino | Umberto Eco | Alberto Moravia
M | Quelle jeune fille a tenu un journal dans une annexe d'Amsterdam ? | Anne Frank | Simone Veil | Charlotte Delbo | Hélène Berr
F | Comment appelle-t-on un texte écrit jour après jour sur soi-même ? | Un journal intime | Un roman | Un essai | Une nouvelle
M | Comment appelle-t-on un roman où l'auteur mêle sa vie et la fiction ? | Une autofiction | Une autobiographie | Une biographie | Un essai
F | Comment appelle-t-on un texte de réflexion personnelle sur un sujet ? | Un essai | Un roman | Une nouvelle | Un conte
M | Quel dramaturge du XXe siècle a écrit « En attendant Godot » ? | Samuel Beckett | Eugène Ionesco | Jean Anouilh | Jean Giraudoux
M | Quel dramaturge a écrit « La Cantatrice chauve » ? | Eugène Ionesco | Samuel Beckett | Jean Genet | Arthur Adamov
M | Comment appelle-t-on le théâtre qui montre l'absurdité de la vie ? | Le théâtre de l'absurde | Le théâtre classique | Le théâtre romantique | Le drame bourgeois


# --- Compléments : la langue au quotidien ---

F | Comment appelle-t-on le fait de parler autrement selon la situation ? | Le changement de registre | Le changement de genre | Le changement de temps | Le changement de mode
F | À quel registre appartient le mot « bouquin » ? | Au registre familier | Au registre courant | Au registre soutenu | Au registre technique
F | À quel registre appartient le mot « ouvrage » ? | Au registre soutenu | Au registre familier | Au registre argotique | Au registre populaire
F | Comment appelle-t-on le vocabulaire propre à un métier ? | Un jargon | Un argot | Un dialecte | Un patois
F | Comment appelle-t-on la langue parlée dans une région précise ? | Un dialecte | Un jargon | Un argot | Un registre
M | Comment appelle-t-on le fait de reprendre les mots d'un autre sans le citer ? | Un plagiat | Une citation | Un pastiche | Une paraphrase
M | Comment appelle-t-on la source indiquée après une citation ? | La référence | La conclusion | L'argument | Le connecteur
M | Comment appelle-t-on la liste des ouvrages consultés ? | La bibliographie | L'index | Le glossaire | La table
F | Comment appelle-t-on l'introduction d'une rédaction ? | L'accroche et la problématique | La conclusion | Le développement | La transition
F | Comment appelle-t-on la question à laquelle un devoir doit répondre ? | La problématique | La thèse | L'argument | L'exemple
M | Comment appelle-t-on le passage qui relie deux parties d'un devoir ? | Une transition | Une conclusion | Une introduction | Une digression
F | Comment appelle-t-on la dernière partie d'un devoir argumenté ? | La conclusion | L'introduction | Le développement | La transition
M | Comment appelle-t-on l'ouverture placée à la fin d'une conclusion ? | Une ouverture | Une transition | Une problématique | Une accroche
M | Comment appelle-t-on le plan qui oppose deux thèses avant de trancher ? | Le plan dialectique | Le plan thématique | Le plan analytique | Le plan chronologique
D | Comment appelle-t-on le plan qui examine un problème, ses causes et ses remèdes ? | Le plan analytique | Le plan dialectique | Le plan thématique | Le plan comparatif


# --- Compléments : conjugaison et accords ---

F | Quel auxiliaire emploie-t-on avec les verbes de mouvement comme « venir » ? | Être | Avoir | Faire | Aller
F | Quel auxiliaire emploie-t-on avec tous les verbes pronominaux ? | Être | Avoir | Faire | Devoir
M | Quel est le plus-que-parfait de « faire » à la troisième personne du singulier ? | Il avait fait | Il a fait | Il eut fait | Il aurait fait
M | Quel est le futur antérieur de « partir » à la troisième personne du singulier ? | Il sera parti | Il serait parti | Il était parti | Il est parti
D | Quel est le passé du subjonctif de « venir » à la troisième personne du singulier ? | Qu'il soit venu | Qu'il vienne | Qu'il fût venu | Qu'il serait venu
D | Quel est l'imparfait du subjonctif de « être » à la troisième personne du singulier ? | Qu'il fût | Qu'il soit | Qu'il était | Qu'il serait
D | Quel accent distingue « qu'il fût » de « il fut » ? | L'accent circonflexe | L'accent aigu | L'accent grave | Le tréma
F | Comment s'accorde le verbe quand deux sujets sont reliés par « et » ? | Au pluriel | Au singulier | Au féminin | Au masculin singulier
M | Comment s'accorde le verbe quand deux sujets sont reliés par « ou » ? | Les deux accords sont possibles | Au singulier seulement | Au pluriel seulement | Au féminin
D | Comment s'accorde le verbe après « ni l'un ni l'autre » ? | Les deux accords sont admis | Au singulier seulement | Au pluriel seulement | Au féminin
F | Comment s'accorde le verbe dont le sujet est « on » ? | À la troisième personne du singulier | Au pluriel | Au féminin pluriel | À la première personne
D | Le participe peut-il s'accorder au féminin après « on » ? | Oui, selon le sens | Non, jamais | Seulement au pluriel | Seulement à l'écrit
M | Comment s'accorde un adjectif employé comme adverbe, dans « parler fort » ? | Il reste invariable | Il s'accorde en genre | Il s'accorde en nombre | Il s'accorde des deux
D | Comment s'accorde « haut » dans « parler haut » ? | Il reste invariable | Il s'accorde en genre | Il s'accorde en nombre | Il s'accorde des deux
M | Comment s'accorde le mot « chaque » ? | Il est toujours singulier | Il est toujours pluriel | Il varie en genre seulement | Il est invariable en genre
D | Comment s'accorde le verbe après « plus d'un » ? | Au singulier | Au pluriel | Au féminin | Aux deux
D | Comment s'accorde le verbe après « moins de deux » ? | Au pluriel | Au singulier | Au féminin | Aux deux


# --- Compléments : lire un texte ---

F | Comment appelle-t-on celui qui parle dans un poème ? | Le locuteur | L'auteur | Le narrateur | Le personnage
F | Comment appelle-t-on le sujet dont traite un texte ? | Le thème | Le style | Le genre | Le registre
F | Comment appelle-t-on la façon dont un texte est organisé ? | Sa structure | Son style | Son thème | Son registre
F | Comment appelle-t-on le début d'un roman ? | L'incipit | L'épilogue | La préface | Le dénouement
F | Comment appelle-t-on la fin d'un roman ? | L'épilogue | L'incipit | La préface | Le prologue
D | Comment appelle-t-on la citation placée en tête d'un livre ? | L'épigraphe | La préface | L'épilogue | La dédicace
F | Comment appelle-t-on la phrase par laquelle un auteur offre son livre ? | La dédicace | L'épigraphe | La préface | L'incipit
F | Comment appelle-t-on le nom d'emprunt d'un écrivain ? | Un pseudonyme | Un surnom | Un patronyme | Un anonyme
F | Comment appelle-t-on un texte dont on ignore l'auteur ? | Un texte anonyme | Un texte apocryphe | Un texte inédit | Un texte posthume
D | Comment appelle-t-on un texte publié après la mort de son auteur ? | Un texte posthume | Un texte anonyme | Un texte inédit | Un texte apocryphe
D | Comment appelle-t-on un texte jamais publié auparavant ? | Un inédit | Un posthume | Un anonyme | Un apocryphe
M | Comment appelle-t-on l'ensemble des œuvres d'un auteur ? | Son œuvre | Son style | Son genre | Son registre
D | Comment appelle-t-on l'ensemble des textes reconnus d'une époque ? | Le corpus | Le lexique | Le registre | Le genre
M | Comment appelle-t-on l'étude détaillée d'un texte ? | Un commentaire | Un résumé | Une citation | Une préface
M | Comment appelle-t-on la comparaison de deux textes ? | Une lecture comparée | Un résumé | Une paraphrase | Une citation
M | Comment appelle-t-on le fait de redire un texte sans l'analyser ? | Une paraphrase | Un commentaire | Une analyse | Une synthèse
D | Comment appelle-t-on l'image de l'auteur que le lecteur se construit ? | La figure de l'auteur | Le narrateur | Le personnage | Le locuteur
D | Comment appelle-t-on l'ensemble des personnages d'un récit ? | Le système des personnages | Le cadre | L'intrigue | Le thème
M | Comment appelle-t-on la suite des événements d'un récit ? | L'intrigue | Le cadre | Le thème | Le style
M | Comment appelle-t-on le lieu et l'époque d'un récit ? | Le cadre spatio-temporel | L'intrigue | Le thème | Le registre


# --- Compléments : orthographe et pièges ---

F | Comment s'écrit le mot qui désigne un jour de congé ? | Un férié | Un ferié | Un ferrié | Un férrié
F | Comment s'écrit le verbe qui signifie « donner son avis » ? | Émettre un avis | Émètre un avis | Emmettre un avis | Émetre un avis
F | Combien de « t » compte le mot « littérature » ? | Deux | Un | Trois | Aucun
F | Combien de « r » compte le mot « littérature » ? | Un | Deux | Trois | Aucun
F | Combien de « f » compte le mot « difficile » ? | Deux | Un | Trois | Aucun
F | Combien de « c » compte le mot « difficile » ? | Un | Deux | Trois | Aucun
M | Comment s'écrit le mot qui désigne l'action de recommander ? | Une recommandation | Une recomandation | Une reccommandation | Une recommendation
M | Comment s'écrit le mot qui désigne un événement heureux ? | Un événement | Un évènement seulement | Un événnement | Un évenement
M | Les deux orthographes « événement » et « évènement » sont-elles admises ? | Oui | Non | Seulement au pluriel | Seulement au singulier
M | Comment s'écrit le mot qui désigne l'action de résoudre un problème ? | Une résolution | Une résolution avec deux s | Une résollution | Une resolution
M | Comment s'écrit le verbe qui signifie « faire des efforts » ? | S'efforcer | S'éfforcer | S'eforcer | S'effforcer
M | Comment s'écrit le mot qui désigne une personne qui accueille ? | Un hôte | Un hote | Un hôtte | Un ôte
M | Quel accent porte le « o » du mot « hôpital » ? | Un accent circonflexe | Un accent aigu | Un accent grave | Un tréma
M | Quel mot de la même famille qu'« hôpital » perd le circonflexe ? | Hospitalier | Hôspitalier | Hopîtalier | Hospîtalier
M | Comment s'écrit le mot qui désigne une longue phrase inutile ? | Un verbiage | Un verbbiage | Un verbillage | Un verbiaje
D | Comment s'écrit le mot qui désigne le fait de dire deux fois la même chose ? | Une redondance | Une redondence | Une rédondance | Une redonndance
D | Comment s'écrit l'adjectif qui signifie « qui se ressemble » ? | Similaire | Similère | Similaire avec deux l | Simmilaire
D | Comment s'écrit le mot qui désigne une somme d'argent versée d'avance ? | Un acompte | Un accompte | Un acomte | Un âcompte
D | Comment s'écrit le mot qui désigne le fait de payer en plusieurs fois ? | Un échelonnement | Un échellonement | Un échelonement | Un échelonnnement
D | Comment s'écrit le mot qui désigne une décision de justice ? | Un jugement | Un jugemment | Un jujement | Un jugemant
D | Comment s'écrit l'adjectif formé sur « science » ? | Scientifique | Sciantifique | Scienttifique | Scientiffique
D | Comment s'écrit le mot qui désigne la liberté de croire ou non ? | La laïcité | La laicité | La laïçité | La laïsité
M | Comment s'écrit le mot qui désigne l'accord entre plusieurs personnes ? | Un consensus | Un concensus | Un consenssus | Un consansus
D | Comment s'écrit le mot qui désigne une preuve d'un fait ? | Un témoignage | Un temoignage | Un témoingnage | Un témoinage
D | Comment s'écrit le mot qui désigne un lieu de mémoire des morts ? | Un cimetière | Un cimetierre | Un cimétière | Un cimmetière
D | Comment s'écrit le verbe qui signifie « mettre en doute » ? | Contester | Conttester | Contesster | Comtester
M | Comment s'écrit l'adjectif qui signifie « qu'on ne peut éviter » ? | Inévitable | Innévitable | Inévittable | Inévitabble
M | Comment s'écrit l'adjectif qui signifie « qu'on ne peut croire » ? | Incroyable | Increyable | Incroiable | Inncroyable
D | Comment s'écrit l'adjectif qui signifie « qui ne peut être réparé » ? | Irréparable | Iréparable | Inréparable | Irrépparable
M | Comment s'écrit l'adjectif qui signifie « qui ne change pas » ? | Immuable | Imuable | Inmuable | Immmuable
D | Comment s'écrit le nom qui désigne l'absence de règles ? | L'anarchie | L'anarchie avec deux n | L'annarchie | L'anarquie


# --- Compléments : les quarante dernières ---

F | Comment appelle-t-on le mot qui exprime une action ou un état ? | Le verbe | Le nom | L'adjectif | L'adverbe
F | Comment appelle-t-on la forme du verbe qui donne son nom au groupe ? | L'infinitif | Le participe | L'impératif | Le gérondif
F | Combien de groupes de verbes compte le français ? | Trois | Deux | Quatre | Cinq
F | Comment appelle-t-on les verbes du troisième groupe qui changent de radical ? | Des verbes irréguliers | Des verbes réguliers | Des auxiliaires | Des semi-auxiliaires
F | Comment appelle-t-on le mot qui accompagne un nom pour le préciser ? | Un déterminant | Un adverbe | Une conjonction | Une préposition
F | Comment appelle-t-on la marque du pluriel la plus fréquente ? | Le s | Le x | Le e | Le z
F | Comment appelle-t-on la marque du féminin la plus fréquente ? | Le e | Le s | Le x | Le z
F | Comment appelle-t-on le mot invariable qui relie deux mots ? | Une préposition | Un adjectif | Un nom | Un verbe
F | Comment appelle-t-on un texte destiné à être lu à voix haute ? | Un texte oralisé | Un texte muet | Un texte illustré | Un texte codé
F | Comment appelle-t-on le fait de lire en respectant la ponctuation ? | Une lecture expressive | Une lecture rapide | Une lecture silencieuse | Une lecture sélective
M | Comment appelle-t-on le sens qu'un mot prend dans une phrase précise ? | Son sens contextuel | Son sens propre | Son étymologie | Sa nature
M | Comment appelle-t-on l'ensemble des sens possibles d'un mot ? | Sa polysémie | Son étymologie | Sa nature | Sa fonction
D | Comment appelle-t-on un mot dont le sens s'est affaibli avec le temps ? | Un mot affaibli | Un néologisme | Un archaïsme | Un emprunt
M | Comment appelle-t-on le passage d'un mot d'une langue à une autre ? | Un emprunt | Une traduction | Une translittération | Une dérivation
M | Comment appelle-t-on la formation d'un mot par ajout d'un affixe ? | La dérivation | La composition | L'emprunt | L'abréviation
M | Comment appelle-t-on la formation d'un mot par réunion de deux mots ? | La composition | La dérivation | L'emprunt | La troncation
M | Comment appelle-t-on un mot formé des initiales d'autres mots ? | Un sigle | Un acronyme prononçable | Une abréviation | Un mot-valise
D | Comment appelle-t-on un mot formé en fondant deux mots ensemble ? | Un mot-valise | Un sigle | Une abréviation | Un acronyme
D | Comment appelle-t-on le raccourcissement d'un mot comme « ciné » ? | Une troncation | Une dérivation | Une composition | Une élision
D | Comment appelle-t-on l'inversion des syllabes d'un mot ? | Le verlan | L'argot | Le jargon | Le patois
M | Comment appelle-t-on la façon dont un son se prononce ? | La phonétique | L'orthographe | La syntaxe | La sémantique
M | Comment appelle-t-on le son que produit la rencontre de deux mots liés ? | Une liaison | Une élision | Une césure | Une diérèse
D | Comment appelle-t-on la prononciation séparée de deux voyelles dans un vers ? | Une diérèse | Une synérèse | Une élision | Une césure
M | Comment appelle-t-on la pause au milieu d'un alexandrin ? | La césure | La rime | L'enjambement | La strophe
M | Comment appelle-t-on un vers qui déborde sur le suivant ? | Un enjambement | Une césure | Une rime | Une strophe
D | Comment appelle-t-on une rime où deux sons se répondent ? | Une rime suffisante | Une rime pauvre | Une rime riche | Une rime orpheline
D | Comment appelle-t-on une rime où trois sons se répondent ? | Une rime riche | Une rime pauvre | Une rime suffisante | Une rime croisée
M | Comment appelle-t-on un poème sans rimes ni mètre régulier ? | Un poème en vers libres | Un sonnet | Une ballade | Un rondeau
M | Comment appelle-t-on un texte poétique écrit sans aller à la ligne ? | Un poème en prose | Un vers libre | Un sonnet | Une ode
M | Comment appelle-t-on un poème qui célèbre un être ou une chose ? | Une ode | Une élégie | Une satire | Une épopée
M | Comment appelle-t-on un poème qui exprime la tristesse ? | Une élégie | Une ode | Une satire | Une épopée
M | Comment appelle-t-on un long poème qui raconte des exploits ? | Une épopée | Une élégie | Une ode | Un sonnet
M | Comment appelle-t-on un poème qui se moque ? | Une satire | Une ode | Une élégie | Une épopée
F | Comment appelle-t-on la personne qui écrit des poèmes ? | Un poète | Un romancier | Un dramaturge | Un essayiste
M | Comment appelle-t-on la personne qui écrit des pièces de théâtre ? | Un dramaturge | Un poète | Un romancier | Un chroniqueur
F | Comment appelle-t-on la personne qui écrit des romans ? | Un romancier | Un poète | Un dramaturge | Un critique
M | Comment appelle-t-on celui qui met en scène une pièce ? | Un metteur en scène | Un dramaturge | Un comédien | Un régisseur
F | Comment appelle-t-on celui qui joue un rôle sur scène ? | Un comédien | Un dramaturge | Un metteur en scène | Un souffleur
D | Comment appelle-t-on l'ensemble du décor et des costumes d'une pièce ? | La scénographie | La dramaturgie | La distribution | La répétition
D | Comment appelle-t-on la liste des acteurs et de leurs rôles ? | La distribution | La scénographie | Le programme | La didascalie
