# Histoire — Quatrième — une question par ligne.
#
# niveau | énoncé ? | bonne réponse | leurre | leurre | leurre
# F facile · M moyen · D difficile
#
# Les propositions sont mêlées au tirage : l'ordre n'a aucune importance.
# Un leurre doit être faux mais crédible — un leurre absurde ne fait pas
# une question, il fait une question à trois propositions.
#
# Le programme d'histoire de quatrième, dans son ordre : le XVIIIe siècle et
# les révolutions, l'Europe et le monde au XIXe, puis la France de 1815 à 1914.
#
# C'est le premier thème qui n'était pas là au départ, et il n'a demandé aucune
# ligne de code : un fichier déposé dans ce dossier est un thème de plus. Il
# est ici gratuit comme les six autres — le jour où un thème se vendra, c'est
# son choix qui sera réservé à l'acheteur, pas sa présence sur l'appareil.
#
# Deux cents questions. Mesuré : joué seul, un thème de deux cents tient deux
# soirées avant que les questions ne commencent à revenir — la mesure est dans
# le README, et c'est elle qui a fixé le chiffre.
#
# Aucun énoncé ne double aucun autre fichier : un pack qui redit la banque de
# base est un pack qu'on a l'impression d'avoir déjà payé.

! id     | histoire-4e
! nom    | Histoire — 4e
! de     | d'Histoire — 4e
! detail | Le programme de quatrième : révolutions, industrie, colonies.
! icone  | graduationcap
! teinte | 0.45 0.44 0.78
! rang   | 10
! produit | com.oulhen.riskelo.pack.histoire4e


# --- Thème 1 · Bourgeoisies marchandes, négoces internationaux, traite ---

F | Quel commerce relie l'Europe, l'Afrique et l'Amérique au XVIIIe siècle ? | Le commerce triangulaire | La route de la soie | Le grand cabotage | Le commerce des épices
M | Quel corps de métier fermé contrôlait l'artisanat des villes d'Ancien Régime ? | Les corporations | Les syndicats | Les guildes marchandes | Les confréries


# --- Compléments : les Lumières et la société d'Ancien Régime ---

F | Quel ordre de la société d'Ancien Régime ne payait pas la taille ? | La noblesse | Le tiers état | Les paysans | Les artisans
M | Quel impôt du clergé prélevait une part des récoltes ? | La dîme | La gabelle | La taille | La corvée
M | Quel impôt pesait sur le sel sous l'Ancien Régime ? | La gabelle | La dîme | La taille | Le cens
D | Quel travail gratuit les paysans devaient-ils au seigneur ? | La corvée | La dîme | Le cens | Le champart
M | Comment appelait-on l'assemblée qui enregistrait les lois du roi ? | Le parlement | Les états généraux | Le conseil | La chambre
D | Quel philosophe genevois écrit « Émile », sur l'éducation ? | Rousseau | Voltaire | Diderot | Condorcet
D | Quel écrivain fait la satire de la société dans « Le Mariage de Figaro » ? | Beaumarchais | Molière | Marivaux | Racine
M | Quel savant français a fondé la chimie moderne au XVIIIe siècle ? | Lavoisier | Pasteur | Ampère | Lamarck
D | Quelle invention des frères Montgolfier s'élève pour la première fois en 1783 ? | Le ballon à air chaud | Le parachute | Le planeur | La locomotive
M | Quelle œuvre le roi fait-il interdire à plusieurs reprises au XVIIIe siècle ? | L'Encyclopédie | Le dictionnaire de l'Académie | Les Fables | Les Provinciales


# --- Compléments : la Révolution ---

F | Quel drapeau naît de la Révolution française ? | Le tricolore | Le drapeau blanc | Le drapeau rouge | La bannière fleurdelisée
M | Quelles trois couleurs composent la cocarde révolutionnaire ? | Bleu, blanc, rouge | Bleu, blanc, vert | Rouge, or, noir | Blanc, or, bleu
M | Quelle devise la République française retient-elle finalement ? | Liberté, Égalité, Fraternité | Ordre et Progrès | Un pour tous | Dieu et mon droit
M | Comment appelait-on les partisans les plus modérés de la Convention ? | Les Girondins | Les Montagnards | Les Sans-culottes | Les Enragés
M | Comment appelait-on les députés les plus radicaux de la Convention ? | Les Montagnards | Les Girondins | Les Feuillants | Les Constituants
D | Quel journaliste révolutionnaire est assassiné dans son bain en 1793 ? | Marat | Danton | Desmoulins | Hébert
D | Qui a tué Marat ? | Charlotte Corday | Olympe de Gouges | Théroigne de Méricourt | Manon Roland
M | Quelle femme publie en 1791 une déclaration des droits de la femme ? | Olympe de Gouges | Madame Roland | Charlotte Corday | Louise Michel
D | Quel calendrier la Convention met-elle en place en 1793 ? | Le calendrier républicain | Le calendrier grégorien | Le calendrier julien | Le calendrier civil
D | Comment s'appelait le premier mois de l'automne républicain ? | Vendémiaire | Germinal | Thermidor | Brumaire
M | Comment appelait-on les Parisiens du peuple engagés dans la Révolution ? | Les sans-culottes | Les émigrés | Les fédérés | Les jacobins
M | Comment appelait-on les nobles qui avaient fui la France ? | Les émigrés | Les fédérés | Les réfractaires | Les proscrits
D | Comment appelait-on les prêtres qui refusaient de prêter serment ? | Les réfractaires | Les jureurs | Les constitutionnels | Les émigrés
M | Quelle machine devient le symbole de la Terreur ? | La guillotine | Le pilori | La roue | Le gibet
D | Quelle armée révolutionnaire remporte la victoire de Fleurus en 1794 ? | L'armée de Sambre-et-Meuse | L'armée d'Italie | L'armée du Rhin | L'armée d'Égypte
M | En quelle année Bonaparte mène-t-il la campagne d'Égypte ? | 1798 | 1805 | 1812 | 1789
D | Quelle pierre découverte en Égypte permit de déchiffrer les hiéroglyphes ? | La pierre de Rosette | La stèle de Mérneptah | L'obélisque de Louxor | Le disque de Phaïstos
D | En quelle année les hiéroglyphes égyptiens ont-ils été déchiffrés ? | 1822 | 1799 | 1850 | 1789


# --- Compléments : l'industrie et la société du XIXe siècle ---

F | Dans quelles usines les enfants travaillaient-ils le plus au XIXe siècle ? | Le textile et les mines | Les banques | Les bureaux | Les écoles
M | Comment appelle-t-on l'ouvrier qui possède un métier reconnu ? | Un ouvrier qualifié | Un manœuvre | Un journalier | Un apprenti
M | Combien d'heures durait souvent la journée de travail vers 1850 ? | Douze à quatorze heures | Six heures | Huit heures | Dix-huit heures
D | Quelle révolte des ouvriers de la soie éclate à Lyon en 1831 ? | La révolte des canuts | La Commune | Les Trois Glorieuses | La jacquerie
M | Quel écrivain a décrit la misère ouvrière dans « Germinal » ? | Émile Zola | Victor Hugo | Balzac | Flaubert
M | Quel roman de Victor Hugo décrit la misère du Paris du XIXe siècle ? | Les Misérables | Le Père Goriot | Madame Bovary | Nana
D | Quel courant socialiste du XIXe siècle imagine des communautés modèles ? | Le socialisme utopique | Le marxisme | L'anarchisme | Le mutualisme
M | Quel moyen d'éclairage se répand dans les villes au XIXe siècle ? | Le gaz | La bougie | L'huile de baleine | Le néon
M | Quelle invention permet d'envoyer un message à distance dès 1840 ? | Le télégraphe | Le téléphone | La radio | Le télex
D | Quel Français a inventé un procédé photographique en 1839 ? | Daguerre | Niepce | Nadar | Lumière
M | Qui a mis au point le vaccin contre la rage en 1885 ? | Louis Pasteur | Claude Bernard | Robert Koch | Alexander Fleming
D | Quel grand magasin parisien ouvre en 1852 et invente le commerce moderne ? | Le Bon Marché | Les Galeries Lafayette | Le Printemps | La Samaritaine
M | Quel matériau nouveau permet de bâtir la tour Eiffel ? | Le fer | Le béton armé | L'aluminium | Le verre trempé
D | Quel réseau de chemin de fer l'État français planifie-t-il en 1842 ? | Un réseau en étoile depuis Paris | Un réseau côtier | Un réseau frontalier | Un réseau minier


# --- Compléments : les colonies et la République ---

M | Quel pays d'Afrique du Nord devient protectorat français en 1881 ? | La Tunisie | L'Égypte | La Libye | Le Soudan
M | En quelle année le Maroc devient-il protectorat français ? | 1912 | 1830 | 1881 | 1895
D | Quelle grande île de l'océan Indien la France conquiert-elle en 1895 ? | Madagascar | Ceylan | Zanzibar | Les Seychelles
M | Quelle guerre coloniale britannique oppose Londres aux colons d'Afrique du Sud ? | La guerre des Boers | La guerre des Zoulous | La guerre du Rif | La guerre de Crimée
D | Quelle exposition de 1931 célèbre à Paris l'empire colonial ? | L'Exposition coloniale | L'Exposition universelle | Le Salon des arts | La Foire de Paris
M | Quel homme politique républicain a donné son nom aux lois scolaires ? | Jules Ferry | Jules Grévy | Léon Gambetta | Jules Simon
D | Quelle loi de 1884 rend les communes libres d'élire leur maire ? | La loi municipale | La loi Ferry | La loi Waldeck | La loi Naquet
M | Quelle exposition de 1900 attire cinquante millions de visiteurs à Paris ? | L'Exposition universelle | L'Exposition coloniale | Le Salon d'automne | La Foire du Trône
D | Quel monument parisien a été bâti pour l'Exposition de 1900 ? | Le Grand Palais | La tour Eiffel | Le Sacré-Cœur | L'Opéra Garnier
M | Quel métro urbain ouvre à Paris en 1900 ? | Le métropolitain | Le RER | Le tramway | Le funiculaire
D | Quel journaliste antidreyfusard dirigeait le journal La Libre Parole ? | Édouard Drumont | Émile Zola | Georges Clemenceau | Maurice Barrès
M | Quel camp défendait l'innocence du capitaine Dreyfus ? | Les dreyfusards | Les antidreyfusards | Les boulangistes | Les ligueurs
D | Quel général menace la République d'un coup d'État vers 1889 ? | Le général Boulanger | Le général Mac-Mahon | Le général Gallieni | Le général Cavaignac
D | Quel scandale financier ébranle la République en 1892 ? | Le scandale de Panama | L'affaire des fiches | Le scandale de Suez | L'affaire Stavisky


# --- Compléments : les femmes au XIXe siècle ---

M | Quel métier ouvrier employait surtout des femmes au XIXe siècle ? | La couture | La métallurgie | La mine de fond | La marine
D | Quelle romancière du XIXe siècle signait d'un nom d'homme ? | George Sand | Colette | Madame de Staël | Louise Michel
M | Quelle institutrice et militante participe à la Commune de Paris ? | Louise Michel | Hubertine Auclert | Flora Tristan | Marie Curie
D | Quelle militante ouvrière publie « Union ouvrière » en 1843 ? | Flora Tristan | Louise Michel | George Sand | Olympe de Gouges
M | Quelle femme obtient deux prix Nobel scientifiques au début du XXe siècle ? | Marie Curie | Irène Joliot-Curie | Sophie Germain | Émilie du Châtelet
D | Quelle loi de 1907 permet à la femme mariée de disposer de son salaire ? | La loi de 1907 sur le salaire | La loi Camille Sée | La loi Naquet | La loi Roussel
M | Quel métier des postes s'ouvre aux femmes à la fin du XIXe siècle ? | Téléphoniste | Facteur rural | Receveur | Ambulant
D | Quelle école normale supérieure féminine ouvre à Sèvres en 1881 ? | L'École de Sèvres | L'École de Fontenay | L'École d'Ulm | L'École de Saint-Cloud

F | Quel roi de France a été renversé par la Révolution de 1789 ? | Louis XVI | Louis XV | Charles X | Louis-Philippe
F | Dans quelle ville se trouvait la prison de la Bastille ? | Paris | Versailles | Lyon | Rouen
F | Quel empereur a dominé l'Europe au début du XIXe siècle ? | Napoléon Ier | Charles Quint | Guillaume Ier | François-Joseph
F | Quelle machine a fait entrer l'Europe dans l'ère industrielle ? | La machine à vapeur | L'imprimerie | Le moulin à eau | La boussole
F | Quel continent les Européens se sont-ils partagé à la fin du XIXe siècle ? | L'Afrique | L'Australie | L'Amérique du Nord | L'Antarctique
F | Comment appelle-t-on un pays dominé et administré par un autre ? | Une colonie | Un protectorat libre | Un dominion | Une province
F | Qui pouvait voter en France sous la Restauration ? | Les hommes les plus imposés | Tous les hommes | Tout le monde | Les nobles seuls
F | Quelle école la Troisième République a-t-elle rendue obligatoire ? | L'école primaire | L'université | Le lycée | L'école maternelle
F | Quel métal a permis les grandes constructions du XIXe siècle ? | Le fer | Le bronze | L'étain | Le plomb
