# SVT — Troisième — une question par ligne.
#
# niveau | énoncé ? | bonne réponse | leurre | leurre | leurre
# F facile · M moyen · D difficile
#
# Les propositions sont mêlées au tirage : l'ordre n'a aucune importance.
# Un leurre doit être faux mais crédible — un leurre absurde ne fait pas
# une question, il fait une question à trois propositions.
#
# Le programme de troisième : la génétique, l'évolution, les défenses de
# l'organisme, le système nerveux et la responsabilité humaine.
#
# Aucun énoncé ne double aucun autre fichier de questions.

! id      | svt-3e
! nom     | SVT — 3e
! de      | de SVT — 3e
! detail  | Le programme de troisième : génétique, immunité, cerveau.
! icone   | microbe
! teinte  | 0.36 0.48 0.72
! rang   | 22
! produit | com.oulhen.riskelo.pack.svt3e


# --- Les chromosomes et les gènes ---

F | Où se trouve l'information génétique dans une cellule ? | Dans le noyau | Dans la membrane | Dans le cytoplasme seul | Dans la paroi
M | Comment appelle-t-on le nom scientifique de l'espèce humaine ? | Homo sapiens | Homo erectus | Homo habilis | Australopithecus
M | Sur quel continent l'espèce humaine est-elle apparue ? | En Afrique | En Asie | En Europe | En Océanie


# --- Les défenses de l'organisme ---

F | Comment appelle-t-on la première barrière qui protège le corps ? | La peau | Le sang | Le foie | Le cœur
M | Comment appelle-t-on l'entrée d'un micro-organisme dans le corps ? | La contamination | L'infection | L'immunisation | La guérison
M | Comment appelle-t-on la multiplication du micro-organisme dans le corps ? | L'infection | La contamination | La vaccination | La rémission
F | Quelles cellules du sang défendent l'organisme contre les microbes ? | Les globules blancs | Les globules rouges | Les plaquettes | Le plasma
M | Comment appelle-t-on le globule blanc qui avale les microbes ? | Le phagocyte | Le lymphocyte | Le plasmocyte | L'érythrocyte
M | Comment appelle-t-on l'ingestion d'un microbe par un globule blanc ? | La phagocytose | La mitose | L'osmose | La fermentation
D | Quel globule blanc fabrique des anticorps ? | Le lymphocyte B | Le phagocyte | Le lymphocyte T | Le monocyte
M | Comment appelle-t-on la molécule qui neutralise un microbe précis ? | Un anticorps | Un antigène | Une enzyme | Une hormone
M | Comment appelle-t-on l'élément étranger reconnu par le système immunitaire ? | Un antigène | Un anticorps | Un allèle | Un gène
D | Un anticorps agit-il contre plusieurs microbes différents ? | Non, il est spécifique | Oui, contre tous | Oui, contre deux | Cela varie chaque jour
D | Quel lymphocyte détruit les cellules infectées ? | Le lymphocyte T | Le lymphocyte B | Le phagocyte | Le plasmocyte
M | Comment appelle-t-on la mémoire du système immunitaire ? | La mémoire immunitaire | L'immunité innée | La phagocytose | L'inflammation
F | Sur quoi repose le principe de la vaccination ? | La mémoire immunitaire | La phagocytose seule | Un antibiotique | Une carence
D | Quel savant français a vacciné pour la première fois contre la rage ? | Louis Pasteur | Edward Jenner | Robert Koch | Alexander Fleming
M | Quel médecin anglais a inventé la vaccination contre la variole ? | Edward Jenner | Louis Pasteur | Joseph Lister | Robert Koch
M | Quel savant a découvert la pénicilline en 1928 ? | Alexander Fleming | Louis Pasteur | Robert Koch | Paul Ehrlich
F | Contre quoi un antibiotique est-il efficace ? | Les bactéries | Les virus | Les champignons seuls | Les allergies
M | Pourquoi ne faut-il pas prendre d'antibiotiques sans raison ? | Les bactéries deviennent résistantes | Ils coûtent cher | Ils sont amers | Ils font grossir
D | Comment appelle-t-on une bactérie que les antibiotiques ne tuent plus ? | Une bactérie résistante | Une bactérie mutante inoffensive | Un virus | Un champignon
M | Quel virus attaque les lymphocytes T et provoque le sida ? | Le VIH | Le virus de la grippe | Le virus de l'hépatite A | Le coronavirus


# --- Le système nerveux et les hormones ---

F | Quel organe traite les informations et commande le corps ? | Le cerveau | Le cœur | Le foie | L'estomac
M | Comment appelle-t-on l'ensemble du cerveau et de la moelle épinière ? | Le système nerveux central | Le système nerveux périphérique | Le système endocrinien | Le système digestif
F | Comment appelle-t-on les cellules du système nerveux ? | Les neurones | Les globules | Les fibres musculaires | Les hépatocytes
D | Comment appelle-t-on le prolongement long d'un neurone ? | L'axone | La dendrite | Le noyau | La synapse
M | Comment appelle-t-on la zone de contact entre deux neurones ? | La synapse | L'axone | La dendrite | Le nerf
D | Comment appelle-t-on la molécule qui passe d'un neurone à l'autre ? | Un neurotransmetteur | Une hormone | Une enzyme | Un anticorps
M | Comment appelle-t-on un message qui part d'un organe des sens ? | Un message nerveux sensitif | Un message moteur | Une hormone | Un réflexe moteur
M | Comment appelle-t-on un message qui va vers un muscle ? | Un message nerveux moteur | Un message sensitif | Une hormone | Un anticorps
F | Comment appelle-t-on une réaction involontaire et très rapide ? | Un réflexe | Un mouvement volontaire | Une habitude | Un apprentissage
D | Par où passe le message d'un réflexe médullaire ? | Par la moelle épinière | Par le cerveau | Par le cervelet | Par le cœur
M | Comment appelle-t-on une substance transportée par le sang qui agit à distance ? | Une hormone | Une enzyme | Un anticorps | Un nutriment
M | Quelle glande commande beaucoup d'autres glandes du corps ? | L'hypophyse | La thyroïde | Le pancréas | La surrénale
D | Quelle glande règle la vitesse du métabolisme ? | La thyroïde | L'hypophyse | Le pancréas | L'ovaire
F | Quelle hormone fait baisser le taux de sucre dans le sang ? | L'insuline | Le glucagon | L'adrénaline | La testostérone
D | Quelle hormone fait au contraire monter le taux de sucre ? | Le glucagon | L'insuline | La thyroxine | L'ocytocine
M | Quel organe fabrique l'insuline ? | Le pancréas | Le foie | Le rein | L'estomac
F | Comment appelle-t-on la maladie où l'insuline manque ou agit mal ? | Le diabète | L'anémie | L'asthme | L'allergie
M | Quelle hormone masculine est produite par les testicules ? | La testostérone | Les œstrogènes | L'insuline | L'adrénaline
M | Quelles hormones féminines sont produites par les ovaires ? | Les œstrogènes | La testostérone | Le glucagon | La thyroxine
M | Quelle hormone prépare le corps à l'effort ou au danger ? | L'adrénaline | L'insuline | La mélatonine | L'ocytocine
M | Quelle hormone favorise l'endormissement ? | La mélatonine | L'adrénaline | L'insuline | La testostérone
F | Quel effet la lumière des écrans a-t-elle sur le sommeil ? | Elle retarde l'endormissement | Elle l'accélère | Elle n'a aucun effet | Elle allonge le sommeil
M | Comment appelle-t-on l'ensemble des glandes qui produisent des hormones ? | Le système endocrinien | Le système nerveux | Le système digestif | Le système lymphatique
D | Quelle différence sépare une hormone d'un message nerveux ? | L'hormone est plus lente et diffuse | L'hormone est plus rapide | Elles sont identiques | L'hormone passe par les nerfs


# --- Responsabilité humaine et santé ---

F | Comment appelle-t-on l'ensemble des règles d'hygiène qui évitent les maladies ? | La prévention | Le traitement | La guérison | Le diagnostic
F | Quel comportement augmente le plus le risque de cancer du poumon ? | Le tabagisme | La marche | La lecture | Le sommeil
F | Quelle substance du tabac crée la dépendance ? | La nicotine | Le goudron | Le monoxyde de carbone | L'ammoniac
D | Quel gaz du tabac prend la place de l'oxygène dans le sang ? | Le monoxyde de carbone | L'azote | L'hélium | L'ozone
F | Quel effet l'alcool a-t-il sur les réflexes ? | Il les ralentit | Il les accélère | Il n'a aucun effet | Il les affine
D | Comment appelle-t-on la quantité d'alcool au-delà de laquelle on ne peut plus conduire ? | Le taux légal d'alcoolémie | La dose létale | Le seuil de tolérance | La limite hépatique
M | Comment appelle-t-on le besoin irrépressible de consommer une substance ? | La dépendance | L'accoutumance simple | Le plaisir | L'habitude
M | Quel organe filtre et transforme la plupart des substances toxiques ? | Le foie | Le rein | La rate | Le poumon
M | Comment appelle-t-on le dépistage régulier d'une maladie avant les symptômes ? | Le dépistage | Le diagnostic | Le traitement | La rééducation
D | Comment appelle-t-on la transplantation d'un organe d'une personne à une autre ? | Une greffe | Une transfusion | Une perfusion | Une prothèse
D | Pourquoi le corps peut-il rejeter un organe greffé ? | Le système immunitaire le juge étranger | Il est trop gros | Il est trop froid | Il manque de sang
D | Comment appelle-t-on le don de sang d'une personne à une autre ? | Une transfusion | Une greffe | Une perfusion | Une dialyse
D | Comment appelle-t-on l'appareil qui remplace la fonction du rein ? | Le rein artificiel | Le pacemaker | Le respirateur | La prothèse
M | Comment appelle-t-on l'appareil qui règle les battements du cœur ? | Un stimulateur cardiaque | Un respirateur | Un dialyseur | Un scanner
F | Quelle activité protège le mieux le cœur sur le long terme ? | L'activité physique régulière | Le repos permanent | Le grignotage | Les écrans
M | Comment appelle-t-on la pollution de l'air par les particules fines ? | Une pollution atmosphérique | Une pollution sonore | Une pollution lumineuse | Une pollution des sols
D | Quel organe les particules fines abîment-elles surtout ? | Les poumons | Le foie | Les reins | La peau
M | Comment nomme-t-on un milieu et tous les êtres qui y vivent, pris ensemble ? | Un écosystème | Une population | Une espèce | Une communauté seule
M | Comment appelle-t-on l'effet des activités humaines sur la planète ? | L'empreinte écologique | La biodiversité | L'évolution | L'adaptation
D | Comment appelle-t-on l'agriculture qui préserve les sols et la biodiversité ? | L'agroécologie | L'agriculture intensive | La monoculture | Le hors-sol


# --- Compléments : les repères du vivant ---

F | Comment appelle-t-on l'unité de base de tout être vivant ? | La cellule | L'atome | L'organe | Le tissu
F | Quel instrument permet d'observer une cellule ? | Le microscope | La loupe | Le télescope | Le baromètre
F | Comment appelle-t-on un ensemble de cellules semblables ? | Un tissu | Un organe | Un appareil | Un système
F | Comment appelle-t-on un ensemble de tissus qui remplit une fonction ? | Un organe | Un tissu | Une cellule | Une molécule
F | Comment appelle-t-on plusieurs organes qui travaillent ensemble ? | Un appareil | Un tissu | Une cellule | Un noyau
F | Comment nomme-t-on la reproduction qui exige un mâle et une femelle ? | La reproduction sexuée | La reproduction asexuée | Le bouturage | Le clonage
F | Comment appelle-t-on la reproduction à partir d'un seul individu ? | La reproduction asexuée | La reproduction sexuée | La fécondation | L'hybridation
F | Comment appelle-t-on la ressemblance entre parents et enfants ? | L'hérédité | L'évolution | L'adaptation | La mutation
F | Comment appelle-t-on l'ensemble des gènes d'un individu ? | Son génome | Son squelette | Son phénotype seul | Son milieu
F | Comment appelle-t-on l'ensemble des caractères visibles d'un individu ? | Son phénotype | Son génotype | Son génome | Son allèle
M | Comment appelle-t-on l'ensemble des allèles portés par un individu ? | Son génotype | Son phénotype | Son écosystème | Sa niche
M | Le milieu de vie influence-t-il le phénotype ? | Oui | Non | Seulement chez les plantes | Seulement chez les animaux
M | Un caractère acquis au cours de la vie se transmet-il aux enfants ? | Non | Oui | Parfois | Toujours
M | Comment appelle-t-on un caractère présent dès la naissance ? | Un caractère héréditaire | Un caractère acquis | Une habitude | Un réflexe conditionné
M | Comment appelle-t-on un caractère développé par l'entraînement ? | Un caractère acquis | Un caractère héréditaire | Une mutation | Un allèle
M | Quelle technique permet de connaître les chromosomes d'une personne ? | Le caryotype | La radiographie | L'échographie | L'électrocardiogramme
D | Comment appelle-t-on l'image classée des chromosomes d'une cellule ? | Un caryotype | Un électrocardiogramme | Un scanner | Une échographie
D | Comment appelle-t-on la technique qui multiplie un fragment d'ADN ? | L'amplification génique | La dialyse | La centrifugation | La chromatographie
D | À quoi sert une empreinte génétique en justice ? | À identifier une personne | À dater un crime | À mesurer une distance | À peser un objet
D | Comment appelle-t-on la modification volontaire du patrimoine génétique ? | Le génie génétique | La sélection naturelle | L'hybridation classique | La mutation spontanée
D | Comment appelle-t-on une bactérie modifiée pour produire un médicament ? | Une bactérie transgénique | Une bactérie résistante | Une bactérie mutante | Une bactérie sauvage
D | Quel médicament est produit par des bactéries modifiées depuis 1982 ? | L'insuline | L'aspirine | Le paracétamol | La vitamine C


# --- Compléments : les cinquante dernières ---

F | Comment appelle-t-on la maladie où des cellules se multiplient sans contrôle ? | Le cancer | L'anémie | L'allergie | La carence
M | Quel comportement réduit fortement le risque de plusieurs cancers ? | Ne pas fumer | Dormir moins | Manger salé | Rester assis
M | Comment appelle-t-on le traitement du cancer par des médicaments ? | La chimiothérapie | La radiographie | La kinésithérapie | La dialyse
M | Comment appelle-t-on le traitement du cancer par des rayons ? | La radiothérapie | La chimiothérapie | L'échographie | La dialyse
M | Comment appelle-t-on une tumeur qui ne se propage pas ? | Une tumeur bénigne | Une tumeur maligne | Une métastase | Un kyste malin
M | Comment appelle-t-on la propagation d'un cancer à distance ? | Une métastase | Une rémission | Une tumeur bénigne | Une inflammation
M | Comment appelle-t-on la disparition des signes d'une maladie ? | La rémission | La rechute | L'aggravation | La contamination
M | Quel rayonnement du soleil peut abîmer l'ADN de la peau ? | Les ultraviolets | Les infrarouges | Les ondes radio | Les micro-ondes
M | Comment se protéger des ultraviolets en été ? | Chapeau, crème et ombre | Rester au soleil de midi | Se baigner longtemps | Porter du noir
M | Comment appelle-t-on le pigment qui colore la peau et la protège ? | La mélanine | L'hémoglobine | La chlorophylle | La kératine
M | Comment appelle-t-on la couche de l'atmosphère qui filtre les ultraviolets ? | La couche d'ozone | La troposphère | La ionosphère | La mésosphère
D | Quel produit interdit depuis 1987 détruisait la couche d'ozone ? | Les CFC | Le méthane | Le dioxyde de carbone | L'azote
M | Comment appelle-t-on l'ensemble des micro-organismes utiles de notre intestin ? | Le microbiote | Le parasite | Le virus | Le champignon
M | Quel aliment fermenté apporte des bactéries utiles à l'intestin ? | Le yaourt | Le sucre | Le sel | L'huile
D | Comment appelle-t-on les fibres qui nourrissent le microbiote ? | Les prébiotiques | Les probiotiques | Les antibiotiques | Les antiseptiques
D | Comment appelle-t-on les bactéries vivantes apportées par l'alimentation ? | Les probiotiques | Les prébiotiques | Les antibiotiques | Les antigènes
M | Quel effet un excès de sucre a-t-il sur la santé à long terme ? | Il favorise le diabète | Il renforce les os | Il améliore la vue | Il n'a aucun effet
M | Quel effet un excès de sel a-t-il sur la santé ? | Il élève la tension artérielle | Il abaisse la tension | Il renforce les reins | Il n'a aucun effet
M | Comment appelle-t-on la pression du sang sur la paroi des artères ? | La tension artérielle | Le rythme cardiaque | Le débit | La coagulation
D | Comment appelle-t-on le dépôt de graisse dans une artère ? | Une plaque d'athérome | Un caillot | Une varice | Un anévrisme
M | Que peut provoquer un caillot qui bouche une artère du cœur ? | Un infarctus | Une entorse | Une allergie | Une carence
D | Que peut provoquer un caillot qui bouche une artère du cerveau ? | Un accident vasculaire cérébral | Un infarctus | Une crampe | Une fracture
M | Comment appelle-t-on la maladie où les os deviennent fragiles avec l'âge ? | L'ostéoporose | L'arthrose | L'anémie | Le rachitisme
F | Quel minéral est essentiel à la solidité des os ? | Le calcium | Le fer | Le sodium | Le potassium
M | Quelle vitamine aide le corps à fixer le calcium ? | La vitamine D | La vitamine C | La vitamine A | La vitamine K
M | Comment appelle-t-on l'usure du cartilage des articulations ? | L'arthrose | L'ostéoporose | L'entorse | La fracture
M | Comment appelle-t-on le manque de fer qui fatigue durablement ? | L'anémie | Le diabète | L'asthme | L'allergie
M | Comment appelle-t-on la maladie qui gêne la respiration par crises ? | L'asthme | L'anémie | Le diabète | L'arthrose
D | Quel facteur de l'air aggrave le plus l'asthme en ville ? | La pollution atmosphérique | Le froid sec | Le vent | Le bruit
F | Comment appelle-t-on une réaction exagérée du corps au pollen ? | Une allergie | Une infection | Une carence | Une intoxication
D | Comment appelle-t-on la substance qui déclenche une allergie ? | Un allergène | Un antigène neutre | Un anticorps | Une enzyme
M | Comment appelle-t-on le fait de manger de tout en quantité raisonnable ? | Une alimentation équilibrée | Un régime strict | Un jeûne | Un grignotage
M | Combien de temps d'activité physique par jour recommande-t-on à un adolescent ? | Une heure | Cinq minutes | Six heures | Aucune
M | Quel effet l'activité physique a-t-il sur le sommeil ? | Elle l'améliore | Elle l'empêche | Elle n'a aucun effet | Elle le raccourcit
M | Quel effet le stress prolongé a-t-il sur l'organisme ? | Il fatigue et affaiblit les défenses | Il renforce les muscles | Il améliore la mémoire | Il n'a aucun effet
D | Quelle hormone est libérée en cas de stress durable ? | Le cortisol | L'insuline | La mélatonine | La thyroxine
M | Comment appelle-t-on l'écoute prolongée de sons trop forts ? | Une exposition à risque | Une prévention | Une thérapie | Un dépistage
M | À partir de quel niveau sonore le bruit devient-il dangereux ? | Environ quatre-vingt-cinq décibels | Vingt décibels | Deux cents décibels | Cinq décibels
M | Comment appelle-t-on l'unité qui mesure l'intensité d'un son ? | Le décibel | Le hertz | Le watt | Le lumen
M | Comment appelle-t-on la perte d'audition due au bruit ? | Une surdité | Une cécité | Une anosmie | Une agueusie
M | Comment appelle-t-on la perte de l'odorat ? | L'anosmie | La surdité | La cécité | L'agueusie
F | Comment appelle-t-on la perte de la vue ? | La cécité | La surdité | L'anosmie | L'agueusie
M | Comment appelle-t-on le défaut de vision qui rend la vue floue de loin ? | La myopie | L'hypermétropie | La presbytie | L'astigmatisme
M | Comment appelle-t-on la difficulté à voir de près qui vient avec l'âge ? | La presbytie | La myopie | L'astigmatisme | Le daltonisme
M | Comment appelle-t-on le trouble de la perception des couleurs ? | Le daltonisme | La myopie | La presbytie | La cécité
M | Le daltonisme est-il une maladie héréditaire ? | Oui | Non | Seulement acquis | Seulement chez les femmes
F | Comment appelle-t-on le médecin qui soigne les yeux ? | L'ophtalmologue | Le cardiologue | Le dermatologue | Le pneumologue
M | Comment appelle-t-on le médecin qui soigne le cœur ? | Le cardiologue | L'ophtalmologue | Le neurologue | Le gastro-entérologue
M | Comment appelle-t-on le médecin qui soigne la peau ? | Le dermatologue | Le cardiologue | Le neurologue | Le rhumatologue
M | Comment appelle-t-on le médecin qui soigne le système nerveux ? | Le neurologue | Le cardiologue | Le dermatologue | L'ophtalmologue
M | Comment appelle-t-on l'examen qui montre l'intérieur du corps par rayons X ? | La radiographie | L'échographie | L'électrocardiogramme | La dialyse
M | Comment appelle-t-on l'examen qui utilise des ultrasons ? | L'échographie | La radiographie | Le scanner à rayons X | La dialyse

F | De quoi une cellule a-t-elle besoin pour vivre ? | De nutriments et de dioxygène | De lumière seule | De bruit | De froid
F | Comment appelle-t-on la peau qui entoure une cellule ? | La membrane | Le noyau | Le cytoplasme | La paroi
F | Comment appelle-t-on le liquide qui remplit une cellule ? | Le cytoplasme | Le noyau | La membrane | Le sang
F | Quelle cellule du corps est la plus grosse chez la femme ? | L'ovule | Le globule rouge | Le neurone | La cellule de peau
F | Quelle cellule du corps se déplace grâce à un flagelle ? | Le spermatozoïde | L'ovule | Le globule rouge | Le neurone
F | Comment appelle-t-on la maladie causée par un microbe ? | Une maladie infectieuse | Une maladie génétique | Une allergie | Une carence
F | Comment appelle-t-on le fait de se protéger d'une maladie avant de l'attraper ? | La prévention | Le traitement | La guérison | La rechute
F | Quel geste limite le mieux la transmission d'un virus respiratoire ? | Se laver les mains souvent | Boire chaud | Dormir plus | Marcher vite
F | Comment appelle-t-on la piqûre qui prépare le corps à se défendre ? | Le vaccin | L'antibiotique | L'antidouleur | La vitamine
F | Contre quoi un vaccin protège-t-il ? | Une maladie précise | Toutes les maladies | Les accidents | Les allergies
F | Comment appelle-t-on le carnet où sont notés les vaccins ? | Le carnet de santé | Le carnet de notes | Le livret de famille | L'ordonnance
F | Comment appelle-t-on le papier signé par le médecin pour un médicament ? | Une ordonnance | Un diagnostic | Un carnet | Un certificat de sport
F | Comment appelle-t-on l'identification d'une maladie par le médecin ? | Le diagnostic | Le traitement | La prévention | La guérison
