# Géographie — Quatrième — une question par ligne.
#
# niveau | énoncé ? | bonne réponse | leurre | leurre | leurre
# F facile · M moyen · D difficile
#
# Les propositions sont mêlées au tirage : l'ordre n'a aucune importance.
# Un leurre doit être faux mais crédible — un leurre absurde ne fait pas
# une question, il fait une question à trois propositions.
#
# Le programme de géographie de quatrième : l'urbanisation du monde, les
# mobilités humaines, et les espaces transformés par la mondialisation.
#
# Aucun énoncé ne double « geographie.txt » : un pack qui redit la banque de
# base est un pack qu'on a l'impression d'avoir déjà payé.

! id      | geographie-4e
! nom     | Géographie — 4e
! de      | de Géographie — 4e
! detail  | Le programme de quatrième : villes, migrations, mondialisation.
! icone   | globe.americas
! teinte  | 0.20 0.62 0.66
! rang   | 16
! produit | com.oulhen.riskelo.pack.geographie4e


# --- L'urbanisation du monde ---

F | Comment appelle-t-on la part de la population qui vit en ville ? | Le taux d'urbanisation | La densité | Le taux de natalité | L'exode rural
D | Quelle organisation de l'ONU s'occupe des réfugiés ? | Le HCR | L'OMS | L'UNESCO | Le PNUD
M | Comment appelle-t-on un pays que les migrants ne font que traverser ? | Un pays de transit | Un pays d'accueil | Un pays de départ | Un pays fermé
M | Quel continent reçoit le plus de touristes internationaux ? | L'Europe | L'Asie | L'Amérique | L'Afrique
D | Quelle ville d'Espagne souffre le plus du surtourisme ? | Barcelone | Bilbao | Séville | Valladolid
M | Quel pays d'Asie reçoit le plus de touristes ? | La Chine | Le Népal | Le Laos | La Mongolie
D | Comment appelle-t-on le tourisme qui abîme les lieux qu'il visite ? | Le surtourisme | L'écotourisme | Le tourisme durable | Le tourisme d'affaires
M | Quel type de tourisme se pratique dans les villes d'art ? | Le tourisme culturel | Le tourisme balnéaire | Le tourisme blanc | L'agrotourisme
D | Quelle île de l'océan Indien vit en grande partie du tourisme ? | Maurice | La Corse | Chypre | La Sicile
M | Comment appelle-t-on l'argent que le tourisme rapporte à un pays ? | Des recettes touristiques | Des remises | Des royalties | Des subventions


# --- Compléments : mers, océans et échanges ---

F | Quelle part de la surface de la Terre les océans couvrent-ils ? | Environ 71 % | Environ 30 % | Environ 50 % | Environ 90 %
F | Quel est le plus grand océan du monde ? | Le Pacifique | L'Atlantique | L'océan Indien | L'Arctique
M | Quel détroit turc relie la mer Noire à la Méditerranée ? | Le Bosphore | Gibraltar | Ormuz | Malacca
M | Quel détroit d'Asie du Sud-Est voit passer un tiers du commerce maritime ? | Le détroit de Malacca | Le détroit de Béring | Le détroit de Torres | Le détroit de Cook
D | Quel détroit du Golfe est un passage obligé du pétrole ? | Le détroit d'Ormuz | Le détroit de Bab el-Mandeb | Le canal de Corinthe | Le détroit du Danemark
M | Comment appelle-t-on un navire spécialisé dans le transport de conteneurs ? | Un porte-conteneurs | Un vraquier | Un pétrolier | Un chalutier
M | Comment appelle-t-on un navire qui transporte du pétrole ? | Un pétrolier | Un vraquier | Un cargo mixte | Un méthanier
D | Comment appelle-t-on un navire qui transporte du gaz liquéfié ? | Un méthanier | Un pétrolier | Un vraquier | Un porte-conteneurs
M | Quel pays possède la plus grande flotte de commerce du monde ? | La Chine | La France | Le Brésil | L'Égypte
D | Quelle région d'Asie concentre les plus grands ports du monde ? | L'Asie orientale | L'Asie centrale | Le Moyen-Orient | L'Asie du Sud
M | Quelle ressource marine nourrit des centaines de millions de personnes ? | Le poisson | Le sel | Le corail | Le sable
D | Comment appelle-t-on l'élevage de poissons en mer ? | L'aquaculture | La pisciculture d'eau douce | Le chalutage | La conchyliculture
M | Quel problème menace la ressource en poissons ? | La surpêche | La sous-pêche | L'excès de plancton | Le gel des mers
D | Quel continent de déchets flotte dans le Pacifique nord ? | Un vortex de plastique | Une île de sable | Un banc de sel | Une nappe de pétrole
M | Quelle ressource sous-marine attire les convoitises en mer de Chine ? | Le pétrole et le gaz | Le charbon | Le fer | Le sel
D | Quel câble sous-marin fait circuler l'essentiel d'Internet ? | Les câbles à fibre optique | Les câbles télégraphiques | Les câbles électriques | Les câbles coaxiaux
M | Quel pourcentage des données mondiales passe par les câbles sous-marins ? | Plus de 95 % | Environ 20 % | Environ 50 % | Moins de 10 %
D | Comment appelle-t-on la fonte des glaces qui ouvre de nouvelles routes maritimes ? | Le recul de la banquise | La subsidence | L'eustatisme | La transgression
D | Quelle route maritime s'ouvre au nord de la Russie ? | La route maritime du Nord | Le passage du Nord-Ouest | La route des Indes | La route du Cap


# --- Compléments : les États-Unis ---

F | Quelle est la capitale des États-Unis ? | Washington | New York | Los Angeles | Chicago
F | Combien d'États comptent les États-Unis ? | Cinquante | Quarante-huit | Cinquante-deux | Soixante
M | Quel océan borde la façade ouest des États-Unis ? | Le Pacifique | L'Atlantique | L'océan Indien | La mer des Caraïbes
M | Quel fleuve traverse les États-Unis du nord au sud ? | Le Mississippi | Le Colorado | Le Rio Grande | L'Hudson
D | Quelle chaîne de montagnes traverse l'ouest américain ? | Les Rocheuses | Les Appalaches | La Sierra Madre | Les Andes
M | Quelle chaîne de montagnes borde l'est des États-Unis ? | Les Appalaches | Les Rocheuses | Les Cascades | La Sierra Nevada
M | Quelle ville américaine est la capitale du cinéma ? | Los Angeles | Chicago | Boston | Denver
D | Quelle ville américaine abrite la première place financière du monde ? | New York | Chicago | San Francisco | Houston
M | Quelle grande ville industrielle américaine a décliné avec l'automobile ? | Détroit | Seattle | Miami | Phoenix
D | Quel État américain concentre l'industrie du pétrole ? | Le Texas | Le Vermont | l'Oregon | Le Maine
M | Quelle région agricole américaine produit surtout du maïs ? | La Corn Belt | La Sun Belt | La Rust Belt | La Cotton Belt
D | Quelle région du sud des États-Unis produisait le coton ? | La Cotton Belt | La Corn Belt | La Wheat Belt | La Dairy Belt
M | Quel pays fournit le plus d'immigrés aux États-Unis ? | Le Mexique | Le Canada | La France | Le Japon
D | Comment appelle-t-on les Américains d'origine latino-américaine ? | Les Hispaniques | Les Créoles | Les Métis | Les Caribéens
M | Quelle frontière les États-Unis ont-ils fortifiée au sud ? | Celle avec le Mexique | Celle avec le Canada | Celle de l'Alaska | Celle de Porto Rico
D | Quel accord de libre-échange a remplacé l'ALENA en 2020 ? | L'ACEUM | Le Mercosur | L'ASEAN | Le CETA
M | Quelle entreprise américaine du numérique est née dans un garage californien ? | Apple | Nestlé | Siemens | Samsung
D | Quelle université de Californie a nourri la Silicon Valley ? | Stanford | Harvard | Yale | Princeton
M | Quel État américain est le plus peuplé ? | La Californie | Le Texas | La Floride | New York
D | Quel État américain est séparé du reste du pays par le Canada ? | L'Alaska | Hawaï | Le Maine | Le Montana
M | Quel archipel américain se trouve au milieu du Pacifique ? | Hawaï | Les Bahamas | Les Açores | Les Galápagos


# --- Compléments : l'Afrique ---

F | Quel est le plus vaste désert chaud du monde ? | Le Sahara | Le Kalahari | Le Namib | Le Gobi
F | Quel est le pays le plus peuplé d'Afrique ? | Le Nigeria | L'Égypte | L'Afrique du Sud | L'Éthiopie
M | Quel pays d'Afrique de l'Est est le plus peuplé après le Nigeria ? | L'Éthiopie | Le Kenya | La Tanzanie | L'Ouganda
M | Quel fleuve traverse l'Égypte du sud au nord ? | Le Nil | Le Congo | Le Niger | Le Sénégal
D | Quel barrage éthiopien inquiète l'Égypte pour son eau ? | Le barrage de la Renaissance | Le barrage d'Assouan | Le barrage de Kariba | Le barrage d'Akosombo
M | Quel lac d'Afrique de l'Est est le plus vaste ? | Le lac Victoria | Le lac Tchad | Le lac Tanganyika | Le lac Malawi
D | Quel lac africain a perdu la plus grande partie de sa surface ? | Le lac Tchad | Le lac Victoria | Le lac Turkana | Le lac Albert
M | Quelle forêt tropicale africaine est la deuxième du monde ? | La forêt du bassin du Congo | La forêt de Guinée | La forêt du Rift | La forêt du Kalahari
D | Quel phénomène gagne du terrain au sud du Sahara ? | La désertification | La déforestation seule | L'érosion glaciaire | La salinisation marine
M | Quelle grande muraille végétale est plantée en travers du Sahel ? | La Grande Muraille verte | La ceinture bleue | La barrière du Sahel | Le rideau vert
M | Quelle langue européenne est officielle dans de nombreux pays africains ? | Le français | Le suédois | Le grec | Le néerlandais
D | Quel pays d'Afrique australe est le plus industrialisé ? | L'Afrique du Sud | Le Botswana | La Namibie | Le Zimbabwe
M | Quel minerai précieux fait la richesse du Botswana ? | Le diamant | Le charbon | Le fer | Le sel
D | Quelle organisation économique réunit les pays d'Afrique de l'Ouest ? | La CEDEAO | L'Union africaine | Le COMESA | La SADC
M | Quelle est la population approximative du continent africain ? | Environ un milliard quatre cents millions | Environ cinq cents millions | Environ trois milliards | Environ huit cents millions
D | Quelle particularité démographique caractérise l'Afrique ? | Une population très jeune | Une population très âgée | Une population stable | Une population en recul
M | Quel moyen de paiement s'est répandu en Afrique par téléphone ? | Le paiement mobile | Le chèque | La carte de crédit | Le virement postal
D | Quel pays d'Afrique de l'Est est un pionnier du paiement par mobile ? | Le Kenya | Le Tchad | Le Niger | La Mauritanie
M | Quelle ville d'Éthiopie accueille le siège de l'Union africaine ? | Addis-Abeba | Nairobi | Kampala | Khartoum


# --- Compléments : repères du monde ---

F | Combien de continents compte-t-on habituellement ? | Six | Quatre | Huit | Dix
F | Quel est le pays le plus peuplé du monde ? | L'Inde | La Chine | Les États-Unis | Le Brésil
F | Quel est le plus grand pays du monde par sa superficie ? | La Russie | Le Canada | La Chine | Le Brésil
F | Quelle est la population mondiale approximative ? | Environ huit milliards | Environ quatre milliards | Environ douze milliards | Environ deux milliards
F | Quelle ligne imaginaire partage la Terre en deux hémisphères ? | L'équateur | Le méridien de Greenwich | Le tropique du Cancer | Le cercle polaire
F | Comment appelle-t-on les lignes qui mesurent la distance à l'équateur ? | Les parallèles | Les méridiens | Les isobares | Les isothermes
F | Comment appelle-t-on les lignes qui vont d'un pôle à l'autre ? | Les méridiens | Les parallèles | Les tropiques | Les isohyètes
F | Quel continent est le moins peuplé ? | L'Océanie | L'Afrique | L'Europe | L'Asie
F | Quel continent compte le plus d'habitants ? | L'Asie | L'Afrique | L'Europe | L'Amérique
F | Quelle organisation mondiale réunit presque tous les États ? | L'ONU | L'OTAN | L'OMC | L'UE
F | Comment appelle-t-on un pays très développé économiquement ? | Un pays développé | Un pays émergent | Un pays rentier | Un pays neutre
F | Quel indicateur mesure la richesse produite par un pays ? | Le produit intérieur brut | Le taux de change | L'indice des prix | La balance commerciale
F | Comment appelle-t-on la vente de marchandises à l'étranger ? | L'exportation | L'importation | La consommation | La production
F | Comment appelle-t-on l'achat de marchandises à l'étranger ? | L'importation | L'exportation | La distribution | La transformation
F | Quel indicateur de l'ONU mesure aussi la santé et l'éducation ? | L'indice de développement humain | Le PIB | L'indice des prix | Le taux d'emploi
M | Quelle est la langue la plus parlée dans le monde comme langue maternelle ? | Le chinois mandarin | L'anglais | L'espagnol | L'hindi
M | Quelle langue est la plus utilisée dans les échanges internationaux ? | L'anglais | Le français | L'espagnol | L'arabe
M | Comment appelle-t-on les pays dont l'économie croît très vite ? | Les pays émergents | Les pays développés | Les pays rentiers | Les pays enclavés
D | Quel groupe réunit le Brésil, la Russie, l'Inde, la Chine et l'Afrique du Sud ? | Les BRICS | Le G7 | L'OPEP | L'ASEAN
D | Quelle organisation réunit les pays exportateurs de pétrole ? | L'OPEP | L'OMC | L'AIE | Le FMI
M | Comment appelle-t-on un pays sans accès à la mer ? | Un pays enclavé | Un pays insulaire | Un pays continental | Un pays côtier
D | Quel accord international de 2015 porte sur le climat ? | L'accord de Paris | Le protocole de Montréal | La convention de Genève | Le pacte de Rio


# --- Compléments : lire une carte, lire le monde ---

F | Comment appelle-t-on le rapport entre la carte et le terrain ? | L'échelle | La légende | L'orientation | Le relief
F | Que donne la légende d'une carte ? | Le sens des figurés | La date | L'auteur | Le prix
F | Comment appelle-t-on une carte qui montre le relief ? | Une carte topographique | Une carte politique | Une carte routière | Une carte marine
F | Vers quel point cardinal le haut d'une carte pointe-t-il d'ordinaire ? | Le nord | Le sud | L'est | L'ouest
F | Comment appelle-t-on un dessin simplifié d'un espace ? | Un croquis | Une photographie | Un diagramme | Un organigramme
F | Comment appelle-t-on le nombre d'habitants au kilomètre carré ? | La densité | La natalité | La superficie | La mortalité
M | Comment appelle-t-on une image prise depuis un satellite ? | Une image satellitaire | Une carte marine | Un croquis | Un planisphère
M | Comment appelle-t-on une carte du monde entier à plat ? | Un planisphère | Un globe | Un atlas | Une mappemonde en relief
D | Quelle projection déforme les surfaces au profit des angles ? | La projection de Mercator | La projection de Peters | La projection polaire | La projection conique
M | Comment appelle-t-on l'ensemble des cartes réunies en livre ? | Un atlas | Un almanach | Un annuaire | Un traité
F | Comment appelle-t-on l'étude des populations ? | La démographie | La géologie | La climatologie | L'urbanisme
F | Quelle science étudie les climats ? | La climatologie | La géologie | La démographie | La cartographie
M | Comment appelle-t-on le temps qu'il fait sur trente ans en moyenne ? | Le climat | La météo | La saison | Le cycle
M | Quel climat règne autour de l'équateur ? | Le climat équatorial | Le climat polaire | Le climat désertique | Le climat tempéré
M | Quel climat connaît une saison sèche et une saison des pluies ? | Le climat tropical | Le climat polaire | Le climat océanique | Le climat continental
D | Comment appelle-t-on la pluie saisonnière de l'Asie du Sud ? | La mousson | L'alizé | Le typhon | La tramontane
M | Comment appelle-t-on un cyclone dans le Pacifique occidental ? | Un typhon | Un ouragan | Une tornade | Un blizzard
M | Comment appelle-t-on un cyclone dans l'Atlantique nord ? | Un ouragan | Un typhon | Un cyclone tropical austral | Un mistral
D | Comment appelle-t-on la couche d'air qui retient la chaleur terrestre ? | L'atmosphère | La lithosphère | L'hydrosphère | La biosphère
M | Quel gaz est le principal responsable du réchauffement climatique ? | Le dioxyde de carbone | L'oxygène | L'azote | L'argon
F | Comment appelle-t-on une énergie tirée du soleil ? | L'énergie solaire | L'énergie fossile | L'énergie nucléaire | La géothermie
F | Comment appelle-t-on une énergie tirée du vent ? | L'énergie éolienne | L'énergie marémotrice | L'énergie thermique | La biomasse
M | Quelle énergie est produite par les barrages ? | L'hydroélectricité | L'éolien | Le solaire | Le charbon
D | Quel pays produit le plus d'électricité solaire au monde ? | La Chine | La Norvège | Le Canada | La Russie
F | Quelle ressource devient rare dans de nombreuses régions du monde ? | L'eau douce | L'air | Le sable de plage | Le sel
M | Comment appelle-t-on l'agriculture qui nourrit d'abord la famille ? | L'agriculture vivrière | L'agriculture productiviste | L'agriculture de rente | L'agriculture bio
D | Comment appelle-t-on une culture destinée à l'exportation ? | Une culture de rente | Une culture vivrière | Une culture dérobée | Une culture associée
M | Quelle organisation de l'ONU s'occupe de l'alimentation ? | La FAO | L'OMS | L'UNESCO | Le HCR
M | Comment appelle-t-on le manque durable de nourriture ? | La sous-alimentation | L'obésité | La malnutrition légère | La disette passagère
D | Comment appelle-t-on une alimentation déséquilibrée mais suffisante ? | La malnutrition | La sous-alimentation | La famine | La diète
F | Quel continent souffre le plus de la faim aujourd'hui ? | L'Afrique | L'Europe | L'Amérique du Nord | L'Océanie
M | Comment appelle-t-on l'écart de richesse entre pays du monde ? | Les inégalités de développement | La balance commerciale | Le taux de change | Le déficit
