# SVT — Cinquième — une question par ligne.
#
# niveau | énoncé ? | bonne réponse | leurre | leurre | leurre
# F facile · M moyen · D difficile
#
# Les propositions sont mêlées au tirage : l'ordre n'a aucune importance.
# Un leurre doit être faux mais crédible — un leurre absurde ne fait pas
# une question, il fait une question à trois propositions.
#
# Le programme de cinquième : la nutrition, la respiration, la circulation,
# les paysages et leur érosion, et la santé.
#
# Aucun énoncé ne double aucun autre fichier de questions.

! id      | svt-5e
! nom     | SVT — 5e
! de      | de SVT — 5e
! detail  | Le programme de cinquième : nutrition, respiration, paysages.
! icone   | lungs
! teinte  | 0.78 0.40 0.44
! rang   | 14
! produit | com.oulhen.riskelo.pack.svt5e


# --- La digestion et la nutrition ---

F | Comment appelle-t-on l'ensemble des organes qui transforment les aliments ? | L'appareil digestif | L'appareil respiratoire | L'appareil circulatoire | L'appareil urinaire
F | Comment appelle-t-on l'ensemble des organes qui permettent de respirer ? | L'appareil respiratoire | L'appareil digestif | L'appareil circulatoire | L'appareil excréteur
F | Comment appelle-t-on le tube qui conduit l'air aux poumons ? | La trachée | L'œsophage | L'aorte | L'urètre
M | Comment appelle-t-on les deux tubes qui partent de la trachée ? | Les bronches | Les bronchioles | Les alvéoles | Les veines
D | Comment appelle-t-on les petits sacs au bout des bronchioles ? | Les alvéoles pulmonaires | Les villosités | Les néphrons | Les capsules
M | Où l'oxygène passe-t-il de l'air au sang ? | Dans les alvéoles pulmonaires | Dans la trachée | Dans le nez | Dans les bronches
M | Quel muscle sépare le thorax de l'abdomen et sert à respirer ? | Le diaphragme | Le cœur | Le foie | L'estomac
M | Que fait le diaphragme lors de l'inspiration ? | Il s'abaisse | Il s'élève | Il ne bouge pas | Il se contracte vers le haut
M | Que devient le volume de la cage thoracique à l'inspiration ? | Il augmente | Il diminue | Il ne change pas | Il se réduit de moitié
M | Combien de fois par minute un adulte au repos respire-t-il environ ? | Une quinzaine de fois | Cinquante fois | Deux fois | Cent fois
D | Comment appelle-t-on la quantité d'air renouvelée à chaque respiration ? | Le volume courant | La capacité vitale | Le volume résiduel | Le débit
D | Comment appelle-t-on le volume d'air maximal qu'on peut expirer ? | La capacité vitale | Le volume courant | Le volume résiduel | Le débit ventilatoire
F | Comment respirent les poissons ? | Par des branchies | Par des poumons | Par la peau seulement | Par des trachées
D | Comment respirent les insectes ? | Par des trachées | Par des branchies | Par des poumons | Par la peau seule
D | Comment respire un ver de terre ? | Par la peau | Par des poumons | Par des branchies | Par des trachées
M | Comment appelle-t-on un animal qui respire dans l'eau et dans l'air selon son âge ? | Un amphibien | Un reptile | Un mammifère | Un poisson
D | Pourquoi certains milieux aquatiques manquent-ils d'oxygène ? | L'eau chaude en dissout moins | L'eau y est trop salée | La lumière y manque | Le courant est trop fort
F | Quel effet le tabac a-t-il sur les poumons ? | Il les abîme durablement | Il les nettoie | Il les renforce | Il n'a aucun effet


# --- La circulation ---

F | Quel muscle creux pousse le sang dans tout le corps ? | Le cœur | Le poumon | Le foie | Le rein
M | En combien de cavités le cœur humain est-il divisé ? | Quatre | Deux | Trois | Six
D | Comment appelle-t-on les deux cavités supérieures du cœur ? | Les oreillettes | Les ventricules | Les valvules | Les septums
M | Comment appelle-t-on les deux cavités inférieures du cœur ? | Les ventricules | Les oreillettes | Les valves | Les artères
M | Quelle est la plus grosse artère du corps ? | L'aorte | La veine cave | L'artère pulmonaire | La carotide
D | Quelle artère conduit le sang du cœur vers les poumons ? | L'artère pulmonaire | L'aorte | La carotide | La fémorale
D | Comment appelle-t-on le circuit du sang entre le cœur et les poumons ? | La circulation pulmonaire | La circulation générale | La circulation lymphatique | La circulation porte
M | Combien de fois par minute le cœur d'un adulte bat-il au repos ? | Environ soixante-dix fois | Deux cents fois | Vingt fois | Cinq fois
F | Que devient le rythme cardiaque pendant un effort ? | Il augmente | Il diminue | Il ne change pas | Il s'arrête
D | Pourquoi le cœur bat-il plus vite pendant un effort ? | Les muscles réclament plus d'oxygène | Le sang refroidit | Les poumons se ferment | L'estomac digère
F | Quelles cellules du sang transportent l'oxygène ? | Les globules rouges | Les globules blancs | Les plaquettes | Le plasma
D | Quelle molécule des globules rouges fixe l'oxygène ? | L'hémoglobine | La chlorophylle | L'insuline | La kératine
F | Quelles cellules du sang défendent l'organisme ? | Les globules blancs | Les globules rouges | Les plaquettes | Le plasma
M | Quels éléments du sang permettent la coagulation ? | Les plaquettes | Les globules rouges | Les globules blancs | Le plasma
D | Comment appelle-t-on la partie liquide du sang ? | Le plasma | La lymphe | La bile | Le sérum physiologique
M | Comment appelle-t-on l'ensemble des transformations qui libèrent l'énergie des nutriments ? | La respiration cellulaire | La digestion | La circulation | L'excrétion
D | Quels déchets la respiration cellulaire produit-elle ? | Du dioxyde de carbone et de l'eau | De l'oxygène | De l'azote | Du glucose
M | Quel organe filtre le sang et fabrique l'urine ? | Le rein | Le foie | La rate | Le pancréas


# --- Les paysages et l'érosion ---

F | Comment appelle-t-on la destruction lente des roches par l'eau et le vent ? | L'érosion | La sédimentation | L'éruption | La tectonique
M | Quel agent d'érosion façonne les vallées en forme de U ? | Le glacier | La rivière | Le vent | La mer
M | Quel agent d'érosion creuse les vallées en forme de V ? | La rivière | Le glacier | Le vent | La mer
M | Comment appelle-t-on les débris arrachés puis transportés par l'eau ? | Les sédiments | Les fossiles | Les minéraux purs | Les cristaux
M | Où les sédiments finissent-ils par se déposer ? | Dans les lacs et les mers | Dans l'air | Dans les nuages | Dans les racines
D | Comment appelle-t-on le durcissement des sédiments en roche ? | La diagenèse | L'érosion | Le métamorphisme | La fusion
M | Comment nomme-t-on une roche née de l'accumulation de dépôts ? | Une roche sédimentaire | Une roche magmatique | Une roche métamorphique | Une roche volcanique
M | Le calcaire est-il une roche sédimentaire ? | Oui | Non | Seulement en montagne | Seulement sous la mer
M | Le grès est-il formé de grains de sable cimentés ? | Oui | Non | Seulement en désert | Seulement en mer
M | Quelle roche sédimentaire réagit en effervescence à l'acide ? | Le calcaire | Le granite | Le basalte | Le schiste
M | Quelle roche est faite de gros cristaux visibles à l'œil nu ? | Le granite | Le calcaire | L'argile | Le grès
D | Comment appelle-t-on le paysage creusé par l'eau dans le calcaire ? | Un paysage karstique | Un paysage granitique | Un paysage volcanique | Un paysage glaciaire
D | Comment appelle-t-on une grotte creusée par l'eau dans le calcaire ? | Une grotte karstique | Un cratère | Une caldeira | Une faille
M | Comment appelle-t-on les concrétions qui pendent du plafond d'une grotte ? | Les stalactites | Les stalagmites | Les geysers | Les moraines
D | Comment appelle-t-on les concrétions qui montent du sol d'une grotte ? | Les stalagmites | Les stalactites | Les draperies | Les gours
M | Comment appelle-t-on les débris qu'un glacier abandonne en fondant ? | Une moraine | Un delta | Une dune | Une falaise
M | Comment appelle-t-on la roche située sous le sol d'une région ? | La roche mère | La roche fondue | La roche fossile | La roche stérile
D | Comment appelle-t-on l'exploitation d'une roche à ciel ouvert ? | Une carrière | Une mine souterraine | Un puits | Un forage
M | Quelle roche sert à fabriquer le ciment ? | Le calcaire | Le granite | Le basalte | Le marbre
D | Quelle roche métamorphique vient du calcaire transformé ? | Le marbre | Le grès | L'argile | Le basalte
M | Comment appelle-t-on la trace d'un être vivant conservée dans une roche sédimentaire ? | Un fossile | Un cristal | Un minerai | Un sédiment brut
M | Pourquoi trouve-t-on des fossiles marins en montagne ? | Ces roches se sont formées sous la mer | Les poissons y grimpaient | Le vent les a portés | Ils sont tombés du ciel


# --- La santé ---

F | Comment appelle-t-on un être vivant microscopique qui peut rendre malade ? | Un micro-organisme | Un vertébré | Un mollusque | Un fossile
M | Comment appelle-t-on l'entrée d'un microbe dans le corps ? | Une contamination | Une infection généralisée | Une vaccination | Une guérison
D | Comment appelle-t-on la multiplication du microbe dans le corps ? | Une infection | Une contamination | Une immunisation | Une rémission
F | Quel geste simple limite la transmission des microbes ? | Se laver les mains | Ouvrir la fenêtre seulement | Boire chaud | Dormir plus
M | Comment appelle-t-on un médicament qui tue les bactéries ? | Un antibiotique | Un antiviral | Un vaccin | Un analgésique
M | Un antibiotique agit-il contre un virus ? | Non | Oui | Parfois | Toujours
F | Quel effet le sport régulier a-t-il sur le cœur ? | Il le renforce | Il l'affaiblit | Il l'accélère en permanence | Il n'a aucun effet
M | Quel effet le manque de sommeil a-t-il sur l'organisme ? | Il fatigue et baisse les défenses | Il renforce les muscles | Il améliore la mémoire | Il n'a aucun effet
M | Combien d'heures de sommeil un adolescent a-t-il besoin environ ? | Neuf heures | Quatre heures | Douze heures | Deux heures
M | Quel comportement alimentaire favorise la carie dentaire ? | Le grignotage sucré | Le brossage régulier | Les légumes verts | L'eau plate
M | Comment appelle-t-on la maladie où le corps ne règle plus le sucre du sang ? | Le diabète | L'anémie | L'asthme | L'allergie
M | Comment appelle-t-on la réaction excessive du corps à une substance inoffensive ? | Une allergie | Une infection | Une carence | Une intoxication
M | Comment appelle-t-on le manque durable d'un nutriment essentiel ? | Une carence | Une allergie | Une infection | Une intoxication
M | Quelle carence provoque une fatigue par manque de fer ? | L'anémie | Le scorbut | Le rachitisme | Le goitre
D | Quelle maladie ancienne des marins venait du manque de vitamine C ? | Le scorbut | Le rachitisme | La peste | Le typhus


# --- Compléments : le corps en mouvement ---

F | Quel organe commande les mouvements du corps ? | Le cerveau | Le cœur | Le foie | L'estomac
F | Comment appelle-t-on ce qui transmet les ordres du cerveau aux muscles ? | Les nerfs | Les tendons | Les veines | Les os
F | Que fait un muscle quand il travaille ? | Il se contracte | Il s'allonge seul | Il durcit sans bouger | Il se refroidit
F | Comment appelle-t-on deux muscles qui font des mouvements opposés ? | Des muscles antagonistes | Des muscles jumeaux | Des muscles lisses | Des muscles fixes
M | Quel muscle plie le bras ? | Le biceps | Le triceps | Le deltoïde | Le trapèze
M | Quel muscle tend le bras ? | Le triceps | Le biceps | Le pectoral | Le grand dorsal
M | De quoi le muscle a-t-il besoin pour fonctionner ? | De dioxygène et de nutriments | De lumière | De sel | D'air froid
M | Que produit un muscle qui manque d'oxygène pendant l'effort ? | De l'acide lactique | Du glucose | De l'oxygène | Des protéines
M | Comment appelle-t-on la douleur musculaire du lendemain d'un effort ? | Des courbatures | Une crampe | Une entorse | Une fracture
M | Comment appelle-t-on l'étirement brutal d'un ligament ? | Une entorse | Une fracture | Une luxation | Une crampe
F | Comment appelle-t-on la cassure d'un os ? | Une fracture | Une entorse | Une luxation | Une contusion
D | Comment appelle-t-on la sortie d'un os de son articulation ? | Une luxation | Une entorse | Une fracture | Une élongation
M | Pourquoi s'échauffe-t-on avant un effort ? | Pour préparer muscles et articulations | Pour se refroidir | Pour manger plus | Pour dormir mieux
M | Quel liquide perd-on surtout en transpirant ? | De l'eau et des sels minéraux | Du sang | De la bile | De la salive
M | Pourquoi le corps transpire-t-il pendant l'effort ? | Pour se refroidir | Pour se réchauffer | Pour respirer | Pour digérer


# --- Compléments : la Terre et le temps ---

F | Comment appelle-t-on la couche de gaz qui entoure la Terre ? | L'atmosphère | La lithosphère | L'hydrosphère | La biosphère
F | Comment appelle-t-on la couche rocheuse externe de la Terre ? | La croûte terrestre | Le manteau | Le noyau | L'atmosphère
M | Comment appelle-t-on la couche située sous la croûte terrestre ? | Le manteau | Le noyau | La croûte océanique | L'atmosphère
M | Comment appelle-t-on la partie centrale de la Terre ? | Le noyau | Le manteau | La croûte | La lithosphère
D | De quel métal le noyau terrestre est-il surtout composé ? | Le fer | L'or | Le cuivre | L'aluminium
M | Comment appelle-t-on l'état de l'eau dans un nuage ? | De fines gouttelettes | De la vapeur invisible | De la glace uniquement | De l'air sec
F | Comment appelle-t-on le temps qu'il fait à un moment donné ? | La météo | Le climat | La saison | Le relief
M | Comment appelle-t-on le temps moyen d'une région sur trente ans ? | Le climat | La météo | La saison | La marée
D | Quel appareil des météorologues envoie des mesures depuis l'espace ? | Le satellite météorologique | Le radar de sol | Le baromètre | La girouette
M | Comment appelle-t-on une masse d'air chaud qui monte ? | Un courant ascendant | Un courant descendant | Un front froid | Une dépression fixe
D | Comment appelle-t-on une zone de basse pression atmosphérique ? | Une dépression | Un anticyclone | Un front | Un alizé
M | Comment appelle-t-on une zone de haute pression atmosphérique ? | Un anticyclone | Une dépression | Un front | Une mousson
M | Quel temps annonce en général un anticyclone ? | Un temps stable | De la pluie | Des orages | De la neige
M | Comment appelle-t-on la limite entre deux masses d'air différentes ? | Un front | Une dépression | Un anticyclone | Un alizé


# --- Compléments : les cinquante dernières ---

F | Quel organe filtre les déchets du sang pour faire l'urine ? | Le rein | Le foie | Le poumon | Le cœur
F | Combien de reins un être humain possède-t-il ? | Deux | Un | Trois | Quatre
F | Comment appelle-t-on la poche qui stocke l'urine ? | La vessie | L'estomac | La vésicule | Le rectum
F | Comment appelle-t-on l'élimination des déchets par les urines ? | L'excrétion | La digestion | La respiration | La circulation
F | Comment appelle-t-on l'organe qui protège tout le corps de l'extérieur ? | La peau | Le squelette | Le foie | Le cœur
F | Quel est l'organe le plus étendu du corps humain ? | La peau | Le foie | Le poumon | L'intestin
F | Combien de dents un adulte possède-t-il au maximum ? | Trente-deux | Vingt | Vingt-huit | Quarante
F | Comment appelle-t-on les dents pointues qui déchirent ? | Les canines | Les incisives | Les molaires | Les prémolaires
F | Comment appelle-t-on les dents plates qui coupent devant ? | Les incisives | Les canines | Les molaires | Les prémolaires
F | Comment appelle-t-on les grosses dents du fond qui broient ? | Les molaires | Les incisives | Les canines | Les dents de lait
F | Comment appelle-t-on la couche dure qui recouvre la dent ? | L'émail | L'ivoire | La pulpe | La gencive
F | Quel geste protège le mieux les dents ? | Le brossage régulier | Le grignotage | Les boissons sucrées | Le rinçage à l'eau chaude
F | Comment appelle-t-on l'organe qui perçoit la lumière ? | L'œil | L'oreille | Le nez | La langue
F | Comment appelle-t-on l'organe qui perçoit les sons ? | L'oreille | L'œil | La peau | La langue
F | Comment appelle-t-on l'organe du goût ? | La langue | Le nez | L'oreille | La peau
F | Comment appelle-t-on l'organe de l'odorat ? | Le nez | La langue | L'œil | L'oreille
F | Combien de sens l'être humain possède-t-il traditionnellement ? | Cinq | Trois | Sept | Dix
M | Comment appelle-t-on la partie colorée de l'œil ? | L'iris | La pupille | La cornée | La rétine
M | Comment appelle-t-on le trou noir au centre de l'œil ? | La pupille | L'iris | La cornée | La sclérotique
M | Comment appelle-t-on le fond de l'œil qui reçoit l'image ? | La rétine | La cornée | Le cristallin | L'iris
D | Comment appelle-t-on la lentille de l'œil qui fait la mise au point ? | Le cristallin | La rétine | L'iris | La cornée
D | Quel nerf transmet l'image de l'œil au cerveau ? | Le nerf optique | Le nerf auditif | Le nerf olfactif | Le nerf sciatique
M | Comment appelle-t-on la membrane qui vibre dans l'oreille ? | Le tympan | Le pavillon | La cochlée | L'étrier
D | Comment appelle-t-on l'organe en spirale de l'oreille interne ? | La cochlée | Le tympan | Le pavillon | Le marteau
D | Quel danger le bruit trop fort fait-il courir à l'oreille ? | Il détruit des cellules sensorielles | Il durcit le tympan | Il refroidit l'oreille | Il n'a aucun effet
M | Comment appelle-t-on les cellules qui transmettent les messages nerveux ? | Les neurones | Les globules | Les fibres musculaires | Les plaquettes
M | Où arrivent les messages nerveux venus des organes des sens ? | Au cerveau | Au cœur | Au foie | Au rein
M | Comment appelle-t-on la partie du système nerveux protégée par la colonne vertébrale ? | La moelle épinière | Le cervelet | Le tronc cérébral | Le bulbe
D | Quelle partie du cerveau commande l'équilibre ? | Le cervelet | Le cortex | L'hypophyse | Le thalamus
F | Comment appelle-t-on une réaction rapide et involontaire du corps ? | Un réflexe | Un mouvement volontaire | Une habitude | Un apprentissage
M | Quel effet l'alcool a-t-il sur le système nerveux ? | Il ralentit les réactions | Il les accélère | Il n'a aucun effet | Il améliore la vue
M | Quel effet le tabac a-t-il sur la circulation du sang ? | Il abîme les vaisseaux | Il les élargit durablement | Il les nettoie | Il n'a aucun effet
M | Comment appelle-t-on une substance qui crée une dépendance ? | Une drogue | Un aliment | Une vitamine | Un nutriment
M | Quel organe l'alcool abîme-t-il particulièrement ? | Le foie | Le rein | La rate | Le pancréas
M | Comment appelle-t-on un aliment qui n'apporte que du sucre et des graisses ? | Un aliment peu équilibré | Un aliment complet | Un aliment vitaminé | Un aliment protéiné
F | Combien de fruits et légumes recommande-t-on par jour ? | Cinq | Un | Dix | Deux
F | Quelle boisson est la seule vraiment indispensable ? | L'eau | Le soda | Le jus de fruits | Le lait
D | Quelle part du corps humain est faite d'eau environ ? | Environ 60 % | Environ 20 % | Environ 90 % | Environ 40 %
D | Combien de litres d'eau un adulte doit-il boire par jour environ ? | Un litre et demi | Cinq litres | Un demi-litre | Dix litres
M | Comment appelle-t-on la perte d'eau excessive du corps ? | La déshydratation | L'hydratation | La transpiration normale | La digestion
M | Comment appelle-t-on la température normale du corps humain ? | Environ trente-sept degrés | Trente degrés | Quarante degrés | Vingt degrés
M | Comment appelle-t-on l'élévation anormale de la température du corps ? | La fièvre | L'hypothermie | La déshydratation | L'anémie
D | Comment appelle-t-on la chute dangereuse de la température du corps ? | L'hypothermie | La fièvre | L'hyperthermie | L'anémie
D | Comment appelle-t-on le fait que le corps garde une température stable ? | La régulation thermique | La respiration | La digestion | L'excrétion
M | Comment appelle-t-on l'ensemble des microbes utiles qui vivent sur nous ? | Le microbiote | Le parasite | Le virus | Le champignon
D | Comment appelle-t-on un être vivant formé d'une seule cellule sans noyau ? | Une bactérie | Une levure | Une algue | Un protozoaire
D | Un virus est-il un être vivant comme une bactérie ? | Non, il lui faut une cellule hôte | Oui, il vit seul | Oui, il se nourrit | Oui, il respire
M | Comment appelle-t-on un champignon microscopique utile en cuisine ? | La levure | La bactérie | Le virus | L'algue
D | Comment appelle-t-on l'élevage de micro-organismes en laboratoire ? | Une culture | Une greffe | Une dissection | Une distillation
D | Quel milieu gélifié sert à cultiver des bactéries ? | La gélose | Le sable | L'argile | La cire
M | Comment appelle-t-on l'ensemble des règles qui évitent la contamination ? | L'hygiène | La diététique | La posologie | La prophylaxie seule


# --- Compléments : les vingt-cinq dernières ---

F | Comment appelle-t-on ce que le corps tire des aliments ? | De l'énergie et de la matière | De l'air | De la lumière | Du bruit
F | Comment appelle-t-on le premier repas de la journée ? | Le petit-déjeuner | Le goûter | Le dîner | Le souper
F | Que se passe-t-il quand on saute le petit-déjeuner ? | On manque d'énergie le matin | On grandit plus vite | On digère mieux | On dort mieux
F | Comment appelle-t-on l'activité physique régulière ? | Le sport | Le repos | Le sommeil | La lecture
F | Quel appareil du corps s'améliore avec l'endurance ? | Le cœur et les poumons | Le foie | L'estomac | Les reins
F | Comment appelle-t-on les gestes de secours à connaître ? | Les premiers secours | La rééducation | La chirurgie | La kinésithérapie
F | Quel numéro appelle-t-on en France pour un secours médical ? | Le 15 | Le 17 | Le 18 seulement | Le 112 seulement
F | Comment appelle-t-on la position à donner à une personne inconsciente qui respire ? | La position latérale de sécurité | La position assise | La position debout | La position sur le ventre
F | Comment appelle-t-on la protection qu'on met sur une plaie ? | Un pansement | Une attelle | Un garrot | Une perfusion
F | Comment appelle-t-on le fait de nettoyer une plaie ? | La désinfection | La cicatrisation | L'infection | La suture
M | Comment appelle-t-on la réparation naturelle de la peau blessée ? | La cicatrisation | L'infection | L'inflammation seule | La désinfection
M | Comment appelle-t-on la rougeur et le gonflement autour d'une blessure ? | Une inflammation | Une cicatrisation | Une allergie | Une carence
M | Comment appelle-t-on la trace laissée par une plaie guérie ? | Une cicatrice | Une croûte | Un hématome | Une ampoule
M | Comment appelle-t-on le bleu qui apparaît après un choc ? | Un hématome | Une cicatrice | Une ampoule | Une entorse
M | Pourquoi faut-il aérer une pièce chaque jour ? | Pour renouveler l'air et limiter les microbes | Pour la refroidir | Pour la sécher | Pour l'éclairer
M | Comment appelle-t-on une maladie qui se transmet d'une personne à l'autre ? | Une maladie contagieuse | Une maladie génétique | Une carence | Une allergie
M | Comment appelle-t-on la propagation rapide d'une maladie dans une population ? | Une épidémie | Une carence | Une allergie | Une intoxication
D | Comment appelle-t-on une épidémie qui touche le monde entier ? | Une pandémie | Une endémie | Une épizootie | Une zoonose
D | Comment appelle-t-on une maladie présente en permanence dans une région ? | Une endémie | Une pandémie | Une épidémie | Une zoonose
D | Comment appelle-t-on une maladie transmise de l'animal à l'homme ? | Une zoonose | Une endémie | Une carence | Une allergie
M | Quelle piqûre d'insecte transmet le paludisme ? | Le moustique | La mouche | La puce | Le pou
D | Quel animal transmet la maladie de Lyme ? | La tique | Le moustique | La puce | L'araignée
M | Comment appelle-t-on la conservation d'un aliment par le froid intense ? | La surgélation | La pasteurisation | La stérilisation | Le salage
D | Comment appelle-t-on le traitement qui détruit tous les micro-organismes ? | La stérilisation | La pasteurisation | La réfrigération | La fermentation
D | Pourquoi ne faut-il pas recongeler un aliment décongelé ? | Les microbes s'y sont multipliés | Il perd sa couleur | Il devient trop dur | Il perd son eau
