# Histoire — Sixième — une question par ligne.
#
# niveau | énoncé ? | bonne réponse | leurre | leurre | leurre
# F facile · M moyen · D difficile
#
# Les propositions sont mêlées au tirage : l'ordre n'a aucune importance.
# Un leurre doit être faux mais crédible — un leurre absurde ne fait pas
# une question, il fait une question à trois propositions.
#
# Le programme d'histoire de sixième : les débuts de l'humanité, les premiers
# États, la Méditerranée antique et l'empire romain.
#
# Aucun énoncé ne double aucun autre fichier de questions.

! id      | histoire-6e
! nom     | Histoire — 6e
! de      | d'Histoire — 6e
! detail  | Le programme de sixième : préhistoire, Égypte, Grèce, Rome.
! icone   | pyramid
! teinte  | 0.78 0.62 0.38
! rang   | 6
! produit | com.oulhen.riskelo.pack.histoire6e


# --- Les débuts de l'humanité ---

F | Sur quel continent les plus anciens ancêtres de l'homme ont-ils été trouvés ? | L'Afrique | L'Europe | L'Asie | L'Amérique
# --- Des chrétiens dans l'empire ---

M | Dans quelle province romaine le christianisme est-il né ? | La Judée | L'Égypte | La Gaule | L'Hispanie
M | Quel livre rassemble les récits de la vie de Jésus ? | Les Évangiles | La Torah | Le Coran | Les Psaumes
D | Combien d'Évangiles sont reconnus par les chrétiens ? | Quatre | Deux | Sept | Douze
M | Comment appelait-on les premiers chrétiens persécutés pour leur foi ? | Les martyrs | Les apôtres | Les prophètes | Les diacres
D | Dans quelles galeries souterraines les chrétiens de Rome enterraient-ils leurs morts ? | Les catacombes | Les cryptes | Les nécropoles | Les hypogées
M | Quel empereur romain s'est converti au christianisme au IVe siècle ? | Constantin | Néron | Dioclétien | Trajan
D | Quel édit de 313 accorde la liberté de culte aux chrétiens ? | L'édit de Milan | L'édit de Nantes | L'édit de Caracalla | L'édit de Thessalonique
D | Quel empereur a fait du christianisme la religion officielle en 380 ? | Théodose | Constantin | Julien | Valens
M | Quelle ville Constantin a-t-il fondée comme nouvelle capitale ? | Constantinople | Ravenne | Milan | Antioche
D | En quelle année l'empire romain a-t-il été partagé en deux ? | 395 | 476 | 313 | 285


# --- L'empire romain et les autres mondes ---

M | Par quelle route les marchandises chinoises arrivaient-elles jusqu'à Rome ? | La route de la soie | La route de l'encens | La route de l'ambre | La route de l'étain
M | Quelle dynastie régnait sur la Chine au temps de l'empire romain ? | Les Han | Les Ming | Les Tang | Les Qing
D | Quelle marchandise chinoise était la plus recherchée à Rome ? | La soie | Le thé | La porcelaine | Le papier
D | Quelle armée d'argile a été retrouvée près de Xi'an en Chine ? | L'armée de terre cuite | Les guerriers de bronze | Les cavaliers de jade | Les archers de pierre
M | Quel empire d'Inde a favorisé le bouddhisme au IIIe siècle avant J.-C. ? | L'empire Maurya | L'empire Gupta | L'empire moghol | L'empire Chola
D | Quel empereur Maurya a fait graver ses édits sur des colonnes de pierre ? | Ashoka | Chandragupta | Akbar | Bâbur
M | En quelle année l'empire romain d'Occident a-t-il disparu ? | 476 | 395 | 410 | 313
D | Quel peuple a pris Rome en 410 ? | Les Wisigoths | Les Vandales | Les Huns | Les Ostrogoths
M | Comment appelle-t-on les peuples qui sont entrés dans l'empire romain ? | Les peuples germaniques | Les Perses | Les Phéniciens | Les Étrusques
D | Quel chef des Huns a menacé l'empire romain au Ve siècle ? | Attila | Alaric | Genséric | Odoacre


# --- Compléments : repères et vie quotidienne ---

F | Quel outil de pierre taillée les premiers hommes fabriquaient-ils ? | Le biface | La faux | La charrue | Le marteau
F | Comment appelle-t-on les dessins tracés sur les parois des grottes ? | L'art pariétal | La fresque | La mosaïque | Le vitrail
F | Où vivaient souvent les hommes de la préhistoire ? | Sous des abris et dans des grottes | Dans des châteaux | Dans des villes | Sur des bateaux
F | Quel objet rond a changé les transports au Néolithique ? | La roue | La voile | L'étrier | Le gouvernail
F | Quel animal a permis de tirer la charrue ? | Le bœuf | Le chien | Le mouton | La poule
F | Dans quel pays se trouvent les pyramides de Gizeh ? | En Égypte | En Grèce | En Irak | En Turquie
F | Comment appelle-t-on un corps conservé par les Égyptiens ? | Une momie | Un fossile | Une statue | Une relique
F | Quel animal était sacré chez les Égyptiens ? | Le chat | Le loup | L'ours | Le cerf
F | Quel dieu égyptien à tête de faucon représentait le ciel ? | Horus | Anubis | Osiris | Rê
F | Quel dieu égyptien à tête de chacal veillait sur les morts ? | Anubis | Horus | Thot | Seth
F | Comment appelle-t-on l'écriture faite de dessins en Égypte ? | Les hiéroglyphes | Les runes | L'alphabet | Les idéogrammes chinois
F | Quelle mer borde la Grèce ? | La mer Égée | La mer Baltique | La mer du Nord | La mer Caspienne
F | Quelle langue parlaient les Grecs de l'Antiquité ? | Le grec | Le latin | L'araméen | Le perse
F | Comment appelait-on un habitant d'Athènes qui participait aux décisions ? | Un citoyen | Un métèque | Un esclave | Un colon
F | Quel bâtiment grec servait aux représentations de tragédies ? | Le théâtre | Le stade | L'agora | Le gymnase
F | Quelle statue géante veillait sur le port de Rhodes ? | Le colosse de Rhodes | La statue de Zeus | Le sphinx | Le Parthénon
F | Comment appelle-t-on l'ensemble des récits sur les dieux grecs ? | La mythologie | La philosophie | L'histoire | La rhétorique
F | Quel philosophe grec a été condamné à boire la ciguë ? | Socrate | Platon | Aristote | Épicure
F | Quel élève de Socrate a fondé l'Académie ? | Platon | Aristote | Xénophon | Pythagore
F | Quel savant grec a crié « Eurêka » selon la légende ? | Archimède | Euclide | Thalès | Pythagore
F | Quelle ville d'Égypte fondée par Alexandre abritait une grande bibliothèque ? | Alexandrie | Le Caire | Thèbes | Memphis
F | Sur quel fleuve d'Italie Rome a-t-elle été bâtie ? | Le Tibre | Le Pô | L'Arno | L'Adige
F | Combien de collines comptait Rome selon la tradition ? | Sept | Trois | Douze | Cinq
F | Comment appelait-on le vêtement des citoyens romains ? | La toge | La tunique seule | Le péplos | La chlamyde
F | Quel était le centre politique d'une ville romaine ? | Le forum | Le cirque | Les thermes | L'insula
F | Comment appelait-on un combattant des arènes romaines ? | Un gladiateur | Un légionnaire | Un centurion | Un préteur
F | Comment appelait-on un soldat de l'armée romaine ? | Un légionnaire | Un hoplite | Un mercenaire | Un archer
F | Comment appelait-on l'unité de base de l'armée romaine ? | La légion | La phalange | L'escadron | La cohorte des mille
F | Quel peuple habitait la Gaule avant la conquête romaine ? | Les Gaulois | Les Francs | Les Goths | Les Saxons
F | Quel nom romain portait la ville de Paris ? | Lutèce | Lugdunum | Massilia | Burdigala
F | Quel nom romain portait la ville de Lyon ? | Lugdunum | Lutèce | Nemausus | Arelate
F | Quelle religion est née en Judée au début de notre ère ? | Le christianisme | L'islam | Le bouddhisme | L'hindouisme
F | Comment appelle-t-on le calendrier qui compte les années depuis Jésus ? | Le calendrier chrétien | Le calendrier romain | Le calendrier lunaire | Le calendrier républicain
F | Quel océan les Romains n'ont-ils jamais traversé ? | L'Atlantique | La Méditerranée | La mer Noire | La mer Rouge
F | Quelle mer les Romains appelaient-ils « notre mer » ? | La Méditerranée | La mer Noire | La mer Rouge | La Baltique
M | Comment appelait-on l'immeuble d'habitation des villes romaines ? | L'insula | La domus | La villa | Le forum
M | Comment appelait-on la maison d'une riche famille romaine ? | La domus | L'insula | La curie | La basilique
M | Quel produit de base nourrissait le peuple de Rome ? | Le blé | Le riz | Le maïs | La pomme de terre
M | D'où Rome importait-elle l'essentiel de son blé ? | D'Égypte et d'Afrique | De Gaule | De Bretagne | De Germanie
M | Comment appelait-on les distributions gratuites de blé à Rome ? | L'annone | La dîme | Le tribut | Le cens
D | Quelle expression désigne la politique romaine de divertir le peuple ? | Du pain et des jeux | La paix des braves | La loi du plus fort | Le droit du sol
M | Quel statut avaient les esclaves dans le monde romain ? | Ils étaient la propriété d'un maître | Ils étaient citoyens | Ils étaient libres | Ils votaient
D | Comment appelait-on un esclave romain libéré par son maître ? | Un affranchi | Un client | Un plébéien | Un métèque
D | Quel esclave a mené une grande révolte contre Rome en 73 avant J.-C. ? | Spartacus | Hannibal | Vercingétorix | Arminius
M | Quel empereur romain est resté célèbre pour l'incendie de Rome ? | Néron | Auguste | Trajan | Hadrien
D | Sous quel empereur l'empire romain atteint-il sa plus grande étendue ? | Trajan | Auguste | Constantin | Dioclétien
D | Quel édit de 212 accorde la citoyenneté à tous les hommes libres de l'empire ? | L'édit de Caracalla | L'édit de Milan | L'édit de Dioclétien | L'édit de Théodose
M | Quelle monnaie d'argent circulait dans l'empire romain ? | Le denier | La drachme | Le sesterce d'or | Le talent
D | Quel historien romain a raconté les origines de Rome ? | Tite-Live | Tacite | Suétone | Plutarque
D | Quel auteur romain a écrit « La Guerre des Gaules » ? | Jules César | Cicéron | Salluste | Tacite
M | Quelle langue est à l'origine du français ? | Le latin | Le grec | Le gaulois | Le francique
M | Comment appelle-t-on les langues issues du latin ? | Les langues romanes | Les langues germaniques | Les langues slaves | Les langues celtiques
D | Quel peuple germanique a donné son nom à la France ? | Les Francs | Les Wisigoths | Les Burgondes | Les Alamans
M | Quelle grande cité d'Afrique du Nord fut détruite par Rome en 146 avant J.-C. ? | Carthage | Alexandrie | Leptis Magna | Utique
D | Quelle reine d'Égypte fut la dernière du royaume des Ptolémées ? | Cléopâtre | Néfertiti | Hatchepsout | Bérénice
M | Quel calendrier introduit par César compte trois cent soixante-cinq jours ? | Le calendrier julien | Le calendrier grégorien | Le calendrier lunaire | Le calendrier égyptien
D | Quel mois porte le nom du premier empereur romain ? | Août | Juillet | Janvier | Mars
D | Quel mois porte le nom de Jules César ? | Juillet | Août | Juin | Mai
M | Quel matériau les Romains ont-ils inventé pour bâtir voûtes et coupoles ? | Le béton romain | L'acier | La brique cuite | Le verre plat
D | Quel temple de Rome est couvert d'une coupole percée d'un œil ? | Le Panthéon | Le Colisée | Le temple de Vesta | La basilique Julia
M | Comment appelle-t-on un tableau fait de petits morceaux colorés ? | Une mosaïque | Une fresque | Un vitrail | Une tapisserie
D | Quelle ville de Provence conserve un théâtre antique très bien gardé ? | Orange | Aix | Avignon | Marseille
D | Quelles arènes romaines se dressent encore dans le Gard ? | Celles de Nîmes | Celles de Lyon | Celles de Bordeaux | Celles de Reims


# --- Compléments : les derniers repères ---

F | Quel métal a donné son nom à un âge après le bronze ? | Le fer | L'or | L'étain | Le plomb
F | Comment appelle-t-on l'étude des vestiges enfouis dans le sol ? | L'archéologie | La géologie | La paléontologie | L'ethnologie
F | Comment appelle-t-on le lieu où travaillent les archéologues ? | Un chantier de fouilles | Un atelier | Un laboratoire seul | Une carrière
F | Que signifie « avant J.-C. » dans une date ? | Avant la naissance de Jésus | Après la chute de Rome | Avant l'écriture | Avant l'an mille
F | Combien d'années compte un siècle ? | Cent | Dix | Mille | Cinquante
M | Comment appelle-t-on une période de mille ans ? | Un millénaire | Un siècle | Une décennie | Une ère
M | Quelle méthode permet de dater un objet grâce au carbone ? | La datation au carbone 14 | La dendrochronologie | La stratigraphie | La thermoluminescence
M | Comment appelle-t-on l'étude des couches du sol par les archéologues ? | La stratigraphie | La cartographie | La géodésie | La typologie
M | Quel peuple marchand a diffusé l'alphabet en Méditerranée ? | Les Phéniciens | Les Étrusques | Les Scythes | Les Ibères
M | Quelle cité phénicienne a fondé Carthage selon la tradition ? | Tyr | Sidon | Byblos | Ougarit
M | Quel peuple d'Italie a précédé les Romains en Toscane ? | Les Étrusques | Les Samnites | Les Ligures | Les Vénètes
M | Comment appelait-on les colonies grecques fondées en Méditerranée ? | Des cités nouvelles | Des provinces | Des protectorats | Des comptoirs perses
M | Quelle ville du sud de la France fut fondée par des Grecs ? | Marseille | Toulouse | Nice seule | Narbonne
M | Comment appelait-on le chef de guerre élu par les Gaulois d'une tribu ? | Un chef de tribu | Un consul | Un pharaon | Un satrape
D | Quel prêtre gaulois cueillait le gui selon les auteurs antiques ? | Le druide | Le barde | L'augure | Le flamine
D | Quelle bataille de 490 avant J.-C. opposa Athéniens et Perses ? | Marathon | Salamine | Platées | Thermopyles
D | Quelle bataille navale de 480 avant J.-C. sauva la Grèce des Perses ? | Salamine | Marathon | Mycale | Actium
D | Quel roi de Sparte est mort aux Thermopyles ? | Léonidas | Cléomène | Agésilas | Lysandre
D | Quelle guerre a opposé Athènes et Sparte de 431 à 404 avant J.-C. ? | La guerre du Péloponnèse | Les guerres médiques | La guerre de Corinthe | La guerre sacrée
D | Quel empire d'Asie Alexandre le Grand a-t-il abattu ? | L'empire perse | L'empire assyrien | L'empire hittite | L'empire babylonien
