# SVT — Sixième — une question par ligne.
#
# niveau | énoncé ? | bonne réponse | leurre | leurre | leurre
# F facile · M moyen · D difficile
#
# Les propositions sont mêlées au tirage : l'ordre n'a aucune importance.
# Un leurre doit être faux mais crédible — un leurre absurde ne fait pas
# une question, il fait une question à trois propositions.
#
# Le programme de sixième : le peuplement des milieux, la classification du
# vivant, l'origine de la matière, la production alimentaire et la Terre.
#
# Aucun énoncé ne double aucun autre fichier de questions.

! id      | svt-6e
! nom     | SVT — 6e
! de      | de SVT — 6e
! detail  | Le programme de sixième : le vivant, les milieux, la Terre.
! icone   | ladybug
! teinte  | 0.40 0.66 0.36
! rang   | 10
! produit | com.oulhen.riskelo.pack.svt6e


# --- Le peuplement des milieux ---

F | Comment appelle-t-on le lieu où vit un être vivant ? | Son milieu de vie | Sa saison | Sa taille | Son espèce
F | Qu'est-ce qui explique l'alternance du jour et de la nuit ? | La rotation de la Terre | Sa révolution autour du Soleil | La Lune | Les nuages
M | Qu'est-ce qui explique les saisons sur Terre ? | L'inclinaison de l'axe de la Terre | La distance au Soleil | La Lune | Les nuages
M | Combien de saisons compte une année dans nos régions ? | Quatre | Deux | Trois | Six
D | Comment appelle-t-on le jour le plus long de l'année ? | Le solstice d'été | L'équinoxe | Le solstice d'hiver | Le périhélie
D | Comment appelle-t-on le jour où la durée du jour égale celle de la nuit ? | L'équinoxe | Le solstice | Le zénith | L'apogée
M | Quel astre tourne autour de la Terre ? | La Lune | Le Soleil | Mars | Vénus
M | Combien de planètes tournent autour de notre Soleil ? | Huit | Neuf | Sept | Dix
D | Quelle est la planète la plus proche du Soleil ? | Mercure | Vénus | La Terre | Mars
D | Quelle planète voisine de la Terre doit sa couleur à son sol ferreux ? | Mars | Vénus | Jupiter | Saturne
D | Quelle est la plus grosse planète du système solaire ? | Jupiter | Saturne | Neptune | La Terre
M | Qu'est-ce qui rend la vie possible sur Terre et non sur les autres planètes ? | La présence d'eau liquide | Sa couleur | Sa vitesse | Sa taille
D | Quelle enveloppe de gaz entoure la Terre ? | L'atmosphère | L'hydrosphère | La lithosphère | La biosphère
D | Quel gaz est le plus abondant dans l'air ? | L'azote | L'oxygène | Le gaz carbonique | L'argon
M | Quelle part d'oxygène l'air contient-il environ ? | Un cinquième | La moitié | Un dixième | Les trois quarts


# --- Compléments : le vivant et son environnement ---

F | Comment appelle-t-on un être vivant très petit qu'on ne voit pas à l'œil nu ? | Un micro-organisme | Un vertébré | Un mammifère | Un mollusque
M | Comment appelle-t-on l'ensemble des espèces vivantes de la planète ? | La biodiversité | La géodiversité | La classification | Le peuplement
M | Quelle activité humaine détruit le plus les milieux de vie ? | La destruction des habitats | L'observation | La classification | La photographie
M | Comment appelle-t-on la disparition définitive d'une espèce ? | L'extinction | La migration | L'hibernation | La mutation
M | Comment appelle-t-on un espace où la nature est protégée par la loi ? | Une réserve naturelle | Une zone industrielle | Un champ | Une carrière
D | Comment appelle-t-on le retour de la nature sur un terrain abandonné ? | La recolonisation | La déforestation | L'artificialisation | La désertification
M | Comment appelle-t-on la disparition des forêts sous l'action humaine ? | La déforestation | La reforestation | La sédimentation | L'érosion
M | Quel gaz les activités humaines rejettent-elles en excès dans l'air ? | Le dioxyde de carbone | L'oxygène | L'azote | L'hélium
D | Comment appelle-t-on la couche du sol la plus riche en matière organique ? | L'humus | La roche mère | Le sable | L'argile
D | Quel animal du sol participe le plus à l'aération de la terre ? | Le ver de terre | Le criquet | La coccinelle | Le papillon
M | Comment appelle-t-on un animal chassé par un autre ? | Une proie | Un prédateur | Un décomposeur | Un producteur
M | Comment appelle-t-on l'animal qui chasse pour se nourrir ? | Un prédateur | Une proie | Un parasite | Un décomposeur
D | Comment appelle-t-on un être vivant qui vit aux dépens d'un autre sans le tuer ? | Un parasite | Un prédateur | Un décomposeur | Un producteur
D | Comment appelle-t-on l'association profitable à deux espèces ? | Une symbiose | Un parasitisme | Une prédation | Une compétition
D | Comment appelle-t-on la lutte entre deux espèces pour une même ressource ? | La compétition | La symbiose | Le parasitisme | La coopération


# --- Compléments : observer et mesurer ---

F | Quel instrument sert à observer un petit objet de près ? | La loupe | Le télescope | Le microscope électronique | Le baromètre
F | Quel instrument mesure la température ? | Le thermomètre | Le baromètre | L'anémomètre | Le pluviomètre
M | Quel instrument mesure la quantité de pluie tombée ? | Le pluviomètre | Le thermomètre | L'anémomètre | La girouette
M | Quel appareil de la station météo compte la vitesse du vent ? | L'anémomètre | La girouette | Le baromètre | Le thermomètre
M | Quel instrument indique la direction du vent ? | La girouette | L'anémomètre | Le baromètre | Le pluviomètre
D | Quel instrument mesure la pression de l'air ? | Le baromètre | Le thermomètre | L'anémomètre | L'hygromètre
D | Quel appareil de la station météo mesure l'humidité ? | L'hygromètre | Le baromètre | Le pluviomètre | Le thermomètre
M | Comment appelle-t-on un dessin scientifique légendé ? | Un schéma | Une photographie | Un tableau | Un graphique
M | Comment appelle-t-on la question que se pose un scientifique avant une expérience ? | Une hypothèse | Une conclusion | Un résultat | Une loi
D | Comment appelle-t-on l'expérience de référence qui sert de comparaison ? | Le témoin | L'hypothèse | Le protocole | La conclusion
D | Comment appelle-t-on la description précise des étapes d'une expérience ? | Le protocole | La conclusion | L'hypothèse | Le résultat
M | Que fait-on d'une hypothèse que l'expérience contredit ? | On l'abandonne | On la garde | On la répète | On l'oublie


# --- Compléments : le corps et les besoins du vivant ---

F | De quoi tous les êtres vivants ont-ils besoin pour vivre ? | De matière et d'énergie | De bruit | De lumière seule | De vent
F | Quel gaz les animaux absorbent-ils en respirant ? | L'oxygène | Le gaz carbonique | L'azote | L'hélium
F | Quel gaz les animaux rejettent-ils en respirant ? | Le gaz carbonique | L'oxygène | L'azote | L'hydrogène
F | Les plantes respirent-elles aussi ? | Oui, jour et nuit | Non, jamais | Seulement la nuit | Seulement en hiver
F | Comment appelle-t-on la naissance d'une plante à partir d'une graine ? | La germination | La floraison | La fructification | La pollinisation
F | De quoi une graine a-t-elle besoin pour germer ? | D'eau, d'air et de chaleur | De lumière seule | De sel | De vent
F | Quel organe de la fleur devient le fruit ? | L'ovaire | La corolle | L'étamine | Le pédoncule
M | Comment appelle-t-on le transport du pollen d'une fleur à l'autre ? | La pollinisation | La germination | La dispersion | La photosynthèse
M | Quel animal participe le plus à la pollinisation des fleurs ? | L'abeille | Le ver de terre | La taupe | Le lombric
D | Comment appelle-t-on la partie mâle d'une fleur ? | L'étamine | Le pistil | L'ovaire | Le pétale
D | Comment appelle-t-on la partie femelle d'une fleur ? | Le pistil | L'étamine | Le pétale | Le sépale
M | Comment appelle-t-on le transport des graines loin de la plante mère ? | La dispersion | La germination | La pollinisation | La floraison
D | Quel moyen de dispersion la graine de pissenlit utilise-t-elle ? | Le vent | L'eau | Les fourmis | La gravité seule
M | Comment appelle-t-on la reproduction qui demande deux parents ? | La reproduction sexuée | La reproduction asexuée | Le bouturage | Le clonage
D | Comment appelle-t-on la reproduction d'une plante à partir d'un fragment ? | Le bouturage | La pollinisation | La germination | La fécondation
M | Comment appelle-t-on la rencontre d'une cellule mâle et d'une cellule femelle ? | La fécondation | La germination | La digestion | La respiration
D | Comment appelle-t-on la cellule formée par la fécondation ? | La cellule-œuf | La graine | Le pollen | L'ovule
M | Comment appelle-t-on le développement d'un animal qui change de forme ? | La métamorphose | La mue | La migration | L'hibernation
M | Quel insecte connaît une métamorphose complète bien connue ? | Le papillon | Le criquet | La punaise | Le pou
D | Comment appelle-t-on la larve du papillon ? | La chenille | L'asticot | Le têtard | La nymphe
D | Comment appelle-t-on la larve de la grenouille ? | Le têtard | La chenille | L'asticot | La nymphe


# --- Compléments : les milieux et les hommes ---

F | Comment appelle-t-on l'eau que l'on peut boire sans danger ? | L'eau potable | L'eau salée | L'eau usée | L'eau de mer
F | Comment appelle-t-on le lieu où l'on nettoie les eaux sales ? | La station d'épuration | Le château d'eau | La décharge | Le captage
F | Que devient une bouteille de plastique correctement triée ? | Elle est recyclée | Elle est enfouie | Elle est brûlée | Elle est jetée en mer
F | Quel déchet met le plus longtemps à disparaître dans la nature ? | Le plastique | Le papier | La peau de banane | Le carton
F | Comment appelle-t-on un espace vert aménagé en ville ? | Un parc | Une forêt | Une lande | Une prairie sauvage
F | Comment appelle-t-on un jardin où l'on cultive des légumes ? | Un potager | Un verger | Une serre | Une pépinière
F | Comment appelle-t-on un terrain planté d'arbres fruitiers ? | Un verger | Un potager | Une haie | Un bosquet
F | Comment appelle-t-on une rangée d'arbustes qui borde un champ ? | Une haie | Une allée | Une clôture | Une lisière
F | À quoi sert une haie dans un champ ? | Elle abrite de nombreuses espèces | Elle donne du bois seulement | Elle empêche la pluie | Elle réchauffe le sol
F | Comment appelle-t-on le passage de l'eau de la mer aux nuages ? | L'évaporation | La condensation | La précipitation | L'infiltration
F | Comment appelle-t-on la formation des nuages à partir de la vapeur ? | La condensation | L'évaporation | L'infiltration | Le ruissellement
F | Comment appelle-t-on la pluie et la neige qui tombent ? | Les précipitations | L'évaporation | La condensation | L'infiltration
F | Comment appelle-t-on l'eau qui pénètre dans le sol ? | L'infiltration | Le ruissellement | L'évaporation | La condensation
F | Comment appelle-t-on l'eau qui coule à la surface du sol ? | Le ruissellement | L'infiltration | La condensation | L'évaporation
F | Comment appelle-t-on le trajet complet de l'eau sur la planète ? | Le cycle de l'eau | La chaîne alimentaire | Le réseau trophique | La photosynthèse
M | Comment appelle-t-on la réserve d'eau souterraine ? | Une nappe phréatique | Un lac | Un barrage | Un glacier
M | Quelle part de l'eau de la planète est salée ? | Environ 97 % | Environ 50 % | Environ 30 % | Environ 10 %
M | Quel état de l'eau trouve-t-on dans un glacier ? | L'état solide | L'état liquide | L'état gazeux | Les trois
M | En dessous de quelle température l'eau passe-t-elle à l'état solide ? | À zéro degré | À dix degrés | À moins vingt | À cent degrés
M | À quelle température l'eau se met-elle à bouillir en plaine ? | À cent degrés | À cinquante degrés | À zéro degré | À deux cents degrés


# --- Compléments : les vingt-six dernières ---

F | Comment appelle-t-on l'ensemble des os du corps ? | Le squelette | Les muscles | Les organes | La peau
F | Combien d'os compte environ le squelette d'un adulte ? | Environ deux cents | Environ cinquante | Environ mille | Environ vingt
F | Comment appelle-t-on l'endroit où deux os se rejoignent ? | Une articulation | Un muscle | Un tendon | Un nerf
F | Qu'est-ce qui permet à un os de bouger ? | Le muscle qui s'y attache | La peau | Le sang | Le nerf seul
F | Comment appelle-t-on ce qui relie un muscle à un os ? | Un tendon | Un ligament | Un nerf | Un vaisseau
M | Comment appelle-t-on ce qui relie deux os entre eux ? | Un ligament | Un tendon | Un muscle | Un cartilage
M | Comment appelle-t-on la matière souple au bout des os ? | Le cartilage | Le tendon | Le ligament | La moelle
M | Quel organe protège la boîte crânienne ? | Le cerveau | Le cœur | Le foie | L'estomac
M | Quels os protègent le cœur et les poumons ? | Les côtes | Le crâne | Le bassin | Le fémur
M | Quel os de la cuisse est le plus long du squelette ? | Le fémur | Le tibia | L'humérus | Le radius
M | Comment appelle-t-on l'organe qui pompe le sang ? | Le cœur | Le poumon | Le foie | Le rein
M | Comment appelle-t-on les organes qui prennent l'oxygène de l'air ? | Les poumons | Les reins | Le foie | L'estomac
M | Comment appelle-t-on le liquide rouge qui circule dans le corps ? | Le sang | La lymphe | La bile | La salive
M | Comment appelle-t-on les tuyaux qui transportent le sang ? | Les vaisseaux sanguins | Les nerfs | Les tendons | Les os
M | Comment appelle-t-on un vaisseau qui part du cœur ? | Une artère | Une veine | Un capillaire | Un nerf
M | Comment appelle-t-on un vaisseau qui ramène le sang au cœur ? | Une veine | Une artère | Un capillaire | Un tendon
D | Comment appelle-t-on les plus petits vaisseaux du corps ? | Les capillaires | Les artères | Les veines | Les tendons
M | Comment appelle-t-on le trajet des aliments dans le corps ? | La digestion | La respiration | La circulation | L'excrétion
M | Où commence la digestion des aliments ? | Dans la bouche | Dans l'estomac | Dans l'intestin | Dans le foie
M | Quel organe reçoit les aliments après l'œsophage ? | L'estomac | L'intestin grêle | Le côlon | Le foie
D | Dans quel organe les nutriments passent-ils dans le sang ? | L'intestin grêle | L'estomac | La bouche | Le côlon
D | Comment appelle-t-on les substances utiles absorbées par l'intestin ? | Les nutriments | Les déchets | Les fibres seules | Les enzymes
M | Comment appelle-t-on le repas qui apporte tout ce dont le corps a besoin ? | Une alimentation équilibrée | Un régime strict | Un jeûne | Un grignotage
M | Quel groupe d'aliments apporte surtout de l'énergie durable ? | Les féculents | Les fruits | Les produits laitiers | La viande
M | Quel groupe d'aliments apporte surtout du calcium ? | Les produits laitiers | Les féculents | Les huiles | Les légumes verts seuls
D | Combien de repas par jour recommande-t-on généralement aux enfants ? | Quatre | Un | Six | Deux

F | Comment appelle-t-on le fait de jeter un déchet hors des poubelles ? | Une pollution | Un recyclage | Un compostage | Un tri
F | Comment appelle-t-on le tas où l'on transforme les déchets de cuisine en terreau ? | Le compost | La décharge | L'incinérateur | La benne
F | Quels petits êtres vivants transforment le compost ? | Les vers et les micro-organismes | Les oiseaux | Les poissons | Les reptiles
F | Comment appelle-t-on l'air chargé de fumées et de gaz nocifs ? | Un air pollué | Un air sec | Un air humide | Un air froid
F | Quel geste simple économise l'eau à la maison ? | Fermer le robinet en se brossant les dents | Laisser couler l'eau | Prendre deux bains | Arroser à midi
F | Comment appelle-t-on un animal élevé pour sa viande ou son lait ? | Un animal d'élevage | Un animal sauvage | Un animal domestique de compagnie | Un prédateur
F | Comment appelle-t-on une plante cultivée pour être mangée ? | Une plante cultivée | Une plante sauvage | Une plante grimpante | Une plante d'ornement
F | Quel organe de la plante mange-t-on quand on mange une carotte ? | La racine | La tige | La feuille | La fleur
F | Quel organe de la plante mange-t-on quand on mange une salade ? | Les feuilles | Les racines | Les fruits | Les graines
F | Quel organe de la plante mange-t-on quand on mange des petits pois ? | Les graines | Les feuilles | Les racines | Les fleurs
F | Comment appelle-t-on l'endroit où l'on cultive sous abri de verre ? | Une serre | Un champ | Un verger | Une haie
F | Pourquoi cultive-t-on sous serre ? | Pour maîtriser la chaleur et l'humidité | Pour économiser l'eau seulement | Pour éviter la lumière | Pour refroidir les plantes
M | Comment appelle-t-on la couche de terre où poussent les plantes ? | Le sol | La roche mère | Le sable | Le gravier
M | De quoi le sol est-il fait ? | De minéraux et de matière organique | De roche pure | D'eau seule | D'air seul
M | Comment appelle-t-on la lente destruction des roches par l'eau et le gel ? | L'érosion | La sédimentation | La germination | La fermentation
M | Où se déposent les particules arrachées par l'érosion ? | Dans les rivières et la mer | Dans l'air | Dans les nuages | Dans les racines
M | Comment appelle-t-on le dépôt de ces particules ? | La sédimentation | L'érosion | L'évaporation | L'infiltration
M | Comment appelle-t-on la trace d'un être vivant conservée dans la roche ? | Un fossile | Un minéral | Un cristal | Un sédiment
M | Que nous apprend un fossile sur un lieu ? | Qui y vivait autrefois | Le temps qu'il y fera | Sa profondeur | Sa densité
M | Comment appelle-t-on le scientifique qui étudie les fossiles ? | Un paléontologue | Un géologue | Un botaniste | Un zoologiste
