# Géographie — Troisième — une question par ligne.
#
# niveau | énoncé ? | bonne réponse | leurre | leurre | leurre
# F facile · M moyen · D difficile
#
# Les propositions sont mêlées au tirage : l'ordre n'a aucune importance.
# Un leurre doit être faux mais crédible — un leurre absurde ne fait pas
# une question, il fait une question à trois propositions.
#
# Le programme de géographie de troisième : les dynamiques territoriales de la
# France, l'aménagement du territoire, et la France dans l'Union européenne.
#
# Aucun énoncé ne double les autres fichiers de questions.

! id      | geographie-3e
! nom     | Géographie — 3e
! de      | de Géographie — 3e
! detail  | Le programme de troisième : la France, ses territoires, l'Europe.
! icone   | map
! teinte  | 0.30 0.56 0.46
! rang   | 16
! produit | com.oulhen.riskelo.pack.geographie3e


# --- Les aires urbaines ---

F | Comment appelle-t-on une ville et les communes qui vivent d'elle ? | Une aire urbaine | Un département | Un canton | Une région
D | Comment appelait-on les huit villes choisies pour contrebalancer Paris ? | Les métropoles d'équilibre | Les villes nouvelles | Les technopôles | Les préfectures
M | Comment appelle-t-on les villes bâties dans les années 1960 autour de Paris ? | Les villes nouvelles | Les cités-jardins | Les banlieues rouges | Les grands ensembles
F | Quel transport a rapproché les grandes villes françaises depuis 1981 ? | Le TGV | Le métro | Le tramway | L'aéroglisseur
D | Entre quelles villes la première ligne à grande vitesse a-t-elle ouvert ? | Paris et Lyon | Paris et Lille | Paris et Marseille | Lyon et Marseille
F | Quel tunnel relie la France au Royaume-Uni depuis 1994 ? | Le tunnel sous la Manche | Le tunnel du Mont-Blanc | Le tunnel du Fréjus | Le tunnel de Saint-Gothard
D | Comment appelle-t-on le transfert de pouvoirs de l'État aux collectivités ? | La décentralisation | La déconcentration | La privatisation | La subsidiarité
M | Combien de régions compte la France métropolitaine depuis 2016 ? | Treize | Vingt-deux | Dix-huit | Neuf
M | Combien de départements compte la France, outre-mer compris ? | Cent un | Quatre-vingt-quinze | Quatre-vingt-trois | Cent dix
D | Quelle collectivité gère les collèges en France ? | Le département | La région | La commune | L'État
D | Quelle collectivité gère les lycées ? | La région | Le département | La commune | L'académie


# --- Les territoires ultramarins ---

F | Comment appelle-t-on les territoires français hors d'Europe ? | Les territoires ultramarins | Les protectorats | Les colonies | Les dépendances
M | Combien la France compte-t-elle de départements d'outre-mer ? | Cinq | Deux | Huit | Onze
F | Quel département français se trouve en Amérique du Sud ? | La Guyane | La Martinique | La Réunion | Mayotte
F | Dans quel océan se trouve La Réunion ? | L'océan Indien | L'Atlantique | Le Pacifique | L'Arctique
M | Quel territoire est devenu le cent unième département français en 2011 ? | Mayotte | La Guyane | La Réunion | La Guadeloupe
D | Quel territoire français du Pacifique a un statut particulier ? | La Nouvelle-Calédonie | La Martinique | La Guadeloupe | Mayotte
M | D'où partent les fusées européennes en Guyane ? | De Kourou | De Cayenne | De Saint-Laurent | De Sinnamary
M | Quel volcan actif domine l'île de La Réunion ? | Le piton de la Fournaise | La montagne Pelée | Le Stromboli | Le Cantal
D | Quel volcan de Martinique a détruit Saint-Pierre en 1902 ? | La montagne Pelée | Le piton des Neiges | La Soufrière | Le Vésuve
M | Quelle difficulté commune frappe l'économie des territoires ultramarins ? | Le chômage élevé | La surpopulation industrielle | Le manque de soleil | L'absence de tourisme
D | Comment appelle-t-on l'éloignement d'un territoire par rapport à sa métropole ? | L'ultrapériphéricité | L'enclavement | L'insularité | La marginalité
M | Grâce à quoi la France possède la deuxième zone maritime du monde ? | À ses territoires ultramarins | À sa flotte de guerre | À ses ports | À ses fleuves


# --- L'Union européenne ---

F | Combien d'États comptait l'Union européenne après le départ du Royaume-Uni ? | Vingt-sept | Vingt-huit | Vingt-cinq | Trente
F | Comment appelle-t-on le départ du Royaume-Uni de l'Union européenne ? | Le Brexit | Le Grexit | Le Frexit | Le Schengen
M | En quelle année le Royaume-Uni a-t-il quitté l'Union européenne ? | 2020 | 2016 | 2018 | 2022
M | Combien d'États utilisent l'euro comme monnaie ? | Vingt | Vingt-sept | Douze | Quinze
M | Dans quelle ville se réunit le Parlement européen en session plénière ? | Strasbourg | Bruxelles | Luxembourg | Francfort
M | Où siège la Commission européenne ? | À Bruxelles | À Strasbourg | À Luxembourg | À La Haye
D | Où siège la Banque centrale européenne ? | À Francfort | À Bruxelles | À Paris | À Zurich
D | Où siège la Cour de justice de l'Union européenne ? | À Luxembourg | À Strasbourg | À La Haye | À Bruxelles
M | Comment appelle-t-on l'aide européenne aux agriculteurs ? | La politique agricole commune | Le fonds social | Le plan Marshall | Le FEDER
D | Quel fonds européen aide les régions les plus en retard ? | Le FEDER | Le FMI | La BEI | Le FSE
M | Comment appelle-t-on les régions les plus riches d'Europe alignées du nord au sud ? | La dorsale européenne | La diagonale du vide | L'arc atlantique | Le croissant fertile
D | Quel nom imagé donne-t-on à cette dorsale européenne ? | La banane bleue | La ceinture verte | L'arc latin | Le triangle d'or
F | Quelle est la première puissance économique de l'Union européenne ? | L'Allemagne | La France | L'Italie | L'Espagne
M | Quel rang économique la France occupe-t-elle dans l'Union européenne ? | Le deuxième | Le premier | Le quatrième | Le sixième
D | Quel pays a rejoint l'Union européenne en 2013, le dernier en date ? | La Croatie | La Roumanie | La Bulgarie | La Slovénie
M | Quel grand élargissement de 2004 a fait entrer dix États ? | Celui vers l'Europe de l'Est | Celui vers le Nord | Celui vers les Balkans | Celui vers le Sud
D | Quel programme européen permet aux étudiants d'étudier à l'étranger ? | Erasmus | Interreg | Horizon | Leonardo
M | Quelle mer intérieure borde le sud de l'Union européenne ? | La Méditerranée | La mer Baltique | La mer Noire | La mer du Nord
D | Quelle région transfrontalière relie plusieurs pays autour du Rhin supérieur ? | Une eurorégion | Une zone franche | Un couloir | Un district
M | Quelle ville française est le symbole de la réconciliation franco-allemande ? | Strasbourg | Bordeaux | Nantes | Lille
D | Quelle inégalité oppose l'ouest et l'est de l'Union européenne ? | L'écart de richesse | L'écart de climat | L'écart de langue | L'écart de superficie


# --- La France dans le monde ---

M | Quel rang mondial la France occupe-t-elle par son produit intérieur brut ? | Autour du septième | Le premier | Le quinzième | Le vingtième
M | De quel conseil de l'ONU la France est-elle membre permanent ? | Le Conseil de sécurité | Le Conseil économique | Le Conseil des droits | L'Assemblée générale
M | Combien d'États sont membres permanents du Conseil de sécurité ? | Cinq | Trois | Sept | Dix
D | Quel droit ce statut donne-t-il à la France à l'ONU ? | Le droit de veto | Le droit de présidence | Le droit d'exclusion | Le droit d'amendement
M | Comment appelle-t-on l'ensemble des pays où le français est parlé ? | La francophonie | Le Commonwealth | L'hispanophonie | L'Union latine
D | Sur quel continent vivent aujourd'hui le plus de francophones ? | L'Afrique | L'Europe | L'Amérique | L'Asie
M | Quelle langue mondiale la France défend-elle dans les institutions ? | Le français | L'espagnol | L'italien | Le latin
D | Quel réseau culturel français est présent dans le monde entier ? | L'Institut français | Le British Council | Le Goethe-Institut | L'Instituto Cervantes
M | Quel aéroport français reçoit le plus de voyageurs ? | Roissy-Charles-de-Gaulle | Orly | Nice | Lyon-Saint-Exupéry
M | Comment appelle-t-on une entreprise implantée dans plusieurs pays ? | Une firme multinationale | Une coopérative | Une régie | Une société civile
D | Quel groupe français de luxe est le premier du monde ? | LVMH | Nestlé | Unilever | Inditex
D | Quel rang la France occupe-t-elle pour l'exportation de produits agricoles ? | Parmi les six premiers | Le premier | Le vingtième | Le trentième


# --- Compléments : la France et ses milieux ---

F | Quel fleuve français se jette dans l'Atlantique à Saint-Nazaire ? | La Loire | La Seine | La Garonne | La Charente
F | Quel fleuve traverse Lyon avant de rejoindre la Méditerranée ? | Le Rhône | La Loire | La Seine | La Garonne
M | Quel fleuve sépare en partie la France et l'Allemagne ? | Le Rhin | Le Danube | L'Elbe | La Meuse
F | Quel massif sépare la France de l'Espagne ? | Les Pyrénées | Les Alpes | Le Jura | Les Vosges
F | Quel est le plus haut sommet des Alpes françaises ? | Le mont Blanc | Le mont Ventoux | La Meije | Le Grand Paradis
M | Quel climat règne sur la façade atlantique française ? | Le climat océanique | Le climat continental | Le climat méditerranéen | Le climat montagnard
M | Quel climat connaît des étés chauds et secs dans le sud-est ? | Le climat méditerranéen | Le climat océanique | Le climat continental | Le climat de montagne
D | Comment appelle-t-on le vent froid qui descend la vallée du Rhône ? | Le mistral | La tramontane | Le sirocco | La bise
D | Comment appelle-t-on le vent qui souffle du Massif central vers le Languedoc ? | La tramontane | Le mistral | Le foehn | L'autan
M | Quelle région française est la plus exposée aux inondations méditerranéennes ? | Le Sud-Est | La Bretagne | La Normandie | L'Alsace
D | Comment appelle-t-on la montée du niveau de la mer qui menace les côtes ? | L'élévation du niveau marin | L'érosion éolienne | La subsidence | La sédimentation
F | Quelle énergie fournit la majeure partie de l'électricité française ? | Le nucléaire | Le charbon | Le pétrole | Le gaz
M | Comment appelle-t-on une énergie qui ne s'épuise pas ? | Une énergie renouvelable | Une énergie fossile | Une énergie fissile | Une énergie primaire
D | Quel département français produit le plus d'électricité éolienne ? | Un département des Hauts-de-France | Un département des Alpes | Un département de Corse | Un département d'Île-de-France
M | Quel massif forestier immense couvre le sud-ouest de la France ? | La forêt des Landes | La forêt de Fontainebleau | La forêt d'Orléans | La forêt de Tronçais
D | Comment appelle-t-on le passage entre les Pyrénées et le Massif central ? | Le seuil du Lauragais | Le col de la Faucille | La trouée de Belfort | Le seuil de Bourgogne
D | Comment appelle-t-on le passage entre les Vosges et le Jura ? | La trouée de Belfort | Le seuil du Poitou | Le col du Lautaret | Le seuil de Naurouze


# --- Compléments : population et société ---

M | Combien d'habitants compte la France environ ? | Soixante-huit millions | Cinquante millions | Quatre-vingts millions | Cent millions
M | Comment appelle-t-on le nombre d'enfants par femme ? | L'indice de fécondité | Le taux de natalité | Le taux de mortalité | Le solde migratoire
D | Comment appelle-t-on la différence entre naissances et décès ? | Le solde naturel | Le solde migratoire | La croissance totale | La densité
D | Comment appelle-t-on la différence entre entrées et sorties du territoire ? | Le solde migratoire | Le solde naturel | Le taux d'accroissement | La mobilité
M | Comment appelle-t-on le vieillissement d'une population ? | La transition démographique avancée | L'explosion démographique | La transition urbaine | La déprise
M | Quelle région française concentre près d'un Français sur cinq ? | L'Île-de-France | La Bretagne | La Corse | Le Centre-Val de Loire
M | Quelle région française est la moins peuplée ? | La Corse | L'Occitanie | La Normandie | Les Pays de la Loire
D | Vers quelles régions les Français déménagent-ils le plus aujourd'hui ? | L'Ouest et le Sud | Le Nord et l'Est | L'Île-de-France | Les zones de montagne
D | Comment appelle-t-on l'attrait des régions ensoleillées pour les retraités ? | L'héliotropisme | L'exode rural | La migration pendulaire | La périurbanisation
F | Quelle ville française est la plus peuplée après Paris ? | Marseille | Lyon | Toulouse | Nice


# --- Compléments : les villes et leurs quartiers ---

F | Comment appelle-t-on le centre historique d'une ville française ? | Le centre-ville | La couronne | La zone industrielle | Le périurbain
M | Où s'installent aujourd'hui les grandes surfaces commerciales ? | En périphérie | Au centre-ville | Dans les villages | Sur les places
D | Comment appelle-t-on une friche industrielle transformée en quartier ? | Une reconversion urbaine | Un lotissement | Une zone franche | Un écoquartier
M | Comment appelle-t-on un quartier bâti pour économiser l'énergie ? | Un écoquartier | Un grand ensemble | Une cité-jardin | Un lotissement
D | Quel ancien port de Bordeaux a été réaménagé en promenade ? | Les quais de la Garonne | Le Vieux-Port | Les docks de Saint-Nazaire | Le port de la Lune
F | Quel transport urbain propre est revenu dans les villes françaises ? | Le tramway | Le trolleybus | Le funiculaire | Le téléphérique
D | Comment appelle-t-on le fait de bâtir la ville sur elle-même ? | La densification | L'étalement | Le mitage | La périurbanisation
M | Quel document fixe les règles de construction d'une commune ? | Le plan local d'urbanisme | Le cadastre | Le schéma directeur | Le permis de bâtir
D | Comment appelle-t-on un regroupement de communes qui gère des services ? | Une intercommunalité | Un canton | Un arrondissement | Une préfecture
M | Quelle ville française possède le plus ancien métro après Paris ? | Lyon | Marseille | Lille | Toulouse


# --- Compléments : transports et réseaux ---

M | Comment appelle-t-on l'organisation des routes en étoile autour de Paris ? | Un réseau radial | Un réseau maillé | Un réseau linéaire | Un réseau circulaire
D | Quel défaut le réseau français en étoile présente-t-il ? | Il oblige à passer par Paris | Il est trop dense | Il évite les villes | Il ignore les ports
M | Comment appelle-t-on une ville mal reliée aux grands axes ? | Une ville enclavée | Une ville nouvelle | Une ville-centre | Une ville-satellite
D | Quel canal doit relier la Seine au nord de l'Europe ? | Le canal Seine-Nord Europe | Le canal du Midi | Le canal de Bourgogne | Le canal de l'Est
M | Comment appelle-t-on l'accès inégal à Internet selon les territoires ? | La fracture numérique | Le désert médical | L'enclavement | La déprise
D | Quel réseau très rapide équipe progressivement les campagnes françaises ? | La fibre optique | Le télégraphe | Le câble coaxial | Le satellite
M | Quel type de train relie les villes moyennes aux métropoles régionales ? | Le TER | Le TGV | Le RER | Le métro
D | Comment appelle-t-on un lieu où se rejoignent plusieurs moyens de transport ? | Un pôle multimodal | Une gare de triage | Un terminus | Un dépôt


# --- Compléments : l'Union européenne au quotidien ---

F | Quelle monnaie a remplacé le franc en France ? | L'euro | Le mark | La livre | L'écu
M | Que permet l'espace Schengen aux Européens ? | Circuler sans contrôle aux frontières | Voter partout | Travailler sans diplôme | Payer sans impôt
M | Comment appelle-t-on le drapeau de l'Union européenne ? | Douze étoiles sur fond bleu | Un cercle blanc | Trois bandes | Une croix jaune
D | Que célèbre la journée de l'Europe, le 9 mai ? | La déclaration Schuman | Le traité de Rome | La chute du mur | La fin de la guerre
D | Qui a proposé en 1950 de mettre en commun le charbon et l'acier ? | Robert Schuman | Charles de Gaulle | Konrad Adenauer | Jean Monnet
M | Quelle première communauté européenne naît en 1951 ? | La CECA | La CEE | L'UE | L'OTAN
D | Comment appelle-t-on le texte qui fixe les règles applicables dans toute l'Union ? | Un règlement européen | Un décret | Une circulaire | Un arrêté
M | Qui élit les députés du Parlement européen ? | Les citoyens de chaque État | Les gouvernements | La Commission | Les parlements nationaux
D | Tous les combien les Européens élisent-ils leur Parlement ? | Tous les cinq ans | Tous les quatre ans | Tous les six ans | Tous les sept ans
M | Quel pays d'Europe partage la plus longue frontière terrestre avec la France ? | L'Espagne | La Belgique | L'Allemagne | L'Italie


# --- Compléments : la mondialisation vue de France ---

M | Comment appelle-t-on l'ouverture croissante des économies les unes aux autres ? | La mondialisation | La régionalisation | La décentralisation | La colonisation
D | Comment appelle-t-on un lieu où se concentrent les activités mondiales ? | Un pôle de la mondialisation | Une périphérie | Un angle mort | Une marge
M | Quelle ville française pèse le plus dans la mondialisation ? | Paris | Lyon | Marseille | Lille
D | Comment appelle-t-on un territoire laissé de côté par la mondialisation ? | Une marge | Un pôle | Un carrefour | Une interface
M | Comment appelle-t-on la zone de contact entre deux espaces différents ? | Une interface | Une marge | Un pôle | Un couloir
D | Quel type d'interface forme un littoral portuaire très actif ? | Une interface maritime | Une interface terrestre | Une frontière fermée | Un arrière-pays
M | Comment appelle-t-on l'arrière-pays qui approvisionne un port ? | Le hinterland | Le foreland | Le littoral | L'estuaire
D | Quelle organisation mondiale règle le commerce entre États ? | L'OMC | Le FMI | L'OCDE | La BIRD
M | Quel sommet réunit les sept économies les plus développées ? | Le G7 | Le G20 | L'OPEP | L'ASEAN
D | La France est-elle membre du G7 ? | Oui, depuis l'origine | Non, jamais | Depuis 2000 | Seulement comme invitée


# --- Compléments : environnement et risques ---

F | Comment appelle-t-on un événement naturel qui menace les habitants ? | Un risque naturel | Un aléa administratif | Une contrainte | Une nuisance
M | Quel risque naturel touche le plus de communes françaises ? | L'inondation | Le séisme | L'avalanche | L'éruption
D | Quelle région française connaît le risque sismique le plus fort ? | Les Antilles | La Bretagne | Le Bassin parisien | Les Hauts-de-France
M | Comment appelle-t-on un risque lié à l'activité humaine ? | Un risque technologique | Un risque naturel | Un aléa climatique | Une contrainte
D | Quel document informe les habitants des risques de leur commune ? | Le plan de prévention des risques | Le plan local d'urbanisme | Le cadastre | Le schéma directeur
F | Comment appelle-t-on le réchauffement dû aux activités humaines ? | Le changement climatique | L'érosion | La désertification | La subsidence
D | Quel accord international de 2015 vise à limiter le réchauffement ? | L'accord de Paris | Le protocole de Kyoto | L'accord de Rio | Le pacte de Marrakech
M | Comment appelle-t-on un développement qui ménage les générations suivantes ? | Le développement durable | La croissance verte | La décroissance | L'aménagement
D | Quel espace protégé français couvre une partie du Mercantour ? | Un parc national | Un parc régional | Une réserve de chasse | Un site inscrit
M | Comment appelle-t-on la disparition progressive des espèces vivantes ? | L'érosion de la biodiversité | La déprise | La pollution | L'artificialisation
D | Comment appelle-t-on le recouvrement des sols par le béton ? | L'artificialisation | La densification | Le mitage | Le remembrement
M | Quelle mer française est la plus fréquentée par les navires de commerce ? | La Méditerranée | La mer d'Iroise | La mer du Nord | La Manche


# --- Compléments : repères de base ---

F | Quelle est la capitale de la France ? | Paris | Lyon | Bordeaux | Marseille
F | Quel océan borde l'ouest de la France ? | L'Atlantique | Le Pacifique | L'océan Indien | L'Arctique
F | Quelle mer borde le sud de la France ? | La Méditerranée | La mer du Nord | La Baltique | La mer Noire
F | Quelle mer sépare la France de l'Angleterre ? | La Manche | La mer du Nord | La mer d'Irlande | La Baltique
F | Quel pays partage la frontière sud-ouest de la France ? | L'Espagne | L'Italie | La Suisse | La Belgique
F | Quelle île française de Méditerranée forme deux départements ? | La Corse | La Réunion | La Martinique | Ouessant
F | Combien de communes compte la France environ ? | Trente-cinq mille | Cinq mille | Cent mille | Deux mille
F | Comment appelle-t-on l'élu à la tête d'une commune ? | Le maire | Le préfet | Le député | Le conseiller
F | Comment appelle-t-on le représentant de l'État dans un département ? | Le préfet | Le maire | Le sénateur | Le recteur
F | Quel pays partage avec la France la frontière la plus au nord ? | La Belgique | L'Espagne | L'Italie | L'Allemagne
F | Quelle grande ville se trouve à l'embouchure du Rhône ? | Marseille | Nice | Montpellier | Perpignan
F | Quelle ville française est surnommée la capitale des Gaules ? | Lyon | Reims | Nîmes | Arles
F | Dans quelle ville siège l'Assemblée nationale ? | Paris | Versailles | Strasbourg | Lyon
F | Quel massif volcanique se trouve en Auvergne ? | La chaîne des Puys | Les Vosges | Le Jura | Les Maures
F | Quelle est la plus grande forêt d'Europe occidentale ? | La forêt des Landes | La forêt Noire | La forêt de Sherwood | La forêt de Białowieża
F | Quel département français est aussi une île entière ? | Aucun, la Corse en compte deux | La Vendée | Le Morbihan | La Manche
F | Quelle ville du nord de la France est la plus peuplée ? | Lille | Amiens | Arras | Dunkerque
F | Quel fleuve arrose Toulouse avant de rejoindre Bordeaux ? | La Garonne | La Loire | Le Rhône | L'Adour
