# Rock 70-80 — une question par ligne.
#
# niveau | énoncé ? | bonne réponse | leurre | leurre | leurre
# F facile · M moyen · D difficile
#
# Les propositions sont mêlées au tirage : l'ordre n'a aucune importance.
# Un leurre doit être faux mais crédible — un leurre absurde ne fait pas
# une question, il fait une question à trois propositions.
#
# Les groupes et les voix des années 1970 et 1980, ici et ailleurs : qui
# chantait, qui tenait quel instrument, d'où venait le groupe, et qui a signé
# quel titre. La chanson française de la même époque complète le tableau.
#
# Deux pièges de forme, propres à ce thème. L'énoncé ne porte qu'un seul point
# d'interrogation : on ne cite donc jamais un titre qui en contient un. Et le
# nom d'un groupe tient dans quarante-six signes — ce qui va de soi, sauf pour
# les formations à rallonge, qu'on désigne alors par leur nom d'usage.

! id      | rock-70-80
! nom     | Rock 70-80
! de      | de Rock 70-80
! detail  | Les groupes, les voix et les rôles, en France et ailleurs.
! icone   | guitars
! teinte  | 0.86 0.34 0.52
! rang   | 6
! produit | com.oulhen.riskelo.pack.rock7080


# --- Les groupes britanniques : les voix ---

F | Qui chantait dans Queen ? | Freddie Mercury | Brian May | Roger Taylor | John Deacon
M | De quel quartier de New York viennent les Ramones ? | Le Queens | Le Bronx | Brooklyn | Manhattan
F | De quel État américain vient Bruce Springsteen ? | Le New Jersey | La Californie | Le Texas | l'Ohio
F | De quelle ville américaine vient Prince ? | Minneapolis | Detroit | Memphis | Nashville
D | Quel groupe américain doit son nom à la ville dont il vient ? | Boston | Chicago | Kansas | Les trois
D | De quel pays sont nés les frères Van Halen avant d'émigrer ? | Les Pays-Bas | L'Allemagne | La Belgique | Le Danemark
M | De quel pays sont nés les frères Young d'AC/DC avant d'émigrer ? | L'Écosse | L'Irlande | Le pays de Galles | L'Angleterre
D | Quel groupe de Fleetwood Mac mêlait Britanniques et Américains ? | Fleetwood Mac lui-même | Les Eagles | Les Doobie Brothers | Journey


# --- Les groupes américains et australiens ---

F | Qui chantait dans AC/DC avant 1980 ? | Bon Scott | Brian Johnson | Angus Young | Malcolm Young
F | Qui a remplacé Bon Scott au chant dans AC/DC ? | Brian Johnson | Angus Young | Cliff Williams | Phil Rudd
F | Quel instrument Angus Young tient-il dans AC/DC ? | La guitare solo | La batterie | La basse | Le clavier
M | Quel instrument Malcolm Young tenait-il dans AC/DC ? | La guitare rythmique | La batterie | La basse | Le chant
M | Quelle tenue de scène Angus Young porte-t-il ? | Un uniforme d'écolier | Un smoking | Une cape | Une combinaison
F | Qui chantait dans Aerosmith ? | Steven Tyler | Joe Perry | Tom Hamilton | Joey Kramer
M | Quel guitariste accompagne Steven Tyler dans Aerosmith ? | Joe Perry | Brad Whitford | Tom Hamilton | Joey Kramer
F | Quel instrument Gene Simmons tient-il dans Kiss ? | La basse | La guitare solo | La batterie | Le clavier
M | Qui partage le chant avec Gene Simmons dans Kiss ? | Paul Stanley | Ace Frehley | Peter Criss | Vinnie Vincent
D | Quel maquillage Gene Simmons porte-t-il sur scène ? | Le démon | Le chat | L'homme de l'espace | La star
F | Quel guitariste virtuose menait Van Halen ? | Eddie Van Halen | Alex Van Halen | Michael Anthony | David Lee Roth
F | Qui chantait dans Van Halen avant Sammy Hagar ? | David Lee Roth | Michael Anthony | Alex Van Halen | Gary Cherone
F | Qui chantait dans Bon Jovi ? | Jon Bon Jovi | Richie Sambora | David Bryan | Tico Torres
M | Quel guitariste accompagnait Jon Bon Jovi ? | Richie Sambora | David Bryan | Alec John Such | Tico Torres
F | Qui chantait dans Blondie ? | Debbie Harry | Chris Stein | Clem Burke | Jimmy Destri
M | Qui chantait dans Talking Heads ? | David Byrne | Tina Weymouth | Chris Frantz | Jerry Harrison
M | Quel instrument Tina Weymouth tenait-elle dans Talking Heads ? | La basse | La batterie | La guitare | Les claviers
M | Qui chantait dans Journey dans les années 1980 ? | Steve Perry | Neal Schon | Jonathan Cain | Ross Valory
M | Qui chantait dans Toto sur « Africa » ? | Bobby Kimball | Steve Lukather | David Paich | Jeff Porcaro
D | Quel batteur de Toto était très demandé en studio ? | Jeff Porcaro | Steve Lukather | David Hungate | Bobby Kimball
F | Qui chantait dans les Eagles sur « Hotel California » ? | Don Henley | Glenn Frey | Joe Walsh | Don Felder
M | Quel instrument Don Henley tenait-il dans les Eagles en chantant ? | La batterie | La guitare | La basse | Le piano
F | Qui chante dans Rush ? | Geddy Lee | Alex Lifeson | Neil Peart | Personne
M | Quel instrument Geddy Lee tient-il en plus de chanter ? | La basse | La guitare | La batterie | Le saxophone
D | Quel batteur de Rush écrivait aussi les textes ? | Neil Peart | Geddy Lee | Alex Lifeson | John Rutsey
M | Qui chantait dans INXS ? | Michael Hutchence | Andrew Farriss | Tim Farriss | Garry Beers
M | Qui chantait dans Thin Lizzy ? | Phil Lynott | Scott Gorham | Brian Downey | Eric Bell
D | Quel instrument Phil Lynott tenait-il en chantant ? | La basse | La guitare | La batterie | Le clavier
D | Qui chantait dans Midnight Oil ? | Peter Garrett | Jim Moginie | Rob Hirst | Martin Rotsey
M | Qui chante dans Scorpions ? | Klaus Meine | Rudolf Schenker | Matthias Jabs | Herman Rarebell


# --- Qui chante quoi ---

F | Quel groupe a enregistré « Bohemian Rhapsody » ? | Queen | Led Zeppelin | Pink Floyd | The Who
F | Quel groupe a enregistré « Stairway to Heaven » ? | Led Zeppelin | Deep Purple | Black Sabbath | Queen
F | Quel groupe a enregistré « Smoke on the Water » ? | Deep Purple | Led Zeppelin | Black Sabbath | Rainbow
F | Quel groupe a enregistré « Hotel California » ? | Les Eagles | Fleetwood Mac | Journey | Boston
F | Quel groupe a enregistré « Another Brick in the Wall » ? | Pink Floyd | Genesis | Yes | King Crimson
F | Quel groupe a enregistré « Highway to Hell » ? | AC/DC | Judas Priest | Iron Maiden | Motörhead
F | Quel groupe a enregistré « Back in Black » ? | AC/DC | Black Sabbath | Deep Purple | Whitesnake
F | Quel groupe a enregistré « Sultans of Swing » ? | Dire Straits | The Police | Supertramp | Genesis
F | Quel groupe a enregistré « Money for Nothing » ? | Dire Straits | Toto | Journey | Foreigner
F | Quel groupe a enregistré « Every Breath You Take » ? | The Police | The Cure | Duran Duran | Simple Minds
F | Quel groupe a enregistré « Roxanne » ? | The Police | The Clash | The Jam | The Cure
F | Quel groupe a enregistré « London Calling » ? | The Clash | Sex Pistols | The Jam | The Damned
M | Quel groupe a enregistré « Anarchy in the U.K. » ? | Les Sex Pistols | The Clash | The Damned | Buzzcocks
F | Quel groupe a enregistré « Africa » ? | Toto | Journey | Foreigner | Chicago
F | Quel groupe a enregistré « The Final Countdown » ? | Europe | Scorpions | Bon Jovi | Van Halen
F | Quel groupe a enregistré « Take on Me » ? | a-ha | Duran Duran | Wham! | Spandau Ballet
M | Quel groupe a enregistré « Sweet Home Alabama » ? | Lynyrd Skynyrd | The Allman Brothers | ZZ Top | The Doobie Brothers
M | Quel groupe a enregistré « Radar Love » ? | Golden Earring | Status Quo | Nazareth | Uriah Heep
M | Quel groupe a enregistré « Down Under » ? | Men at Work | INXS | Midnight Oil | Crowded House
F | Quel groupe a enregistré « Wind of Change » ? | Scorpions | Europe | Bon Jovi | Whitesnake
F | Quel groupe a enregistré « Dancing Queen » ? | ABBA | Boney M | The Bee Gees | Chic
F | Quel groupe a enregistré « Stayin' Alive » ? | Les Bee Gees | ABBA | Chic | Village People
M | Quel groupe a enregistré « Rock the Casbah » ? | The Clash | The Police | Talking Heads | Blondie
D | Quel groupe a enregistré « Call Me » pour un film de 1980 ? | Blondie | The Pretenders | The B-52's | Devo
M | Quel groupe a enregistré « Psycho Killer » ? | Talking Heads | Television | Blondie | The Ramones
M | Quel groupe a enregistré « Blitzkrieg Bop » ? | Les Ramones | The Clash | The Damned | New York Dolls
D | Quel groupe a enregistré « The Boys Are Back in Town » ? | Thin Lizzy | Status Quo | Bad Company | Free
D | Quel groupe a enregistré « Owner of a Lonely Heart » ? | Yes | Genesis | Asia | Rush
D | Quel groupe a enregistré « Tom Sawyer » ? | Rush | Yes | Kansas | Styx
D | Quel groupe a enregistré « The Logical Song » ? | Supertramp | 10cc | Electric Light Orchestra | Genesis
M | Quel groupe a enregistré « Don't Stop Believin' » ? | Journey | Foreigner | Boston | Survivor
M | Quel groupe a enregistré « Eye of the Tiger » ? | Survivor | Journey | Foreigner | Toto
D | Quel groupe a enregistré « Beds Are Burning » ? | Midnight Oil | INXS | Men at Work | Crowded House
M | Quel groupe a enregistré « Need You Tonight » ? | INXS | Duran Duran | Simple Minds | Tears for Fears
M | Quel groupe a enregistré « Don't You Forget About Me » ? | Simple Minds | The Cure | Tears for Fears | Ultravox


# --- Les artistes solo ---

F | Quel chanteur britannique a créé le personnage de Ziggy Stardust ? | David Bowie | Elton John | Rod Stewart | Bryan Ferry
F | Quel chanteur américain est surnommé « The Boss » ? | Bruce Springsteen | Billy Joel | Bob Seger | Tom Petty
F | Quel chanteur américain a publié l'album « Thriller » ? | Michael Jackson | Prince | Lionel Richie | Stevie Wonder
F | De quel groupe familial Michael Jackson venait-il ? | Les Jackson Five | Les Osmonds | Les Bee Gees | Les Isley Brothers
F | Quel artiste américain a publié « Purple Rain » ? | Prince | Michael Jackson | Rick James | Lionel Richie
F | Quel chanteur britannique s'est fait connaître au piano avec des lunettes voyantes ? | Elton John | Billy Joel | Rick Wakeman | Freddie Mercury
M | Quel chanteur britannique venait du groupe The Faces ? | Rod Stewart | Robert Plant | Roger Daltrey | Steve Marriott
F | Quel chanteur a quitté Genesis pour une carrière solo en 1975 ? | Peter Gabriel | Phil Collins | Tony Banks | Mike Rutherford
F | Quel batteur de Genesis a réussi une grande carrière solo ? | Phil Collins | Peter Gabriel | Chester Thompson | Bill Bruford
F | Quel chanteur a quitté The Police pour une carrière solo ? | Sting | Andy Summers | Stewart Copeland | Henry Padovani
F | Quelle chanteuse américaine a triomphé avec « Private Dancer » ? | Tina Turner | Diana Ross | Donna Summer | Gladys Knight
M | Quelle chanteuse britannique a chanté « Wuthering Heights » ? | Kate Bush | Annie Lennox | Siouxsie Sioux | Sade
F | Quelle chanteuse américaine a lancé « Like a Virgin » en 1984 ? | Madonna | Cyndi Lauper | Whitney Houston | Pat Benatar
M | Quelle chanteuse américaine a chanté « Girls Just Want to Have Fun » ? | Cyndi Lauper | Madonna | Debbie Harry | Belinda Carlisle
M | Quel chanteur britannique venait du groupe Generation X ? | Billy Idol | Adam Ant | Boy George | Gary Numan
D | Quel chanteur menait le groupe Culture Club ? | Boy George | Marilyn | Adam Ant | Steve Strange
M | Quel duo britannique réunissait Annie Lennox et Dave Stewart ? | Eurythmics | Yazoo | Soft Cell | Pet Shop Boys
M | Quel duo britannique réunissait George Michael et Andrew Ridgeley ? | Wham! | Erasure | Tears for Fears | Bros
M | Quel chanteur menait Roxy Music ? | Bryan Ferry | Brian Eno | Phil Manzanera | Andy Mackay
D | Quel musicien a quitté Roxy Music pour explorer la musique ambiante ? | Brian Eno | Bryan Ferry | Phil Manzanera | Paul Thompson
M | Quel chanteur américain a mené le groupe The Doors jusqu'en 1971 ? | Jim Morrison | Ray Manzarek | Robby Krieger | John Densmore
M | Quel guitariste américain est mort en 1970 après Woodstock ? | Jimi Hendrix | Duane Allman | Terry Kath | Danny Whitten
M | Quelle chanteuse américaine est morte en 1970, voix du blues rock ? | Janis Joplin | Grace Slick | Mama Cass | Karen Carpenter


# --- Les albums et les dates ---

F | Quel album de Pink Floyd est paru en 1973 avec un prisme sur la pochette ? | The Dark Side of the Moon | The Wall | Wish You Were Here | Animals
M | Quel album de Pink Floyd est paru en 1979 et raconte un mur ? | The Wall | Animals | Meddle | The Final Cut
F | Quel album d'AC/DC de 1980 est le premier avec Brian Johnson ? | Back in Black | Highway to Hell | For Those About to Rock | Flick of the Switch
M | Quel album de Dire Straits de 1985 s'est vendu par millions ? | Brothers in Arms | Making Movies | Love Over Gold | Communiqué
F | Quel album de Michael Jackson de 1982 est le plus vendu de l'histoire ? | Thriller | Bad | Off the Wall | Dangerous
F | Quel album de Bruce Springsteen de 1984 porte un drapeau américain ? | Born in the U.S.A. | Nebraska | The River | Born to Run
F | Quel album de Prince de 1984 accompagnait un film ? | Purple Rain | 1999 | Sign o' the Times | Controversy
F | Quel album de Queen de 1975 contient « Bohemian Rhapsody » ? | A Night at the Opera | News of the World | A Day at the Races | Jazz
M | Quel album de Fleetwood Mac de 1977 est un des plus vendus ? | Rumours | Tusk | Mirage | Tango in the Night
M | Quel album des Eagles de 1976 porte le nom d'un hôtel ? | Hotel California | Desperado | On the Border | The Long Run
D | Quel album de Led Zeppelin n'a pas de titre officiel ? | Le quatrième | Le premier | Le deuxième | Le cinquième
D | Quel symbole figure sur la pochette du quatrième album de Led Zeppelin ? | Un vieil homme portant du bois | Un dirigeable | Un prisme | Une pomme
D | Quel album de Bowie de 1977 a été enregistré à Berlin ? | Heroes | Let's Dance | Hunky Dory | Aladdin Sane
M | Quel album de Bowie de 1983 l'a rendu populaire au grand public ? | Let's Dance | Low | Station to Station | Scary Monsters
M | Quel album de The Clash de 1979 porte le nom d'une capitale ? | London Calling | Combat Rock | Sandinista | Give 'Em Enough Rope
M | Quel album de Supertramp de 1979 évoque le petit-déjeuner ? | Breakfast in America | Crime of the Century | Crisis, What Crisis | Even in the Quietest Moments
D | Quel album de Genesis de 1974 raconte l'histoire de Rael ? | The Lamb Lies Down on Broadway | Foxtrot | Selling England by the Pound | Trespass
M | Quel album d'Iron Maiden de 1982 a une bête pour titre ? | The Number of the Beast | Killers | Powerslave | Piece of Mind
D | Quel album de Metallica de 1986 précède la mort de son bassiste ? | Master of Puppets | Kill 'Em All | Ride the Lightning | And Justice for All
D | Quel bassiste de Metallica est mort dans un accident en 1986 ? | Cliff Burton | Jason Newsted | Ron McGovney | Robert Trujillo


# --- Les grands moments ---

F | Quel grand concert de charité a eu lieu en juillet 1985 ? | Le Live Aid | Woodstock | Monterey | L'Isle of Wight
F | Dans quelles deux villes le Live Aid s'est-il tenu ? | Londres et Philadelphie | Paris et New York | Berlin et Chicago | Rome et Boston
F | Quel groupe a marqué les esprits par sa prestation au Live Aid ? | Queen | Led Zeppelin | Pink Floyd | The Rolling Stones
M | Quel chanteur a lancé Band Aid en 1984 ? | Bob Geldof | Sting | Phil Collins | Midge Ure
M | Avec quel musicien Bob Geldof a-t-il écrit le titre de Band Aid ? | Midge Ure | Sting | Phil Collins | George Michael
F | Quel collectif américain a répondu à Band Aid en 1985 ? | USA for Africa | Live Aid | Farm Aid | Artists United
F | Quel titre ce collectif américain a-t-il enregistré ? | We Are the World | Feed the World | Give Peace a Chance | Hands Across America
M | Quels deux auteurs ont écrit ce titre américain ? | Michael Jackson et Lionel Richie | Quincy Jones et Prince | Stevie Wonder et Ray Charles | Bruce Springsteen et Bob Dylan
M | Quel batteur a joué à Londres puis à Philadelphie le même jour du Live Aid ? | Phil Collins | Roger Taylor | Charlie Watts | Nick Mason
F | Quel festival américain de 1969 reste le symbole d'une génération ? | Woodstock | Altamont | Monterey | Newport
D | Quel concert des Rolling Stones de 1969 a mal tourné en Californie ? | Altamont | Woodstock | Hyde Park | Monterey
F | Quelle chaîne musicale a été lancée aux États-Unis en 1981 ? | MTV | VH1 | BET | CNN
D | Quel clip a ouvert les programmes de MTV en 1981 ? | Video Killed the Radio Star | Thriller | Take on Me | Money for Nothing
D | Quel groupe interprétait ce premier clip diffusé par MTV ? | The Buggles | The Police | Duran Duran | Blondie
F | Quel long clip de Michael Jackson de 1983 ressemble à un film ? | Thriller | Beat It | Bad | Smooth Criminal
M | Quel guitariste de rock joue le solo de « Beat It » ? | Eddie Van Halen | Steve Lukather | Slash | Joe Perry
M | Quel duo Queen et David Bowie ont-ils enregistré en 1981 ? | Under Pressure | Heroes | Let's Dance | Modern Love
D | À quel âge Freddie Mercury est-il mort en 1991 ? | Quarante-cinq ans | Cinquante-cinq ans | Trente-cinq ans | Soixante ans
M | Quel batteur de Led Zeppelin est mort en 1980, entraînant la fin du groupe ? | John Bonham | John Paul Jones | Jimmy Page | Robert Plant
M | Quel ancien Beatle a été assassiné à New York en 1980 ? | John Lennon | George Harrison | Ringo Starr | Paul McCartney


# --- Le rock français ---

F | Qui chantait dans le groupe Téléphone ? | Jean-Louis Aubert | Louis Bertignac | Richard Kolinka | Corine Marienneau
F | Quel guitariste accompagnait Jean-Louis Aubert dans Téléphone ? | Louis Bertignac | Richard Kolinka | Corine Marienneau | Nono Krief
M | Quelle musicienne tenait la basse dans Téléphone ? | Corine Marienneau | Catherine Ringer | Muriel Moreno | Elli Medeiros
M | Qui tenait la batterie dans Téléphone ? | Richard Kolinka | Louis Bertignac | Jean-Louis Aubert | Nono Krief
M | En quelle année le groupe Téléphone s'est-il séparé ? | 1986 | 1981 | 1990 | 1978
F | Quel titre de Téléphone parle d'un conte détourné ? | Cendrillon | Ça c'est vraiment toi | New York avec toi | Un autre monde
M | Quel titre de Téléphone évoque une grande ville américaine ? | New York avec toi | Cendrillon | La Bombe humaine | Argent trop cher
M | Qui chantait dans le groupe Trust ? | Bernie Bonvoisin | Nono Krief | Yves Brusco | Vivi Lalanne
M | Quel guitariste menait Trust avec Bernie Bonvoisin ? | Nono Krief | Louis Bertignac | Yves Brusco | Farid Medjane
M | Quel titre de Trust de 1980 est devenu un hymne ? | Antisocial | Au nom de la race | Repression | Le Mitard
F | Qui chante dans le groupe Indochine ? | Nicola Sirkis | Dominique Nicolas | Dimitri Bodianski | Stéphane Sirkis
F | Quel titre a lancé Indochine en 1982 ? | L'Aventurier | Trois nuits par semaine | Canary Bay | Tes yeux noirs
M | Quel titre d'Indochine de 1985 parle des nuits de la semaine ? | Trois nuits par semaine | L'Aventurier | Canary Bay | Miss Paramount
M | Quel duo formait Les Rita Mitsouko ? | Catherine Ringer et Fred Chichin | Muriel Moreno et Daniel Chenevez | Elli et Jacno | Lio et Jacques Duvall
M | Quel titre des Rita Mitsouko de 1985 porte un prénom ? | Marcia Baila | Andy | C'est comme ça | Les Histoires d'A
D | À qui « Marcia Baila » rendait-il hommage ? | Une danseuse et chorégraphe | Une actrice | Une peintre | Une romancière
M | Quel duo formait le groupe Niagara ? | Muriel Moreno et Daniel Chenevez | Catherine Ringer et Fred Chichin | Elli et Jacno | Corynne et Bernard
D | Quel titre de Niagara évoque un pistolet et un homme ? | Tchiki boum | Marcia Baila | Cargo | Voyage voyage
M | Quel groupe de rock français des années 1970 venait de Lyon ? | Starshooter | Téléphone | Trust | Bijou
D | Quel groupe français de rock progressif portait un nom d'un seul mot court ? | Ange | Magma | Gong | Atoll
D | Quel groupe français a inventé une langue imaginaire pour ses textes ? | Magma | Ange | Téléphone | Trust
M | Quel batteur a fondé le groupe Magma ? | Christian Vander | Richard Kolinka | Farid Medjane | Manu Katché
D | Quel groupe de new wave française menait Daniel Darc ? | Taxi Girl | Marquis de Sade | Kas Product | Jacno
D | Quel musicien français a signé l'instrumental « Rectangle » en 1979 ? | Jacno | Jean-Michel Jarre | Richard Pinhas | Bernard Szajner
F | Quel musicien français a triomphé avec l'album « Oxygène » en 1976 ? | Jean-Michel Jarre | Vangelis | Cerrone | Space
D | Quel musicien français de disco a signé « Supernature » en 1977 ? | Cerrone | Patrick Juvet | Alec Costandinos | Marc Cerrone seul


# --- La chanson française des années 70 ---

F | Quel chanteur français est surnommé « l'idole des jeunes » ? | Johnny Hallyday | Eddy Mitchell | Claude François | Dick Rivers
M | De quel groupe Eddy Mitchell venait-il ? | Les Chaussettes noires | Les Chats sauvages | Les Pirates | Les Vautours
M | De quel groupe Dick Rivers venait-il ? | Les Chats sauvages | Les Chaussettes noires | Les Pirates | Les Missiles
M | Quel chanteur français a écrit « Lettre à France » en 1977 ? | Michel Polnareff | Michel Berger | Julien Clerc | Alain Souchon
M | Quelle particularité visuelle Michel Polnareff a-t-il rendue célèbre ? | Ses lunettes blanches | Son chapeau | Sa canne | Sa cape
M | Quel chanteur a enregistré « Aux armes et cætera » en version reggae ? | Serge Gainsbourg | Jacques Dutronc | Alain Bashung | Bernard Lavilliers
