# SVT — Quatrième — une question par ligne.
#
# niveau | énoncé ? | bonne réponse | leurre | leurre | leurre
# F facile · M moyen · D difficile
#
# Les propositions sont mêlées au tirage : l'ordre n'a aucune importance.
# Un leurre doit être faux mais crédible — un leurre absurde ne fait pas
# une question, il fait une question à trois propositions.
#
# Le programme de quatrième : la reproduction, la tectonique des plaques,
# les volcans, les séismes et l'énergie.
#
# Aucun énoncé ne double aucun autre fichier de questions.

! id      | svt-4e
! nom     | SVT — 4e
! de      | de SVT — 4e
! detail  | Le programme de quatrième : reproduction, volcans, séismes.
! icone   | mountain.2
! teinte  | 0.62 0.44 0.28
! rang   | 17
! produit | com.oulhen.riskelo.pack.svt4e


# --- La tectonique des plaques ---

F | Comment appelle-t-on les grands morceaux rigides de la surface terrestre ? | Les plaques lithosphériques | Les continents seuls | Les océans | Les massifs
M | Comment appelle-t-on la cassure le long de laquelle les roches glissent ? | Une faille | Une dorsale | Une fosse | Un cratère
M | Comment appelle-t-on les ondes qui se propagent lors d'un séisme ? | Les ondes sismiques | Les ondes sonores | Les ondes lumineuses | Les marées
F | Quel appareil enregistre les séismes ? | Le sismographe | Le baromètre | L'anémomètre | Le thermomètre
D | Comment appelle-t-on le tracé produit par un sismographe ? | Un sismogramme | Un cardiogramme | Un diagramme | Un graphique de pression
M | Quelle échelle mesure l'énergie libérée par un séisme ? | L'échelle de Richter | L'échelle de Beaufort | L'échelle de Mohs | L'échelle Celsius
M | Quelle échelle mesure les dégâts observés d'un séisme ? | L'échelle de Mercalli | L'échelle de Richter | L'échelle de Beaufort | L'échelle de Mohs
F | Quelle vague géante un séisme sous-marin peut-il déclencher ? | Un tsunami | Une marée d'équinoxe | Un ressac | Une houle
M | Où les séismes sont-ils les plus fréquents ? | Aux limites des plaques | Au centre des continents | Au pôle Nord | Dans les déserts
M | Comment appelle-t-on une secousse qui suit le séisme principal ? | Une réplique | Une prémisse | Un choc initial | Une onde de fond
M | Comment se protéger d'un séisme dans une région à risque ? | En construisant parasismique | En bâtissant plus haut | En creusant plus profond | En évitant le béton
M | Peut-on prévoir la date exacte d'un séisme ? | Non | Oui | Une semaine avant | Un jour avant


# --- Le volcanisme ---

F | Comment appelle-t-on la roche fondue sous un volcan ? | Le magma | La lave | La cendre | La ponce
F | Comment appelle-t-on cette roche fondue une fois sortie du volcan ? | La lave | Le magma | La cendre | La ponce
M | Comment appelle-t-on l'ouverture par laquelle sort la lave ? | Le cratère | La faille | La fosse | Le foyer
M | Comment appelle-t-on la vaste dépression laissée par un volcan effondré ? | Une caldeira | Un cratère | Une faille | Un cône
M | Comment appelle-t-on le conduit qui amène le magma vers la surface ? | La cheminée | Le cratère | La caldeira | La faille
M | Comment appelle-t-on le réservoir de magma sous un volcan ? | La chambre magmatique | La caldeira | Le cratère | La cheminée
M | Quel type d'éruption laisse la lave couler tranquillement ? | Une éruption effusive | Une éruption explosive | Une éruption phréatique | Une éruption sous-marine
M | Quel type d'éruption projette cendres et blocs avec violence ? | Une éruption explosive | Une éruption effusive | Une éruption calme | Une éruption fissurale
D | Quel caractère de la lave explique une éruption explosive ? | Une lave visqueuse | Une lave fluide | Une lave froide | Une lave légère
M | Comment appelle-t-on un nuage brûlant de gaz et de cendres qui dévale un volcan ? | Une nuée ardente | Une coulée de lave | Une avalanche | Un lahar
D | Comment appelle-t-on une coulée de boue volcanique ? | Un lahar | Une nuée ardente | Une caldeira | Une fumerolle
F | Quel volcan italien a enseveli Pompéi ? | Le Vésuve | L'Etna | Le Stromboli | Le Vulcano
F | Quel volcan de Sicile est le plus haut d'Europe ? | L'Etna | Le Vésuve | Le Stromboli | Le Teide
F | Quel volcan actif se trouve à La Réunion ? | Le piton de la Fournaise | La montagne Pelée | La Soufrière | Le Cantal
M | Quelle roche volcanique très légère flotte sur l'eau ? | La pierre ponce | Le basalte | Le granite | L'obsidienne
D | Quelle roche volcanique noire et vitreuse forme un verre naturel ? | L'obsidienne | La ponce | Le tuf | Le basalte
M | Où trouve-t-on la plupart des volcans du monde ? | Aux limites des plaques | Au centre des océans seulement | Aux pôles | Dans les plaines
M | Comment appelle-t-on la ceinture volcanique qui entoure le Pacifique ? | La ceinture de feu | La ceinture verte | L'arc atlantique | La dorsale médiane
D | Comment appelle-t-on un volcan né loin des limites de plaques ? | Un volcan de point chaud | Un volcan de subduction | Un volcan de dorsale | Un volcan de rift
M | Quel archipel du Pacifique est né d'un point chaud ? | Hawaï | Les Açores | Les Canaries | Les Galápagos


# --- La reproduction ---

F | Comment appelle-t-on la cellule reproductrice mâle chez l'animal ? | Le spermatozoïde | L'ovule | La cellule-œuf | Le zygote seul
F | Comment appelle-t-on la cellule reproductrice femelle chez l'animal ? | L'ovule | Le spermatozoïde | La cellule-œuf | L'embryon
M | Comment appelle-t-on la rencontre d'un spermatozoïde et d'un ovule ? | La fécondation | La nidation | La gestation | L'ovulation
M | Comment appelle-t-on la cellule unique issue de la fécondation ? | La cellule-œuf | L'ovule | Le spermatozoïde | Le fœtus
M | Comment appelle-t-on les cellules reproductrices en général ? | Les gamètes | Les gènes | Les chromosomes | Les tissus
M | Comment appelle-t-on une fécondation qui a lieu à l'extérieur du corps ? | Une fécondation externe | Une fécondation interne | Une parthénogenèse | Un bouturage
M | Quel groupe d'animaux pratique surtout la fécondation externe ? | Les poissons | Les mammifères | Les oiseaux | Les reptiles
M | Comment appelle-t-on un animal qui pond des œufs ? | Un ovipare | Un vivipare | Un ovovivipare | Un marsupial
M | Comment appelle-t-on un animal dont les petits naissent formés ? | Un vivipare | Un ovipare | Un ovovivipare | Un amphibien
D | Comment appelle-t-on un animal dont les œufs éclosent dans le corps de la mère ? | Un ovovivipare | Un ovipare | Un vivipare | Un marsupial
M | Comment appelle-t-on l'organe qui abrite l'embryon humain ? | L'utérus | L'ovaire | Le placenta | Le vagin
M | Comment appelle-t-on l'organe qui nourrit le fœtus dans l'utérus ? | Le placenta | L'utérus | L'ovaire | Le cordon
M | Comment appelle-t-on le lien entre le fœtus et le placenta ? | Le cordon ombilical | La trompe | L'oviducte | L'utérus
F | Combien de temps dure une grossesse humaine environ ? | Neuf mois | Six mois | Douze mois | Trois mois
D | Comment appelle-t-on la fixation de l'embryon dans la paroi de l'utérus ? | La nidation | La fécondation | L'ovulation | La gestation
M | Où la fécondation a-t-elle lieu chez la femme ? | Dans une trompe | Dans l'utérus | Dans l'ovaire | Dans le vagin
M | Comment appelle-t-on la libération d'un ovule par l'ovaire ? | L'ovulation | La nidation | La menstruation | La fécondation
D | Tous les combien l'ovulation a-t-elle lieu environ ? | Tous les vingt-huit jours | Tous les jours | Tous les six mois | Tous les ans
F | Comment appelle-t-on la période de transformation du corps à l'adolescence ? | La puberté | La croissance seule | La ménopause | La gestation
M | Quelles substances déclenchent les transformations de la puberté ? | Les hormones | Les enzymes | Les vitamines | Les nutriments
M | Quel organe produit les spermatozoïdes ? | Le testicule | L'ovaire | La prostate | Le rein
F | Quel organe produit les ovules ? | L'ovaire | L'utérus | Le testicule | Le placenta
D | Comment appelle-t-on les moyens qui empêchent une grossesse ? | La contraception | La procréation | La gestation | La nidation
M | Quel moyen protège à la fois d'une grossesse et des infections ? | Le préservatif | La pilule | Le stérilet | L'implant
M | Comment appelle-t-on une maladie transmise lors d'un rapport sexuel ? | Une infection sexuellement transmissible | Une maladie génétique | Une allergie | Une carence


# --- Compléments : l'énergie et la Terre ---

F | Comment appelle-t-on la capacité à produire un mouvement ou de la chaleur ? | L'énergie | La matière | La masse | La force seule
F | D'où vient l'essentiel de l'énergie disponible sur Terre ? | Du Soleil | De la Lune | Des étoiles lointaines | Du noyau terrestre seul
M | Comment appelle-t-on une source d'énergie qui se renouvelle sans cesse ? | Une énergie renouvelable | Une énergie fossile | Une énergie fissile | Une énergie stockée
M | Quelle énergie provient de la chaleur interne de la Terre ? | La géothermie | L'éolien | Le solaire | L'hydraulique
F | Quelle énergie provient du mouvement de l'eau ? | L'hydroélectricité | La géothermie | L'éolien | Le solaire
F | Quelle énergie provient du vent ? | L'éolien | Le solaire | La géothermie | Le nucléaire
D | Quelle énergie provient de la matière organique brûlée ? | La biomasse | La géothermie | L'éolien | Le nucléaire
F | Comment appelle-t-on le charbon, le pétrole et le gaz ? | Des énergies fossiles | Des énergies renouvelables | Des énergies fissiles | Des énergies propres
M | D'où viennent les énergies fossiles ? | De restes d'êtres vivants enfouis | De roches volcaniques | Du noyau | Des météorites
M | En combien de temps le pétrole s'est-il formé ? | En millions d'années | En quelques siècles | En un an | En un jour
F | Quel gaz la combustion des énergies fossiles rejette-t-elle ? | Le dioxyde de carbone | L'oxygène | L'azote | L'hélium
M | Quel effet ce gaz a-t-il sur le climat ? | Il renforce l'effet de serre | Il refroidit l'air | Il n'a aucun effet | Il crée des séismes
D | Comment appelle-t-on la couche de gaz qui retient la chaleur du sol ? | L'atmosphère | La lithosphère | L'hydrosphère | La stratosphère seule
D | Sans effet de serre naturel, quelle serait la température de la Terre ? | Bien plus froide | Bien plus chaude | La même | Variable chaque jour
M | Comment appelle-t-on l'énergie tirée de l'uranium ? | L'énergie nucléaire | La géothermie | La biomasse | L'hydraulique
M | Quel déchet dangereux la production nucléaire laisse-t-elle ? | Des déchets radioactifs | Du dioxyde de carbone | Des cendres | De la suie


# --- Compléments : la Terre en mouvement ---

F | Comment appelle-t-on la couche solide sur laquelle nous marchons ? | La croûte terrestre | Le manteau | Le noyau | L'atmosphère
F | Quel phénomène naturel fait trembler le sol ? | Le séisme | La marée | Le vent | La pluie
F | Quel phénomène naturel fait sortir de la roche fondue ? | L'éruption volcanique | Le séisme | L'avalanche | L'inondation
F | Comment appelle-t-on une montagne qui crache du feu ? | Un volcan | Un glacier | Un canyon | Un plateau
F | Comment appelle-t-on un volcan qui n'est plus actif depuis très longtemps ? | Un volcan éteint | Un volcan endormi | Un volcan actif | Un volcan sous-marin
F | Comment appelle-t-on un volcan qui pourrait se réveiller ? | Un volcan endormi | Un volcan éteint | Un volcan mort | Un volcan fossile
F | Quel massif français compte d'anciens volcans ? | Le Massif central | Les Alpes | Les Vosges | Le Jura
F | Comment appelle-t-on l'étude des volcans ? | La volcanologie | La sismologie | La géologie marine | La minéralogie
F | Comment appelle-t-on l'étude des séismes ? | La sismologie | La volcanologie | La climatologie | La paléontologie
F | Comment appelle-t-on un scientifique qui étudie la Terre ? | Un géologue | Un biologiste | Un chimiste | Un astronome
M | Comment appelle-t-on la chaleur qui vient du centre de la Terre ? | La chaleur interne | La chaleur solaire | La chaleur des marées | La chaleur de l'air
M | D'où vient la chaleur interne de la Terre ? | De la désintégration d'éléments radioactifs | Du Soleil | Des marées | Du vent
M | Comment appelle-t-on le mouvement lent du manteau qui déplace les plaques ? | La convection | La conduction | Le rayonnement | La sédimentation
M | Que trouve-t-on au centre exact de la Terre ? | Une graine solide | Un vide | De l'eau | De l'air
D | Pourquoi la graine terrestre est-elle solide malgré la chaleur ? | La pression y est énorme | Elle est refroidie | Elle est loin du magma | Elle est faite de glace
M | Comment appelle-t-on la limite entre la croûte et le manteau ? | Le Moho | La faille | La dorsale | Le rift
D | Comment les scientifiques connaissent-ils l'intérieur de la Terre ? | Grâce aux ondes sismiques | En creusant jusqu'au noyau | Par satellite | Par forage complet
D | À quelle profondeur le plus profond forage humain est-il descendu ? | Environ douze kilomètres | Cent kilomètres | Mille kilomètres | Six mille kilomètres
M | Comment appelle-t-on l'aimantation naturelle de la Terre ? | Le champ magnétique terrestre | La gravité | La pression | La convection
D | Quel appareil s'oriente grâce au champ magnétique terrestre ? | La boussole | Le baromètre | Le sismographe | Le thermomètre


# --- Compléments : les cinquante dernières ---

F | Comment appelle-t-on la trace d'un être vivant conservée dans une roche ? | Un fossile | Un cristal | Un minerai | Un galet
F | Quel animal disparu est le plus connu des fossiles ? | Le dinosaure | Le chat | Le pigeon | Le lapin
M | Il y a combien de millions d'années les dinosaures ont-ils disparu ? | Environ soixante-six | Environ dix | Environ mille | Environ cinq
D | Quelle cause probable a provoqué la disparition des dinosaures ? | La chute d'un astéroïde | Une inondation | Une épidémie de grippe | Un séisme unique
M | Comment appelle-t-on la disparition rapide de nombreuses espèces ? | Une extinction de masse | Une migration | Une mutation | Une adaptation
D | Combien de grandes extinctions de masse la Terre a-t-elle connues ? | Cinq | Une | Dix | Vingt
M | Comment appelle-t-on l'histoire de la Terre découpée en grandes périodes ? | L'échelle des temps géologiques | Le calendrier | L'histoire humaine | La chronologie récente
M | Quel âge la Terre a-t-elle environ ? | Quatre milliards et demi d'années | Un million d'années | Dix mille ans | Cent milliards d'années
D | Depuis combien de temps la vie existe-t-elle sur Terre environ ? | Près de quatre milliards d'années | Mille ans | Un million d'années | Dix milliards d'années
F | Comment appelle-t-on la transformation lente des espèces au fil du temps ? | L'évolution | La croissance | La reproduction | La migration
F | Quel savant a proposé la théorie de l'évolution en 1859 ? | Charles Darwin | Louis Pasteur | Gregor Mendel | Alfred Wegener
M | Quel mécanisme Darwin a-t-il mis au cœur de l'évolution ? | La sélection naturelle | L'hérédité des acquis | La mutation dirigée | La génération spontanée
D | Quel savant français avait proposé avant Darwin une autre explication ? | Lamarck | Cuvier | Buffon | Linné
M | Comment appelle-t-on un caractère qui aide un être vivant à survivre ? | Une adaptation | Une mutation neutre | Une anomalie | Une maladie
M | Comment appelle-t-on deux espèces qui descendent d'un même ancêtre ? | Des espèces apparentées | Des espèces identiques | Des espèces étrangères | Des espèces jumelles
M | Comment appelle-t-on l'arbre qui montre la parenté des espèces ? | Un arbre phylogénétique | Un arbre généalogique humain | Un organigramme | Une pyramide
M | Comment appelle-t-on l'ensemble des êtres vivants d'une même espèce dans un lieu ? | Une population | Un peuplement | Une communauté | Une famille
M | Comment appelle-t-on l'apparition d'une nouvelle espèce ? | La spéciation | La mutation | L'adaptation | La sélection
D | Qu'est-ce qui isole souvent deux populations et mène à deux espèces ? | Une barrière géographique | La couleur | La taille | Le régime alimentaire
M | Comment appelle-t-on un être vivant qui n'existe plus du tout ? | Une espèce éteinte | Une espèce rare | Une espèce protégée | Une espèce endémique
F | Comment appelle-t-on les os fossilisés que l'on déterre ? | Des restes fossiles | Des minerais | Des cristaux | Des galets
F | Où trouve-t-on le plus souvent des fossiles ? | Dans les roches sédimentaires | Dans le granite | Dans le basalte | Dans le marbre
M | Comment appelle-t-on la couche de roche dans laquelle on trouve un fossile ? | Une strate | Une faille | Une dorsale | Une veine
D | Quel principe dit qu'une couche est plus vieille que celle qui la recouvre ? | Le principe de superposition | Le principe d'actualisme | Le principe de continuité | Le principe d'identité
D | Comment appelle-t-on un fossile qui date précisément une couche ? | Un fossile stratigraphique | Un fossile vivant | Un fossile rare | Un fossile marin
M | Comment appelle-t-on une espèce qui a peu changé depuis très longtemps ? | Un fossile vivant | Une espèce éteinte | Une espèce invasive | Une espèce endémique
D | Quel poisson découvert en 1938 est un célèbre fossile vivant ? | Le cœlacanthe | Le requin blanc | Le thon rouge | La morue
M | Comment appelle-t-on l'étude des roches et de leur formation ? | La pétrographie | La zoologie | La botanique | L'écologie
M | Comment appelle-t-on un corps solide naturel aux formes régulières ? | Un cristal | Un fossile | Un sédiment | Un magma
M | Quelle échelle mesure la dureté des minéraux ? | L'échelle de Mohs | L'échelle de Richter | L'échelle de Beaufort | L'échelle Celsius
M | Quel minéral est le plus dur selon cette échelle ? | Le diamant | Le quartz | Le talc | Le feldspath
D | Quel minéral est le plus tendre selon cette échelle ? | Le talc | Le diamant | Le quartz | Le corindon
M | Comment appelle-t-on une roche exploitée pour un métal qu'elle contient ? | Un minerai | Un minéral pur | Un fossile | Un sédiment
M | De quel minerai tire-t-on le fer ? | L'hématite | La bauxite | La galène | Le cinabre
M | De quel minerai tire-t-on l'aluminium ? | La bauxite | L'hématite | La galène | La pyrite
D | Quel minéral doré est surnommé l'or des fous ? | La pyrite | Le quartz | Le mica | Le gypse
M | Quel minéral compose surtout le sable des plages ? | Le quartz | Le mica | Le feldspath | Le calcaire
M | Comment appelle-t-on les trois grandes familles de roches ? | Sédimentaires, magmatiques, métamorphiques | Dures, tendres, friables | Claires, sombres, rayées | Marines, terrestres, aériennes
D | Comment appelle-t-on une roche née du refroidissement d'un magma en profondeur ? | Une roche plutonique | Une roche volcanique | Une roche sédimentaire | Une roche métamorphique
D | Comment appelle-t-on une roche née du refroidissement rapide d'une lave ? | Une roche volcanique | Une roche plutonique | Une roche sédimentaire | Une roche détritique
D | Pourquoi le granite a-t-il de gros cristaux visibles ? | Il a refroidi lentement en profondeur | Il a refroidi vite en surface | Il vient de la mer | Il a été chauffé deux fois
D | Pourquoi le basalte a-t-il des cristaux minuscules ? | Il a refroidi vite en surface | Il a refroidi lentement | Il vient du noyau | Il a été comprimé
D | Comment appelle-t-on une roche transformée par la chaleur et la pression ? | Une roche métamorphique | Une roche sédimentaire | Une roche volcanique | Une roche détritique
M | Comment appelle-t-on les colonnes de basalte qu'on voit parfois en falaise ? | Des orgues basaltiques | Des stalactites | Des moraines | Des dunes
M | Comment appelle-t-on la mesure des mouvements du sol par satellite ? | La géodésie spatiale | La sismologie | La volcanologie | La cartographie
D | Quel système satellitaire mesure le déplacement des plaques ? | Le GPS | Le radar météo | Le sonar | Le télescope
M | Comment appelle-t-on un pays qui construit en tenant compte des séismes ? | Un pays qui bâtit parasismique | Un pays sans risque | Un pays volcanique | Un pays sismique
M | Quel pays est le plus avancé dans la construction parasismique ? | Le Japon | La Belgique | Le Danemark | La Finlande
D | Quel dispositif japonais alerte la population quelques secondes avant un séisme ? | L'alerte sismique précoce | La sirène de crue | Le signal de marée | Le radar météo
D | Pourquoi une alerte de quelques secondes est-elle utile ? | On arrête les trains et l'on s'abrite | Elle évite le séisme | Elle réduit sa magnitude | Elle bouche les failles

F | Comment appelle-t-on la matière fondue qui refroidit et devient roche ? | Le magma | Le sable | L'argile | La ponce
F | Un séisme peut-il se produire loin de tout volcan ? | Oui | Non | Seulement en mer | Seulement en montagne
F | Quel est le premier réflexe pendant un séisme, à l'intérieur ? | Se mettre à l'abri sous une table | Courir dehors | Monter à l'étage | Ouvrir les fenêtres
F | Que faut-il faire après un séisme, près de la mer ? | S'éloigner du rivage | S'approcher pour voir | Rester sur la plage | Prendre un bateau
F | Comment appelle-t-on la fumée qui sort d'un volcan endormi ? | Une fumerolle | Une nuée ardente | Un lahar | Une caldeira
F | Quel gaz les volcans rejettent-ils en grande quantité ? | La vapeur d'eau | L'oxygène pur | L'hélium | Le néon
F | Comment appelle-t-on les cendres retombées après une éruption ? | Des retombées volcaniques | Des sédiments marins | Des moraines | Des alluvions
F | Pourquoi cultive-t-on souvent au pied des volcans ? | Les sols volcaniques sont fertiles | Il y fait plus froid | L'eau y manque | Le vent y est nul
F | Comment appelle-t-on la surveillance permanente d'un volcan ? | Un observatoire volcanologique | Une station météo | Un sismographe seul | Un satellite
F | Quel signe annonce souvent une éruption prochaine ? | De petits séismes répétés | Une baisse de température | Un ciel dégagé | Une marée basse
M | Comment appelle-t-on l'ensemble des êtres vivants et de leur milieu ? | Un écosystème | Une population | Une espèce | Une chaîne
M | Comment appelle-t-on la place d'une espèce dans son écosystème ? | Sa niche écologique | Son habitat seul | Son territoire | Son domaine vital
M | Comment appelle-t-on l'ensemble des relations alimentaires d'un milieu ? | Un réseau trophique | Un cycle de l'eau | Une chaîne minérale | Un flux d'énergie seul
M | Que devient l'énergie à chaque maillon d'une chaîne alimentaire ? | Une grande partie est perdue | Elle est doublée | Elle reste identique | Elle disparaît d'un coup
M | Pourquoi y a-t-il peu de grands prédateurs dans un milieu ? | L'énergie disponible diminue à chaque maillon | Ils vivent moins longtemps | Ils se reproduisent peu | Ils migrent tous
M | Comment appelle-t-on une espèce dont la disparition déséquilibre tout un milieu ? | Une espèce clé de voûte | Une espèce invasive | Une espèce commune | Une espèce migratrice
F | Comment appelle-t-on la variété des milieux et des espèces d'une région ? | La biodiversité | La densité | La superficie | La productivité
F | Quelle activité humaine menace le plus la biodiversité ? | La destruction des habitats | L'observation | La photographie | La randonnée
M | Comment appelle-t-on un couloir qui relie deux espaces naturels ? | Un corridor écologique | Une haie simple | Une clôture | Un fossé
M | À quoi sert un corridor écologique ? | À laisser circuler les espèces | À empêcher les passages | À drainer l'eau | À produire du bois
M | Comment appelle-t-on une zone naturelle réglementée pour protéger des espèces ? | Une aire protégée | Une zone industrielle | Une friche | Une carrière
M | Comment appelle-t-on la réintroduction d'une espèce disparue d'une région ? | Une réintroduction | Une invasion | Une migration | Une mutation
F | Quel grand prédateur est revenu naturellement dans les Alpes françaises ? | Le loup | Le tigre | L'ours polaire | Le lion
M | Quel rapace a été réintroduit dans les Grands Causses ? | Le vautour fauve | L'autruche | Le manchot | Le toucan
M | Comment appelle-t-on la liste internationale des espèces menacées ? | La liste rouge | La liste verte | La liste bleue | La liste noire
M | Quelle organisation publie cette liste des espèces menacées ? | L'UICN | L'OMS | La FAO | L'UNESCO
M | Comment appelle-t-on l'élevage d'animaux menacés en captivité pour les sauver ? | Un programme de conservation | Un zoo de loisir | Une ferme | Un élevage intensif
M | Comment appelle-t-on la banque où l'on conserve des graines du monde entier ? | Une banque de semences | Une serre | Une pépinière | Un potager
M | Quel archipel norvégien abrite une célèbre réserve mondiale de graines ? | Le Svalbard | Les Lofoten | Les Féroé | Les Orcades
M | Pourquoi conserver des graines anciennes ? | Pour garder la diversité cultivée | Pour les vendre plus cher | Pour éviter les récoltes | Pour nourrir les oiseaux
M | Comment appelle-t-on une plante ou un animal modifié en laboratoire ? | Un organisme génétiquement modifié | Un hybride naturel | Un clone naturel | Une variété ancienne
M | Comment appelle-t-on le croisement de deux variétés différentes ? | Une hybridation | Une mutation | Une greffe | Une bouture
M | Comment appelle-t-on la fixation d'un rameau sur un autre arbre ? | Une greffe | Une bouture | Un semis | Un marcottage
M | Pourquoi greffe-t-on les arbres fruitiers ? | Pour garder les qualités d'une variété | Pour les faire grandir plus vite | Pour économiser l'eau | Pour changer leur couleur
M | Comment appelle-t-on un individu génétiquement identique à un autre ? | Un clone | Un hybride | Un mutant | Un jumeau différent
